parameter_id,category,subcategory,process_or_buffer,carrier_input,carrier_output,candidate_value,candidate_min,candidate_max,unit,relative_unit_basis,source_ids,evidence_strength,modelling_role,recommended_status,sensitivity_required,stage_relevance,approval_blocker,executable_status,thesis_usability,notes
S2F13,process_class,bof_batch_equivalent,bof_shop,hot_metal_and_scrap,liquid_steel,batch_equivalent_hourly_shop_cap,n_a,n_a,policy_rule,batch_equivalent_heat_based_interpretation,F09,high,process_bound_candidate,assumption_backed_candidate,true,S2,Needs explicit hourly-equivalent interpretation and not a dimmer-style continuous bound,non_executable,false,BOF heat-based operation must not be collapsed into free continuous modulation.
S2F14,process_class,eaf_batch_equivalent,eaf_shop,dri_or_scrap,liquid_steel,batch_equivalent_hourly_shop_cap,n_a,n_a,policy_rule,batch_equivalent_heat_based_interpretation,F08;F10;F11,high,process_bound_candidate,assumption_backed_candidate,true,S2,Needs explicit tap-to-tap and heat-size interpretation before any executable bound,non_executable,false,EAF remains batch-equivalent in S2 even when represented hourly.
S2F15,conversion_coefficient,casting_yield,continuous_casting,liquid_steel,slab,0.97,0.96,0.99,fraction,t_output_per_t_input,F13,high,coefficient_candidate,assumption_backed_candidate,true,S2,Older technical source still needs modern-context review but evidence is relatively strong,non_executable,false,Strongest downstream conversion coefficient in the Deepsearch F library.
S2F16,conversion_coefficient,hsm_slab_to_hrc_yield,hsm_or_downstream_rolling,slab,hot_rolled_steel,0.96,0.95,0.98,fraction,t_output_per_t_input,F14,low_to_medium,coefficient_candidate,sensitivity_only,true,S2,Public evidence is weaker than casting yield and should remain sensitivity-only,non_executable,false,Use only if the last sink is beyond slab and yield is explicitly modelled.
S2F17,conversion_coefficient,bf_bof_iron_ore_route_average,integrated_bf_bof_route,iron_ore,crude_steel,1.37,1.37,1.37,t_input_per_t_output,t_input_per_t_crude_steel,F12,high,coefficient_candidate,assumption_backed_candidate,true,S2,Route-average global coefficient and not Tata recipe truth,non_executable,false,Best used as validation-backed coefficient candidate rather than exact plant recipe.
S2F18,conversion_coefficient,bf_bof_met_coal_route_average,integrated_bf_bof_route,metallurgical_coal,crude_steel,0.78,0.78,0.78,t_input_per_t_output,t_input_per_t_crude_steel,F12,high,coefficient_candidate,assumption_backed_candidate,true,S2,Route-average global coefficient and not Tata recipe truth,non_executable,false,External supply coefficient candidate only.
S2F19,conversion_coefficient,bf_bof_limestone_route_average,integrated_bf_bof_route,limestone,crude_steel,0.27,0.27,0.27,t_input_per_t_output,t_input_per_t_crude_steel,F12,high,coefficient_candidate,assumption_backed_candidate,true,S2,Route-average global coefficient and not Tata recipe truth,non_executable,false,Useful for coarse route-average material balance only.
S2F20,conversion_coefficient,bof_hot_metal_share,bof_shop,hot_metal,liquid_steel,0.93,0.72,0.95,fraction_of_ferrous_charge,hot_metal_share_in_ferrous_charge,F09;F12,high,coefficient_candidate,assumption_backed_candidate,true,S2,Share definition and mass-balance implementation still need review,non_executable,false,Can be used later as share support rather than full signed recipe matrix.
S2F21,conversion_coefficient,bof_scrap_share,bof_shop,scrap,liquid_steel,0.17,0.05,0.28,fraction_of_ferrous_charge,scrap_share_in_ferrous_charge,F09;F12,medium_high,coefficient_candidate,sensitivity_only,true,S2,Definition and share basis vary across sources and should remain sensitivity-backed,non_executable,false,Scrap share should not be treated as one exact BOF-shop truth.
S2F22,conversion_coefficient,drp_ore_to_dri,direct_reduction_shaft,ore_or_pellets,dri,1.39,1.36,1.42,t_input_per_t_output,t_ore_per_t_DRI,F07,high,coefficient_candidate,assumption_backed_candidate,true,S2,Vendor-context source still needs cross-check before promotion,non_executable,false,One of the strongest DRP coefficient candidates in Deepsearch F.
S2F23,conversion_coefficient,eaf_metallic_yield_range,eaf_shop,metallic_charge,liquid_steel,0.90,0.87,0.94,fraction,t_output_per_t_metallic_input,F08,high,coefficient_candidate,sensitivity_only,true,S2,Charge-mix dependence means this should remain range-based and sensitivity-backed,non_executable,false,Use scrap-heavy versus DRI-heavy yield branches later if needed.
S2F24,relative_sizing,drp_eaf_relative_sizing,drp_and_eaf_pair,dri,liquid_steel,1.00,0.90,1.10,relative_capacity_ratio,drp_capacity_per_eaf_liquid_steel_capacity,F04;F05;F07;F11,medium,assumption_library,assumption_backed_candidate,true,S2,Public generic matching logic exists but exact site sizing remains unresolved,non_executable,false,Useful for Tata-inspired route-scaling consistency.
S2F25,relative_sizing,dri_buffer_relative_sizing,dri_buffer_and_eaf,dri,dri,1_to_2_heats,1,4,EAF_heats,heats_of_EAF_feed,F05;F06,high,assumption_library,assumption_backed_candidate,true,S2,Still vendor-context and not site-calibrated,non_executable,false,Bridge between continuous DRP and batch EAF operation.
S2F26,production_target_policy,target_basis,last_modelled_metallic_sink,steel,steel,last_modelled_metallic_sink,crude_steel,hot_rolled_steel,policy_rule,target_basis_choice,F01;F02;F14;F20,high,target_policy,methodological_policy_candidate,true,S2,Target-basis choice is methodological and not a numerical truth claim,non_executable,false,Prefer the last modelled metallic sink to avoid fake flexibility from downstream leakage.
S2F27,validation_anchor,annual_public_site_liquid_steel,target_anchor_only,steel,steel,7.2,7.2,7.2,Mt_per_year,annual_public_anchor,F01,high,validation_target,validation_target_only,false,S2,Annual public values must not become hourly caps or direct constraint drivers,non_executable,false,Validation anchor only and never an executable hourly cap.
