legacy_tag,legacy_context,mapped_configuration_id,mapped_configuration_role,allowed_use,forbidden_use,stage_relevance,executable_status,thesis_usability,approval_status,notes
NG_DRP_EAF,frozen_route_shorthand,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,structural_reference_to_the_frozen_C1_route,do_not_expand_into_hydrogen_or_phase2_family,S2_to_S9_structural_mapping_only,non_executable,false,scope_mapping_only,Frozen route shorthand for the main thesis configuration.
flag_high_scrap_eaf_variant,legacy_sensitivity_flag,C1S_phase1_sensitivity_variants,sensitivity_only_within_C1,sensitivity_mapping_inside_C1_only,do_not_promote_to_top_level_configuration,S2_to_S9_non_executable_sensitivity_only,non_executable,false,scope_mapping_only,High-scrap variant remains a C1-internal sensitivity.
flag_slab_import_enabled,legacy_sensitivity_flag,C1S_phase1_sensitivity_variants,sensitivity_only_within_C1,sensitivity_mapping_inside_C1_only,do_not_promote_to_top_level_configuration,S2_to_S9_non_executable_sensitivity_only,non_executable,false,scope_mapping_only,Slab-import toggle remains a bounded C1 sensitivity and not a separate plant future.
flag_early_coke_closure_exogenous,legacy_sensitivity_flag,C1S_phase1_sensitivity_variants,sensitivity_only_within_C1,sensitivity_mapping_inside_C1_only,do_not_promote_to_top_level_configuration,S2_to_S9_non_executable_sensitivity_only,non_executable,false,scope_mapping_only,Early-closure flag remains a C1-internal scenario or sensitivity toggle only.
flag_h2_backbone_available,legacy_optional_later_flag,C2_exogenous_hydrogen_sensitivity_optional_later,optional_later_sensitivity_only,optional_later_exogenous_hydrogen_context_only,do_not_activate_as_default_main_configuration,S_post_gate_optional_later_only,non_executable,false,scope_mapping_only,Hydrogen backbone availability may only support optional later exogenous-hydrogen sensitivity.
exogenous_hydrogen_input,later_sensitivity_label,C2_exogenous_hydrogen_sensitivity_optional_later,optional_later_sensitivity_only,optional_later_exogenous_hydrogen_context_only,do_not_turn_into_endogenous_hydrogen_production_scope,S_post_gate_optional_later_only,non_executable,false,scope_mapping_only,Exogenous hydrogen input is the only later hydrogen interpretation allowed inside the frozen topology.
transition_phase,ambiguous_transition_pathway_label,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_use_as_implementation_branch,S2_to_S9_scope_control_only,non_executable,false,blocked,Generic transition-phase wording is too broad for implementation and remains blocked.
Phase 2,historical_or_pathway_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_create_phase2_configuration,S2_to_S9_scope_control_only,non_executable,false,blocked,Phase 2 is explicitly blocked from the main implementation path.
Phase 3,historical_or_pathway_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_create_phase3_configuration,S2_to_S9_scope_control_only,non_executable,false,blocked,Phase 3 is explicitly blocked from the main implementation path.
full_hydrogen,pathway_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_create_full_hydrogen_main_case,S2_to_S9_scope_control_only,non_executable,false,blocked,Full-hydrogen steel plant wording remains blocked from the main thesis path.
on_site_electrolysis,pathway_or_asset_scope_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_create_on_site_electrolyser_branch,S2_to_S9_scope_control_only,non_executable,false,blocked,On-site electrolysis is out of scope for the frozen steel configuration set.
hydrogen_production_optimisation,method_scope_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_add_endogenous_hydrogen_production_scope,S2_to_S9_scope_control_only,non_executable,false,blocked,Hydrogen production optimisation is blocked from the main implementation path.
hydrogen_storage,pathway_or_asset_scope_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_add_hydrogen_storage_optimisation_scope,S2_to_S9_scope_control_only,non_executable,false,blocked,Hydrogen storage remains blocked from the main steel implementation path.
hydrogen_infrastructure_optimisation,method_scope_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_add_hydrogen_infrastructure_optimisation_scope,S2_to_S9_scope_control_only,non_executable,false,blocked,Hydrogen infrastructure optimisation remains blocked from the main steel implementation path.
SAF,historical_transition_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_create_SAF_transition_branch,S2_to_S9_scope_control_only,non_executable,false,blocked,SAF pathway terminology remains blocked from the main steel implementation path.
CCS,historical_transition_term,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_create_CCS_transition_branch,S2_to_S9_scope_control_only,non_executable,false,blocked,CCS pathway terminology remains blocked from the main steel implementation path.
flag_ccs_available,legacy_optional_flag,postponed_or_blocked,postponed_or_blocked,historical_context_only,do_not_activate_as_main_configuration_or_core_S2_branch,S2_to_S9_scope_control_only,non_executable,false,blocked,CCS availability may exist as historical context but is blocked from the main S2 structural implementation path.
