numerical_policy_decision_id,decision_cluster,decision_item,human_decision,provisional_base_structure,provisional_sensitivity_structure,modelling_interpretation,applies_to_configuration,applies_to_stage,affected_future_approved_table,evidence_basis,sensitivity_implication,unresolved_blocker,codex_allowed_role,codex_forbidden_role,approval_status,executable_status,thesis_usability,notes
NPD011,buffer_capacity_treatment,HDRI_DRI_provisional_base_and_sensitivity_structure,HDRI_DRI_provisional_base_structure_is_around_one_EAF_heat_equivalent,around_one_EAF_heat_equivalent,smaller_or_no_surge_and_two_to_four_EAF_heat_equivalent_cases_may_later_be_screened,Development_structure_is_non_thesis_and_non_executable_until_translation_exists,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;initial_inventories.csv,S2_7F_buffer_packet_plus_human_decision,This_is_a_first_screening_dimension_not_a_final_thesis_value,No_reviewed_tonnes_translation_exists,record_provisional_dev_structure_only,approve_or_promote_or_reuse_as_thesis_grade_capacity,provisional_structure_recorded,non_executable,false,Base_and_sensitivity_structure_recorded_without_tonnes
NPD012,buffer_capacity_treatment,cold_slab_WIP_included_as_main_downstream_flexibility_buffer,Cold_slab_or_slab_WIP_is_included_as_the_main_downstream_medium_term_flexibility_buffer,base_case_dev_structure_uses_one_downstream_buffer_surface,constrained_and_flexible_downstream_cases_may_later_be_screened,Downstream_medium_term_flexibility_should_be_captured_here_not_in_hot_slab_transfer,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;inventory_endpoint_policies.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,High_impact_store_capacity_screening_item,Exact_capacity_in_tonnes_is_unreviewed,record_buffer_inclusion_and_role_only,approve_exact_capacity_or_promote_store_rows,numerical_policy_recorded,non_executable,false,Main_downstream_flexibility_buffer_recorded_without_tonnes
NPD013,buffer_capacity_treatment,cold_slab_WIP_days_of_throughput_sizing_basis,Cold_slab_or_slab_WIP_should_be_sized_relative_to_days_of_downstream_throughput,days_of_downstream_throughput_relative_sizing_basis_only,alternative_relative_throughput_bases_may_later_be_screened,Relative_sizing_is_allowed_only_as_non_executable_review_structure,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,Relative_basis_choice_affects_future_range_design,Days_to_tonnes_translation_is_still_unreviewed,record_relative_sizing_basis_only,approve_tonnes_capacity_from_relative_throughput_language,provisional_structure_recorded,non_executable,false,Relative_sizing_basis_only_not_numeric_capacity_approval
NPD014,buffer_capacity_treatment,cold_slab_WIP_provisional_base_and_sensitivity_structure,Cold_slab_or_slab_WIP_provisional_base_structure_is_around_one_to_two_days_of_downstream_throughput,around_one_to_two_days_of_downstream_throughput,constrained_half_day_and_flexible_three_to_seven_day_cases_may_later_be_screened,Development_structure_is_non_thesis_and_non_executable_until_translation_exists,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;initial_inventories.csv,S2_7F_buffer_packet_plus_human_decision,This_is_a_first_screening_dimension_not_a_final_thesis_value,No_reviewed_tonnes_translation_exists,record_provisional_dev_structure_only,approve_or_promote_or_reuse_as_thesis_grade_capacity,provisional_structure_recorded,non_executable,false,Base_and_sensitivity_structure_recorded_without_tonnes
NPD015,buffer_capacity_treatment,hot_metal_small_synchronisation_only,Hot_metal_is_small_synchronisation_only_not_strategic_market_flexibility,small_relative_sync_buffer_structure_only,narrower_or_wider_small_sync_cases_may_later_be_screened,Hot_metal_must_remain_secondary_and_non_arbitrage,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,Secondary_buffer_screening_only,Exact_relative_size_is_still_unreviewed,record_secondary_buffer_policy_only,approve_large_hot_metal_flexibility_or_multi_day_storage_claims,numerical_policy_recorded,non_executable,false,Hot_metal_remains_secondary_not_strategic
NPD016,buffer_capacity_treatment,hot_slab_WIP_omitted_or_tiny_thermal_transfer_only,Hot_slab_WIP_is_omitted_in_the_base_case_unless_tiny_thermal_transfer_is_needed_for_continuity,omit_in_base_case_or_tiny_thermal_transfer_only,tiny_transfer_only_sensitivity_may_later_be_checked_if_needed,Hot_slab_WIP_must_not_become_a_strategic_multi_hour_or_multi_day_store,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,Low_priority_only_if_continuity_debugging_requires_it,Exact_omit_vs_tiny_choice_still_depends_on_topology_continuity_needs,record_omit_or_tiny_policy_only,approve_hot_slab_WIP_as_main_flexibility_asset,numerical_policy_recorded,non_executable,false,Hot_slab_WIP_is_not_strategic_multi_hour_or_multi_day_flexibility
NPD017,buffer_capacity_treatment,liquid_steel_ladle_tundish_omitted_or_tiny_feasibility_only,Liquid_steel_ladle_tundish_and_hot_transfer_are_omitted_or_tiny_feasibility_only,omit_in_base_case_or_tiny_feasibility_only,feasibility_only_debugging_case_may_later_be_checked_if_required,These_buffers_must_not_create_hidden_slack_or_market_flexibility,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,Only_low_priority_feasibility_debugging_role_is_allowed,No_reviewed_numeric_capacity_basis_exists,record_omit_or_tiny_policy_only,approve_or_promote_hidden_slack_buffers,numerical_policy_recorded,non_executable,false,These_buffers_remain_omitted_from_base_flexibility
NPD018,buffer_capacity_treatment,coke_sinter_pellet_and_finished_goods_excluded_from_base_flexibility,Coke_sinter_pellet_and_finished_goods_or_order_book_inventory_remain_excluded_from_S2_base_flexibility,excluded_from_base_dev_pack,may_only_reopen_after_explicit_scope_change,These_items_are_supply_boundaries_or_later_scope_not_internal_base_case_flexibility,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;production_targets.csv,S2_7E_policy_bundle_plus_scope_freeze,No_early_sensitivity_role_in_base_case,Would_require_scope_change_not_parameter_promotion,record_scope_exclusion_only,approve_executable_flexibility_for_excluded_items,human_policy_recorded,non_executable,false,Excluded_items_must_not_enter_base_case_dev_flexibility_surface
NPD019,buffer_capacity_treatment,CYC50_not_capacity_approval,CYC50_is_endpoint_policy_only_and_not_buffer_capacity_approval,CYC50_policy_linked_to_capacity_formula_only,capacity_review_remains_separate_for_all_buffers,Endpoint_neutrality_must_not_be_used_as_capacity_evidence,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,inventory_endpoint_policies.csv;initial_inventories.csv;terminal_inventory_rules.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,Low_sensitivity_high_governance_importance,Store_capacity_values_are_still_unreviewed,record_policy_boundary_only,approve_or_promote_capacity_from_CYC50_policy,blocked_until_later_review,non_executable,false,CYC50_is_not_capacity_approval
NPD020,production_target_policy,one_horizon_total_production_target,Deterministic_S2_uses_one_fixed_horizon_total_fulfilment_target,horizon_total_target_structure_only,target_level_may_later_be_screened_but_route_neutrality_must_remain,Future_target_rows_should_be_horizon_total_not_period_by_period_route_constraints,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,production_targets.csv,S2_7E_policy_bundle_plus_S2_7F_target_packet,Target_level_is_an_early_screening_item,Exact_target_quantity_is_unreviewed,record_target_structure_only,approve_numeric_target_quantity_or_hidden_shortfall_design,numerical_policy_recorded,non_executable,false,Target_structure_recorded_without_quantity
NPD021,production_target_policy,last_modelled_metallic_sink_target_basis,Target_basis_should_be_the_last_modelled_metallic_sink_unless_reviewed_otherwise,last_modelled_metallic_sink_base_structure,crude_steel_or_HRC_basis_may_later_be_reviewed_as_explicit_alternatives,Basis_choice_must_be_explicit_and_single_not_mixed,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,production_targets.csv,S2_7F_target_packet_plus_human_decision,Target_basis_is_a_high_impact_methodological_screening_item,Exact_target_scale_is_unreviewed,record_basis_choice_only,approve_mixed_basis_or_unreviewed_downstream_basis,numerical_policy_recorded,non_executable,false,Last_modelled_metallic_sink_is_the_current_base_basis
NPD022,production_target_policy,no_route_specific_base_target,No_route_specific_base_targets_are_imposed,route_shares_remain_validation_or_sensitivity_only,route_share_sensitivity_may_later_be_reviewed_without_entering_base_case,Base_case_comparability_requires_route_neutral_target_handling,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,production_targets.csv;validation_targets.csv,S2_7E_policy_bundle_plus_S2_7F_target_packet,Low_sensitivity_high_governance_importance,Route_specific_base_constraints_remain_forbidden,record_base_case_target_boundary_only,approve_or_promote_route_specific_base_constraints,human_policy_recorded,non_executable,false,Route_specific_anchors_remain_validation_or_sensitivity_only
NPD023,production_target_policy,annual_to_horizon_target_translation_requirement,Annual_public_production_or_planning_anchors_require_explicit_translation_before_any_thesis_use_target,translation_method_required_before_dev_or_thesis_target_quantity,conservative_central_and_flexible_translation_scenarios_may_later_be_reviewed,Annual_anchor_use_must_remain_separate_from_horizon_target_quantity_selection,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,production_targets.csv,production_targets_candidate_review_plus_S2_7F_target_packet,Target_translation_choice_should_be_sensitivity_aware,No_reviewed_annual_to_horizon_translation_exists,record_gate_requirement_and_blocker,approve_or_promote_target_quantities_without_translation_review,blocked_until_later_review,non_executable,false,Annual_to_horizon_translation_remains_required
NPD024,production_target_policy,one_day_debugging_vs_one_week_serious_interpretation,One_day_runs_remain_debugging_only_while_one_week_runs_are_the_first_serious_physical_interpretation_horizon,one_day_debugging_non_thesis_horizon_structure,one_week_first_serious_interpretation_structure,Run_horizon_affects_how_future_dev_outputs_may_be_interpreted,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,production_targets.csv;run_reporting_requirements.csv,human_numerical_policy_decision,Target_translation_and_feasibility_may_need_horizon_sensitive_screening,No_reviewed_horizon_target_quantity_exists,record_interpretation_boundary_only,approve_or_promote_or_populate_one_day_debugging_runs_as_thesis_grade_results,numerical_policy_recorded,non_executable,false,One_day_debugging_is_not_serious_physical_interpretation
NPD025,production_target_policy,explicit_reportable_shortfall_only_if_later_allowed,Shortfall_must_not_be_hidden_behind_penalties_and_if_later_allowed_it_must_be_explicit_and_reported,no_shortfall_in_current_dev_base_structure,explicit_shortfall_design_may_only_appear_after_later_review,Shortfall_design_is_a_separate_future_model_choice_not_a_hidden_fallback,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,production_targets.csv;run_reporting_requirements.csv,S2_7E_policy_bundle_plus_S2_7F_target_packet,Low_sensitivity_high_governance_importance,No_reviewed_shortfall_design_exists,record_shortfall_guardrail_only,approve_hidden_infeasibility_penalties_or_unreported_shortfall,human_policy_recorded,non_executable,false,Shortfall_policy_recorded_without_quantity_or_penalty_design
NPD026,sensitivity_screening_strategy,early_sensitivity_screening_priorities,Early_screening_priorities_are_HDRI_DRI_surge_cold_slab_WIP_capacity_DRP_turndown_BF_band_and_target_level_or_basis,minimal_one_at_a_time_screening_priority_set,expanded_screening_only_after_basic_diagnostics_are_understood,Early_screening_is_for_debugging_and_assumption_screening_not_final_thesis_conclusions,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;process_bounds.csv;production_targets.csv,S2_7E_policy_bundle_plus_S2_7F_packets,High_risk_items_should_be_screened_before_any_final_claims,Exact_grids_and_numeric_ranges_are_not_reviewed,record_screening_priority_and_scope_only,approve_screening_outputs_as_final_thesis_inputs,sensitivity_strategy_recorded,non_executable,false,Early_screening_is_minimal_not_full_factorial
NPD027,sensitivity_screening_strategy,final_thesis_sensitivity_selected_by_materiality,Final_thesis_sensitivities_should_later_be_selected_by_materiality,materiality_filter_for_future_selection,store_capacity_and_process_bound_materiality_may_keep_some_items_in_scope,Materiality_means_feasibility_flexibility_value_production_fulfilment_validation_credibility_and_computational_impact,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;process_bounds.csv;production_targets.csv;conversion_coefficients.csv,tractability_and_change_control_plus_human_decision,Store_capacities_remain_high_risk_and_sensitivity_aware,Final_materiality_thresholds_are_unreviewed,record_selection_policy_only,approve_final_ranges_or_treat_all_screening_cases_as_thesis_grade,sensitivity_strategy_recorded,non_executable,false,Final_thesis_sensitivity_selection_remains_later
