decision_id,decision_cluster,decision_item,human_decision,modelling_interpretation,applies_to_configuration,applies_to_stage,affected_future_approved_table,evidence_basis,sensitivity_implication,unresolved_blocker,codex_allowed_role,codex_forbidden_role,approval_status,executable_status,thesis_usability,notes
HPD011,buffer_classification,finished_goods_order_book_excluded,Finished_goods_and_order_book_inventory_are_excluded_from_S2_base_case_flexibility,Do_not_use_finished_goods_or_order_book_logic_as_inventory_flexibility_in_deterministic_S2,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_policy_bundle,store_capacities.csv;production_targets.csv,Scope_freeze_plus_human_policy_decision,Sensitivity_not_needed_for_early_base_case_flexibility_screening,Would_require_later_market_or_planning_scope_change,record_scope_exclusion_only,approve_or_promote_or_populate_order_book_inventory_or_make_it_executable,human_policy_recorded,non_executable,false,Order_book_is_explicitly_excluded_from_S2_base_case
HPD012,buffer_sizing_basis,heat_based_relative_sizing_convention,Heats_may_be_used_only_as_relative_sizing_units_for_short_term_batch_coupling_buffers,Use_BOF_heats_for_hot_metal_sync_and_EAF_heats_for_HDRI_DRI_surge_relative_sizing,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,store_capacities.csv,Human_policy_decision_plus_review_packets,Useful_for_debugging_and_assumption_screening_before_tonnes_review,Exact_heat_size_to_tonnes_translation_still_unreviewed,record_relative_sizing_convention_only,approve_tonnes_capacity_from_heat_language,convention_recorded,non_executable,false,Relative_sizing_only_not_numeric_capacity_approval
HPD013,buffer_sizing_basis,days_of_throughput_relative_sizing_convention,Days_of_throughput_may_be_used_for_medium_term_stores_such_as_cold_slab_yard_or_optional_CDRI_HBI_storage,Use_as_relative_sizing_basis_only_until_exact_tonnes_review_exists,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,store_capacities.csv,Human_policy_decision_plus_review_packets,Likely_high_impact_sensitivity_screening_dimension,Exact_throughput_basis_and_tonnes_translation_still_need_review,record_relative_sizing_convention_only,approve_tonnes_capacity_from_days_language,convention_recorded,non_executable,false,Relative_sizing_only_not_numeric_capacity_approval
HPD014,conversion_coefficient_convention,positive_magnitude_coefficients,Use_positive_magnitudes_with_explicit_role_fields_rather_than_signed_coefficients,Keep_directionality_in_role_metadata_not_in_sign,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,conversion_coefficients.csv,STEEL_S2_UNIT_SIGN_AND_ENDPOINT_CONVENTIONS_plus_human_policy_decision,Low_sensitivity_but_high_governance_importance,Exact_coefficient_values_still_need_review,record_convention_and_apply_in_future_schema_interpretation,approve_values_or_hardcode_coefficients,convention_recorded,non_executable,false,Sign_convention_frozen_at_policy_level_only
HPD015,conversion_coefficient_convention,coefficient_role_taxonomy,Required_minimum_coefficient_roles_are_input_consumption_output_production_yield_share_and_loss,Keep_recipe_style_and_yield_style_coefficients_explicitly_distinct,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,conversion_coefficients.csv,Human_policy_decision_plus_schema_alignment,May_support_later_sensitivity_structure_but_not_value_selection,Exact_role_assignment_per_coefficient_row_still_later,record_role_taxonomy_only,collapse_roles_into_signed_coefficients_or_approve_values,convention_recorded,non_executable,false,Role_taxonomy_recorded_for_future_review
HPD016,conversion_coefficient_convention,carrier_per_activity_unit_convention,Use_carrier_per_activity_units_such_as_t_input_per_t_activity_or_t_output_per_t_activity,Keep_unit_basis_explicit_per_coefficient_role,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,conversion_coefficients.csv,STEEL_S2_UNIT_SIGN_AND_ENDPOINT_CONVENTIONS_plus_human_policy_decision,Low_sensitivity_but_high_governance_importance,Exact_activity_definitions_still_need_review_per_process,record_unit_convention_only,approve_numeric_coefficients_or_mix_unit_bases_silently,convention_recorded,non_executable,false,Unit_convention_recorded_without_value_approval
HPD017,conversion_coefficient_convention,process_output_activity_basis_default,Default_activity_basis_is_process_output_unless_explicitly_reviewed_otherwise,Future_rows_should_default_to_output_based_activity_reference,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,conversion_coefficients.csv,Human_policy_decision_plus_schema_alignment,Sensitivity_only_if_specific_process_requires_different_basis,Process_specific_exceptions_still_need_later_review,record_default_basis_only,approve_process_specific_value_rows_or_hide_basis_changes,convention_recorded,non_executable,false,Default_only_exceptions_require_separate_review
HPD018,process_bound_policy,BF_near_must_run_policy,BF_is_near_must_run_or_continuous_with_no_free_hourly_start_stop_flexibility,Use_continuous_or_band_style_future_bounds_not_dispatch_toggle_logic,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_policy_bundle,process_bounds.csv,Human_policy_decision_plus_scope_freeze,Later_sensitivity_should_focus_on_near_must_run_band_not_binary_start_stop,Exact_band_values_still_need_review,record_policy_baseline_only,approve_numeric_bounds_or_create_start_stop_logic,human_policy_recorded,non_executable,false,BF_policy_recorded_without_bound_values
HPD019,process_bound_policy,DRP_continuous_turndown_policy,DRP_is_continuous_with_possible_turndown_and_no_free_on_off_cycling,Use_future_bounds_that_allow_turndown_review_but_not_free_cycling,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,process_bounds.csv,Human_policy_decision_plus_scope_freeze,DRP_turndown_is_high_priority_sensitivity_screening_item,Exact_turndown_band_still_needs_review,record_policy_baseline_only,approve_numeric_turndown_values_or_binary_on_off_logic,human_policy_recorded,non_executable,false,DRP_policy_recorded_without_bound_values
HPD020,process_bound_policy,BOF_EAF_batch_equivalent_hourly_policy,BOF_and_EAF_are_batch_equivalent_hourly_assets_not_perfect_dimmers,Future_bounds_should_respect_batch_equivalent_hourly_interpretation,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,process_bounds.csv,Human_policy_decision_plus_scope_freeze,Batch_equivalent_capacity_assumptions_may_need_sensitivity_review,Exact_hourly_batch_equivalent_capacity_still_needs_review,record_policy_baseline_only,approve_numeric_hourly_capacities_or_perfect_dimmer_assumption,human_policy_recorded,non_executable,false,BOF_EAF_policy_recorded_without_capacity_values
HPD021,process_bound_policy,annual_to_hourly_translation_required,Annual_public_values_are_validation_or_scaling_anchors_only_until_explicit_translation_review,Do_not_use_annual_public_anchors_as_executable_hourly_bounds_or_targets,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,process_bounds.csv;production_targets.csv;validation_targets.csv,Promotion_protocol_plus_unit_sign_note_plus_human_policy_decision,Translation_method_may_be_tested_as_sensitivity_only_after_review,No_approved_annual_to_hourly_method_exists,record_gate_requirement_and_blocker,approve_or_promote_or_populate_translated_hourly_rows_without_review,blocked_until_later_review,non_executable,false,Annual_to_hourly_translation_remains_required_before_executable_use
HPD022,production_target_policy,horizon_total_production_target_policy,Deterministic_S2_uses_a_fixed_horizon_total_fulfilment_policy,Future_targets_should_be_horizon_total_not_route_local_dispatch_targets,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,production_targets.csv;run_reporting_requirements.csv,Human_policy_decision_plus_schema_alignment,Target_level_or_basis_may_need_sensitivity_screening,Exact_target_scale_and_horizon_translation_still_need_review,human_policy_recorded_as_target_structure_only,approve_target_quantities_or_hidden_penalty_shortcuts,human_policy_recorded,non_executable,false,Policy_records_target_structure_only
HPD023,production_target_policy,single_sink_carrier_target_basis_required,Target_basis_must_use_one_approved_sink_or_carrier_basis,Future_target_rows_must_not_mix_sink_or_carrier_bases_silently,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,production_targets.csv,Human_policy_decision_plus_review_plan,Sensitivity_may_compare_basis_choices_only_after_explicit_review,Approved_sink_or_carrier_basis_not_yet_selected,record_target_basis_requirement_only,approve_target_basis_or_route_mix_without_review,convention_recorded,non_executable,false,Single_basis_requirement_recorded
HPD024,production_target_policy,no_route_specific_base_target,No_route_specific_production_target_is_allowed_in_the_base_case,Route_shares_are_validation_or_sensitivity_information_only,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,production_targets.csv;validation_targets.csv,Human_policy_decision_plus_review_plan,Route_share_sensitivity_may_be_considered_later_without_entering_base_case,Exact_route_share_handling_still_later_if_needed,record_base_case_target_policy_only,approve_or_promote_or_populate_route_specific_base_targets,human_policy_recorded,non_executable,false,Base_case_target_must_stay_route_neutral
HPD025,sensitivity_strategy,early_sensitivity_screening_strategy,Early_sensitivities_are_for_debugging_and_assumption_screening_only_and_should_focus_on_high_impact_items,Focus_early_screening_on_DRI_HDRI_surge_cold_slab_WIP_size_DRP_turndown_BF_band_and_target_basis,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,store_capacities.csv;process_bounds.csv;production_targets.csv,Human_policy_decision_plus_review_packets,Early_screening_is_expected_before_any_final_thesis_claims,Exact_screening_grids_or_ranges_still_need_later_review,record_sensitivity_priority_and_scope,approve_or_promote_or_populate_early_screening_outputs_as_final_thesis_inputs,sensitivity_strategy_recorded,non_executable,false,Early_screening_strategy_recorded_non_binding_for_final_results
HPD026,sensitivity_strategy,final_thesis_sensitivity_selection_strategy,Final_thesis_sensitivities_should_include_only_assumptions_that_materially_affect_feasibility_flexibility_value_production_fulfilment_or_validation_credibility,Use_materiality_as_the_filter_for_final_thesis_sensitivity_selection,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,store_capacities.csv;process_bounds.csv;production_targets.csv;conversion_coefficients.csv,Human_policy_decision_plus_tractability_and_change_control,Store_capacities_remain_high_risk_and_likely_require_sensitivity,Materiality_threshold_and_final_ranges_still_need_later_review,record_sensitivity_selection_policy_only,approve_final_sensitivity_ranges_or_use_unreviewed_high_risk_values,sensitivity_strategy_recorded,non_executable,false,Final_sensitivity_selection_strategy_recorded_without_numeric_ranges
