parameter_id,base_value,low_value,high_value,unit,parameter_group,caveat,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength
PEFA_GROSS_ENERGY_GJ_PER_T,1.4,,,GJ/t pellets,validation_check,Validation/check only; includes recuperation and must not be added to fuel terms.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_HEAT_RECUPERATION_GJ_PER_T,0.7,,,GJ/t pellets,deferred_validation,Validation/deferred only; not dispatchable heat recovery.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_HOT_AIR_RECIRC_DUCT_GJ_PER_T,0.0675,,,GJ/t pellets,deferred_validation,Validation/deferred only; not a free flexibility source.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_MALERIJ_ALLOWED_FUELS,BOFG;NG,,,carrier_set,controller_eligibility,Malerij heat may use BOFG or NG only.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_BRANDERIJ_ALLOWED_FUELS,COG;NG,,,carrier_set,controller_eligibility,Branderij heat may use COG or NG only.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_BFG_ALLOWED,false,,,boolean,controller_eligibility,BFG is blocked for PEFA base implementation.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_DIRECT_WAG_MARKET_VALUE,false,,,boolean,policy_forbidden,No direct WAG market valuation.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_STAGE_GAS_SPLIT_REQUIRED,false,,,boolean,controller_mode,Option A uses total gas heat without fixed stage split.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_CO2_MODE,aggregate_diagnostic,,,-,CO2_policy,Aggregate diagnostic only; fuel-explicit CO2 inactive.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_STEAM_STATUS,deferred_no_source,,,-,utility_status,No active PEFA steam demand without reviewed source.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
