"script_name","relative_path","last_write_local","size_kb","category","recommended_action","risk_level","rationale"
"run_hourly_scenario_generation_with_lear_strict.py","scripts\Data\02_Forecasting\01_DA_prices\run_hourly_scenario_generation_with_lear_strict.py","2026-05-12 19:24:10","39","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_lear_audit.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_lear_audit.py","2026-05-07 13:53:43","62","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_lear_cleaning.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_lear_cleaning.py","2026-05-06 19:30:10","48","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_lear_data_import.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_lear_data_import.py","2026-05-06 15:05:50","9,5","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_lear_export_for_qh.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_lear_export_for_qh.py","2026-05-11 11:41:56","60,7","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_lear_res_forecast_import.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_lear_res_forecast_import.py","2026-05-06 16:43:08","13,5","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_lear_six_year_benchmark.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_lear_six_year_benchmark.py","2026-05-08 11:30:37","63,8","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_multiday_feature_audit.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_multiday_feature_audit.py","2026-05-07 15:40:53","16,5","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_settings_availability_audit.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_settings_availability_audit.py","2026-05-07 15:23:01","35,4","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_lago_variant_decision_analysis.py","scripts\Data\02_Forecasting\01_DA_prices\run_lago_variant_decision_analysis.py","2026-05-07 20:57:32","33,1","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_option_ab_validation_sweep.py","scripts\Data\02_Forecasting\01_DA_prices\run_option_ab_validation_sweep.py","2026-04-29 20:13:52","16,1","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_option_c_validation_sweep.py","scripts\Data\02_Forecasting\01_DA_prices\run_option_c_validation_sweep.py","2026-04-29 19:41:03","20,2","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_revised_parent_benchmark.py","scripts\Data\02_Forecasting\01_DA_prices\run_revised_parent_benchmark.py","2026-04-29 15:04:06","4,1","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_staged_block_ablation.py","scripts\Data\02_Forecasting\01_DA_prices\run_staged_block_ablation.py","2026-04-29 15:04:06","21,9","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_xgboost_fs3_tuning_pilot.py","scripts\Data\02_Forecasting\01_DA_prices\run_xgboost_fs3_tuning_pilot.py","2026-04-29 15:04:06","14,9","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"validate_frozen_d_only_lago.py","scripts\Data\02_Forecasting\01_DA_prices\validate_frozen_d_only_lago.py","2026-05-07 22:21:17","6,5","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"check_gurobi_license.py","scripts\\dev\\check_gurobi_license.py","2026-05-14 15:16:37","1,5","dev_environment_check","move_to_scripts_dev_keep","low","Environment diagnostic helper; isolated from forecasting pipeline."
"check_pyomo_gurobi.py","scripts\\dev\\check_pyomo_gurobi.py","2026-05-14 15:16:41","1,6","dev_environment_check","move_to_scripts_dev_keep","low","Environment diagnostic helper; isolated from forecasting pipeline."
"run_15min_canonical_v1_counterfactual_evaluation.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_canonical_v1_counterfactual_evaluation.py","2026-05-03 18:46:31","0,6","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_15min_canonical_v1_counterfactual_smoke_checks.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_canonical_v1_counterfactual_smoke_checks.py","2026-05-03 18:46:31","3,6","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_15min_observed_deterministic_forecast.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_observed_deterministic_forecast.py","2026-05-03 17:44:31","0,6","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_15min_observed_deterministic_smoke_checks.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_observed_deterministic_smoke_checks.py","2026-05-03 17:58:53","3,5","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_case_week_selection.py","scripts\Data\02_Forecasting\01_DA_prices\run_case_week_selection.py","2026-04-29 15:04:06","4,2","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_data_overview.py","scripts\Data\02_Forecasting\01_DA_prices\run_data_overview.py","2026-04-29 15:04:06","1,5","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_endogenous_feature_diagnostics.py","scripts\Data\02_Forecasting\01_DA_prices\run_endogenous_feature_diagnostics.py","2026-04-29 15:04:06","10,8","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_feature_family_ablation.py","scripts\Data\02_Forecasting\01_DA_prices\run_feature_family_ablation.py","2026-04-29 15:04:06","8,8","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_fs3_ordered_benchmarks.py","scripts\Data\02_Forecasting\01_DA_prices\run_fs3_ordered_benchmarks.py","2026-04-29 15:04:06","96,4","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_lear_benchmark.py","scripts\Data\02_Forecasting\01_DA_prices\run_lear_benchmark.py","2026-04-29 15:04:06","2,7","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_model_comparison.py","scripts\Data\02_Forecasting\01_DA_prices\run_model_comparison.py","2026-04-29 15:04:06","15,3","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_naive_benchmark.py","scripts\Data\02_Forecasting\01_DA_prices\run_naive_benchmark.py","2026-04-29 15:04:06","1,1","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_prophet_benchmark.py","scripts\Data\02_Forecasting\01_DA_prices\run_prophet_benchmark.py","2026-04-29 15:04:06","3,1","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_storage_cleanup.py","scripts\Data\02_Forecasting\01_DA_prices\run_storage_cleanup.py","2026-04-29 15:04:06","0,4","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_visual_case_weeks.py","scripts\Data\02_Forecasting\01_DA_prices\run_visual_case_weeks.py","2026-04-29 15:04:06","9","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_xgboost_benchmark.py","scripts\Data\02_Forecasting\01_DA_prices\run_xgboost_benchmark.py","2026-04-29 15:04:06","3","protected_canonical_runner","keep_in_place","very_high","Listed in pipeline README main runners or core comparability workflow."
"run_15min_frozen_actual_path.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_frozen_actual_path.py","2026-05-02 13:52:15","0,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase01_refresh.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase01_refresh.py","2026-05-01 11:39:27","0,7","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase02_shape_targets.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase02_shape_targets.py","2026-05-01 11:49:55","0,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase03_anchor_selection.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase03_anchor_selection.py","2026-05-01 12:15:09","0,7","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase04_empirical_validation.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase04_empirical_validation.py","2026-05-01 12:31:35","0,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase05_counterfactual_generation.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase05_counterfactual_generation.py","2026-05-02 14:43:32","1","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase06_milp_exports.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase06_milp_exports.py","2026-05-02 14:43:38","0,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase07_realistic_track_a.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase07_realistic_track_a.py","2026-05-01 16:13:33","0,9","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_phase07_upstream_refresh.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_phase07_upstream_refresh.py","2026-05-01 18:48:15","0,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_fs1_endogenous_ablation.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_fs1_endogenous_ablation.py","2026-05-06 11:17:05","2,2","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_fs1_model_comparison.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_fs1_model_comparison.py","2026-05-05 14:23:29","1,4","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_fs1_phase2_7_hourly_parity.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_fs1_phase2_7_hourly_parity.py","2026-05-06 11:09:26","0,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_model3_lear_strict.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_model3_lear_strict.py","2026-05-11 20:34:39","1,8","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_scenario_generation.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_scenario_generation.py","2026-05-12 15:41:19","3,1","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_scenario_preflight.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_scenario_preflight.py","2026-05-12 15:42:27","1,9","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_qh_three_model_comparison.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_qh_three_model_comparison.py","2026-05-11 20:37:45","1,5","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
"run_15min_thesis_governance_smoke_checks.py","scripts\Data\02_Forecasting\01_DA_prices\run_15min_thesis_governance_smoke_checks.py","2026-05-02 14:45:47","3,4","protected_legacy_support_runner","keep_in_place","high","Phase02/03/04/07 and quarter-hour support path retained by AGENTS guardrails."
