source_card_id,source_title,author_or_organisation,publication_year,source_type,authority_class,public_status,stable_document_identifier,stable_url_or_doi,page_table_or_section,primary_or_secondary,source_scope,source_review_status,locator_complete,eligible_for_candidate_evidence,eligible_for_dev_input_review,thesis_usability,discovery_provenance,notes
STEEL-SC-S32-NL-DA-PRICE-2024,Netherlands 2024 average day-ahead electricity price,ENTSO-E / ACER / public market-data benchmark,2024,public market benchmark,market data benchmark,public,human-verified Netherlands 2024 DA average price,public market-data benchmark,2024 Netherlands average day-ahead price,secondary,Static electricity price anchor for S3.2 baseline,selected_from_human_verified_user_instruction,true,true,true,false,current S3.2 task prompt,Static baseline only; no hourly DA logic
STEEL-SC-S32-TTF-GAS-2024,TTF 2024 static natural-gas price sensitivity set,Public TTF market benchmark,2024,public market benchmark,market data benchmark,public,human-verified TTF 2024 static sensitivity set,public TTF benchmark,2024 TTF low central high,secondary,Static natural-gas price anchor for S3.2 baseline,selected_from_human_verified_user_instruction,true,true,true,false,current S3.2 task prompt,Converted from EUR/MWh-th to EUR/GJ by divide by 3.6
STEEL-SC-S32-EUA-PRICE-2024,EUA 2024 static gross CO2 price sensitivity set,Public EUA market benchmark,2024,public market benchmark,market data benchmark,public,human-verified EUA 2024 central and sensitivity set,public EUA benchmark,2024 EUA low central high,secondary,Static gross direct CO2 price anchor for S3.2 baseline,selected_from_human_verified_user_instruction,true,true,true,false,current S3.2 task prompt,Applies only to selected direct emissions; no free allocation
STEEL-SC-S32-MATERIAL-DEV-POLICY,S3.2 development material recipe and commodity-price policy,User-authorised thesis model policy,2026,scenario policy,user selected assumption,not_applicable,S3.2 static material recipe and price policy prompt 2026-06-19,governed_policy:S3.2_material_dev_policy_2026-06-19,Material recipe and price fallback assumptions,secondary,Development-only material cost completeness policy for endogenous route diagnostic,selected_from_user_policy,true,true,true,false,current S3.2 task prompt,Tier-D values require sensitivity; replace before thesis validation
STEEL-SC-S32-WAG-INTERFACE-POLICY,S3.2 residual WAG-to-power utilisation policy,User-authorised thesis model policy,2026,scenario policy,user selected assumption,not_applicable,S3.2 bounded residual WAG interface policy prompt 2026-06-19,governed_policy:S3.2_wag_interface_policy_2026-06-19,Residual WAG utilisation fraction low central high,secondary,Bounded WAG-to-power interface policy for practical static baseline,selected_from_user_policy,true,true,true,false,current S3.2 task prompt,Not Vattenfall or Tata exact; no export and no WAG revenue
STEEL-SC-0008,Steel and raw materials,World Steel Association,2023,industry fact sheet,sector association public reference,public,Fact sheet March 2023 BC,https://worldsteel.org/wp-content/uploads/Fact-sheet-raw-materials-2023-1.pdf,Page 2 responsible management of natural resources gases section,primary,Sector-level structural evidence for internal steam electricity and import offset,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0009,Prospective Scenarios on Energy Efficiency and CO2 Emissions in the EU Iron and Steel Industry,European Commission Joint Research Centre / SETIS / N. Pardo et al.,2012,JRC SETIS report,public technical report,public,JRC/SETIS report,https://setis.ec.europa.eu/system/files/2021-01/Prospective-Scenarios-on-Energy-Efficiency-and-CO2-Emissions-EU-Iron-Steel-Industry.pdf,Section discussing steel plant gas power generation,primary,EU-sector WAG-to-power configuration and efficiency context,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0010,Understanding the Techno-Economics of Deploying CO2 Capture Technologies in an Integrated Steel Mill,IEA Greenhouse Gas R&D Programme / Swerea MEFOS and partners,2013,technical sector study,public technical report,public,IEAGHG 2013-04,https://ieaghg.org/publications/2013-04%20Iron%20and%20Steel%20CCS%20Study%20%28Techno-Economics%20Integrated%20Steel%20Mill%29.pdf,Overview section; Appendix Unit 1200 power plant specifications; power-plant sensitivity cases; off-gas surplus and flaring assumption sections,primary,Generic integrated steel mill off-gas power and surplus treatment,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0011,The Netherlands list of fuels and standard CO2 emission factors version of January 2025,Netherlands Enterprise Agency RVO with Dutch Emission Authority and Emission Register stakeholders,2025,official national fuel list,official government factor list,public,Netherlands fuel list January 2025,https://english.rvo.nl/sites/default/files/2025-02/the-Netherlands-%20list-of-fuels-January-2025.pdf,Section 1 fuel list table; notes on the fuel list,primary,Dutch public NCV and CO2 reporting factors for WAG and natural gas,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0012,CO2 Emission Factors for Fossil Fuels,Umweltbundesamt,2019,official national emissions report,official government factor report,public,Climate Change report; fossil-fuel emission factors,https://www.umweltbundesamt.de/system/files/medien/1968/publikationen/co2_emission_factors_for_fossil_fuels_correction.pdf,Section 6.1 industrial gases / steel gases,primary,German national factor corroboration and sensitivity ranges,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0013,Feasibility study on climate-neutral pathways for TSN IJmuiden,Tata Steel Nederland / FNV-Zeester / Roland Berger,2021,public feasibility study,company and consultant public study,public,Public feasibility study,https://products.tatasteelnederland.com/sites/producttsn/files/TSN%20Climate%20Neutral%20Pathways%20Final%20Report.pdf,Current site and project focus schematic; DRI 1 and DRI 2 transition steps; closure notes for coke and gas plants,primary,Tata IJmuiden transition structure and WAG availability context,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0014,Tata Steel Nederland to acquire Vattenfall power plants in IJmond region,Vattenfall,2025,press release,public corporate source,public,Press release 14 November 2025,https://group.vattenfall.com/press-and-media/pressreleases/2025/tata-steel-nederland-to-acquire-vattenfall-power-plants-in-ijmond-region/,Section Vattenfall power plants in IJmond region,primary,Public structural interface evidence for VN24 VN25 and IJM-01,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0015,Tata Steel Limited announcement on acquisition of Vattenfall power plants,Tata Steel Limited,2025,corporate disclosure,public corporate source,public,Disclosure SEC/1166/2025-26 dated 14 November 2025,https://www.tatasteel.com/media/25040/tata-steel-announcement-ld.pdf,Annexure target-entity details; Annexure objects and impact of acquisition,primary,Public transaction/interface evidence for Velsen power plants,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0016,MER Groen Staal - Deel B Technische beschrijving,Tata Steel Nederland / Royal HaskoningDHV,2025,MER technical description,formal public project document,public,MER Heracless technical description 15 September 2025,https://www.tatasteelnederland.com/sites/default/files/mer-groen-staal-deel-b-technische-beschrijving.pdf,Current environment and Vattenfall interface sections; energy-central variants and VN24/VN25/IJM-01; glossary and power plant discussion,primary,Public project-structure evidence for Heracless WAG and power interfaces,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0017,Detailstudie Energie en CO2-balans - MER Heracless - Groen Staal,Royal HaskoningDHV for Tata Steel IJmuiden B.V.,2025,MER energy and CO2 balance study,formal public project document,public,BI3580-IB-RP final 15 September 2025,https://pas.commissiemer.nl/files/nl/3730/01-Energie.pdf,Section 4.1; Section 5.7.2; Section 6.3; Section 6.3.1; glossary entry for Vattenfall,primary,Public Heracless energy and combustible-gas scenario evidence,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0018,REF BOF Steelmaking - Greenfield,Energy.nl / Dutch technology factsheet / Kira West,2020,technology factsheet,secondary public technology factsheet,public,Technology factsheet dated 7 September 2020,https://energy.nl/wp-content/uploads/ref-bof-steelmaking-technology-factsheet_080920-7.pdf,Description section; typical composition of gases section; emissions explanation,secondary,Secondary corroboration for typical WAG compositions and LHV,extracted_from_secondary_source,true,true,false,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0019,Efficiency of heat and electricity production technologies,European Commission Joint Research Centre,2012,JRC technology report,public technical report,public,JRC70956,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC70956/jrc%20efficiency%20of%20heat%20and%20electricity%20production%20technologies%20final%20revision%2020121115%20online.pdf,Power-generation technology sections; boiler and steam-cycle discussion,primary,Generic heat and electricity production technology context,locator_incomplete,false,true,false,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0020,Optimization Simulation Using Steel Plant Off-Gas for Power Generation: A Life-Cycle Cost Analysis Approach,Y.K. Kim et al. / Energies MDPI,2018,peer-reviewed article,academic article,public,Energies 2018 11(11) 2884; DOI 10.3390/en11112884,https://doi.org/10.3390/en11112884,Table 1 off-gas power plant parameters,primary,Case-study evidence for steel off-gas power-generation parameters,discovery_only,true,true,false,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
"STEEL-SC-0021","Modeling the Energy Transition of an Integrated Steel Site: The Case of Tata Steel's IJmuiden Site","Ioannis Athanasiadis / TU Delft","2025","master_thesis","Tata-linked academic thesis","public_thesis_literature_derived","Public MSc thesis; Delft University of Technology; February 17 2025; human-verified locator packet accepted for S3 Tier B use","human_verified_public_thesis_locator_packet_no_repo_pdf_required","Section 3.5.4; EAF Figure 46 Table 1 p.56; NG-DRP Figure 47 Table 2 p.57; EAF committable abstraction text near Table 1","secondary","Tata IJmuiden-inspired process-network modelling precedent for transition configurations; supports EAF and DRP candidate parameters; EAF binary or committable abstraction; DRP ramp and range; hourly abstraction choices","human_verified_tier_b_locator_complete_for_eaf_and_ng_drp_tables","true","true","true","false","data/03_Optimisation/inputs/assets/steel/source_cards/F18_athanasiadis_tata_ijmuiden_thesis.md; docs/optimisation/steel/S3/STEEL_S3_0C_DRP_EAF_SOURCE_CANONICALISATION_AND_C1_COMPONENT_DIAGNOSTIC.md","Use as closest Tata-inspired modelling precedent not as public Tata measurement. Does not support public Tata current-plant exact operating truth or exact executable inputs without review. Stable local/user-supplied identifier from current payload: uploaded_file:Master_Thesis_Report_Athanasiadis (1).pdf."
"S3_4_GUARDRAIL_BADARINATH_2025","Optimising Industrial Participation in the Day-Ahead Electricity Market: A Stochastic Bidding Framework with Risk Management","Mukunda Badarinath / TU Delft","2025","master_thesis","Tata-linked academic thesis","user_supplied_local_copy","uploaded_file:Master_Thesis_Mukunda_Badarinath.pdf","local_user_supplied_copy","Section 2.3.4; Section 5.2.3; Equation 5.9; DRI buffer discussion; EAF maintenance discussion if relevant","secondary","Stochastic bidding and steel DRP-EAF modelling precedent; supports EAF semi-continuous binary logic; DRI buffer decoupling; generic EAF minimum operational level; future DRP-EAF flexibility framing","locator_incomplete","false","true","false","false","user_supplied_payload:s3_4_eaf_drp_guardrail_codex_payload.md","Use for formulation and modelling precedent. Do not convert redacted or confidential values into public inputs. Does not support independent public Tata physical parameters where values are redacted or confidential."
"S3_4_GUARDRAIL_PAULUS_BORGGREFE_2011","The potential of demand-side management in energy-intensive industries for electricity markets in Germany","Moritz Paulus and Frieder Borggrefe","2011","peer_reviewed_paper","academic_literature","public_metadata_publisher_paper","Applied Energy 88(2) 432-441","https://doi.org/10.1016/j.apenergy.2010.03.017","Exact page/table/section still needs verification","secondary","Generic industrial DSM and scrap-EAF flexibility evidence; supports generic scrap-EAF heat-cycle and DSM constraints; 0.525 MWh/t steel; 45 min melting; 15 min empty/refill; interruption restart risk; practical utilisation; load-shedding framing","locator_incomplete","false","true","false","false","user_supplied_payload:s3_4_eaf_drp_guardrail_codex_payload.md","Generic scrap-EAF DSM source. Use for plausibility and later sensitivity not base-case Tata truth. Does not support Tata IJmuiden-specific EAF values; future Heracless DRP-EAF exact constraints; DRI-basis energy intensity; direct executable model inputs."
