candidate_id,parameter_family,parameter_name,carrier,linked_activity_or_node,configuration_relevance,candidate_lower,candidate_central,candidate_upper,unit,activity_basis,energy_basis,time_basis,source_card_ids,source_locator,evidence_strength,recommended_status,central_value_method,eligible_for_dev_smoke_review,eligible_for_thesis_input,human_review_required,thesis_usability,codex_may_decide,main_caveat,notes
S32_EVID_MATERIAL_PRICE_POLICY,material_price,material_price_set,route_materials,route_activity,both,not_applicable,not_applicable,not_applicable,mixed,route-specific material drivers,price,static,STEEL-SC-S32-MATERIAL-DEV-POLICY,user authorised Tier-D material price coverage policy,low,selected_development_input,explicit development fallback set,true,false,true,false,false,Replace with public benchmarks before thesis validation,
S32_EVID_ROUTE_MATERIAL_RECIPE_POLICY,material_recipe,route_material_recipe_set,route_materials,route_activity,both,not_applicable,not_applicable,not_applicable,mixed,route-specific material drivers,material_recipe,static,STEEL-SC-S32-MATERIAL-DEV-POLICY,user authorised Tier-D material recipe coverage policy,low,selected_development_input,explicit development fallback set,true,false,true,false,false,No hidden zero costs allowed,
S32_EVID_BF_BOF_DIRECT_PROXY_POLICY,direct_emissions,bf_bof_aggregate_direct_co2_t_per_t_bof,BF_BOF,bof_liquid_steel,both,1.6,1.8,2.1,tCO2/t_BOF_liquid_steel,per tonne BOF liquid steel,direct_emissions_proxy,static,STEEL-SC-S32-MATERIAL-DEV-POLICY,development aggregate proxy minus explicitly counted WAG oxidation,low,selected_development_input,explicit Tier-D carbon-boundary proxy,true,false,true,false,false,Not a coal/coke full-combustion shortcut,
S32_EVID_WAG_INTERFACE_POLICY,wag_power_interface,wag_power_residual_utilisation_fraction,WAG,residual_wag,both,0.25,0.50,0.75,fraction,residual WAG after mandatory heat uses,power_interface,static,STEEL-SC-S32-WAG-INTERFACE-POLICY,user authorised bounded residual WAG interface policy,low,selected_development_input,explicit Tier-D sensitivity policy,true,false,true,false,false,No export and no WAG revenue,
STEEL-WAG-EVID-0004,wag_generation_coefficient,cog_raw_yield_per_tonne_dry_coal,COG,coke_oven_or_coking_activity,both,280,not_reported,450,m3/t_dry_coal,per tonne dry coal,gas_volume,not_applicable,STEEL-SC-0001,Table 5.1,high,candidate_range,not_reported,true,false,true,false,false,Coal basis must not be confused with coke basis,
STEEL-WAG-EVID-0005,wag_generation_coefficient,cog_generation_per_tonne_coke_direct,COG,coke_oven_or_coking_activity,both,360,not_reported,518,Nm3/t_coke,per tonne coke,gas_volume,not_applicable,STEEL-SC-0001,Table 5.2,high,candidate_range,not_reported,true,false,true,false,false,Direct coke-basis source preferred over derived coal-to-coke estimate,
STEEL-WAG-EVID-0006,lower_heating_value,cog_lhv_raw_gas,COG,cog_carrier,both,17.4,not_reported,20.0,MJ/Nm3,raw coke oven gas,LHV,not_applicable,STEEL-SC-0001,Table 5.1,high,candidate_range,not_reported,true,false,true,false,false,Raw gas basis; cleaned fuel gas may differ,
STEEL-WAG-EVID-0007,wag_generation_coefficient,bofg_generation_suppressed_combustion,BOFG/LDG,basic_oxygen_furnace_activity,both,50,not_reported,100,Nm3/t_liquid_steel,per tonne liquid steel,gas_volume,not_applicable,STEEL-SC-0001,Suppressed-combustion BOF gas text,high,candidate_range,not_reported,true,false,true,false,false,Suppressed-combustion recovery regime; not blow-transient model,
STEEL-WAG-EVID-0008,wag_generation_coefficient,bofg_generation_table_7_6,BOFG/LDG,basic_oxygen_furnace_activity,both,50,not_reported,120,Nm3/t_liquid_steel,per tonne liquid steel,gas_volume,not_applicable,STEEL-SC-0001,Table 7.6,high,candidate_range,not_reported,true,false,true,false,false,Range differs from suppressed-combustion text; retain separately for review,
STEEL-WAG-EVID-0009,lower_heating_value,bofg_lhv_downstream_gasholder,BOFG/LDG,bofg_carrier,both,7100,9580,10100,kJ/Nm3,downstream of gas holder,LHV,not_applicable,STEEL-SC-0001,Table 7.5,high,candidate_range,explicit_average,true,false,true,false,false,Average is source-reported; convert units only in later governed step,
STEEL-WAG-EVID-0010,composition,cog_composition_ranges,COG,cog_carrier,both,H2 39-65 vol%; CH4 20-42 vol%; hydrocarbons 2.0-8.5 vol%; CO 4-7 vol%; CO2 1-3 vol%,not_applicable,not_applicable,vol-%,raw coke oven gas,composition,not_applicable,STEEL-SC-0001,Table 5.1,high,candidate_range,not_applicable,true,false,true,false,false,Broad composition ranges vary with coal mix and coking time,
STEEL-WAG-EVID-0011,composition,bofg_average_composition,BOFG/LDG,bofg_carrier,both,not_applicable,CO 72.5 vol%; H2 3.3 vol%; CO2 16.2 vol%; N2+Ar 8.0 vol%,not_applicable,vol-%,downstream of gas holder,composition,not_applicable,STEEL-SC-0001,Table 7.5,high,candidate_point_value,explicit_average,true,false,true,false,false,Average composition unsuitable for transient blow recovery model,
STEEL-WAG-EVID-0012,composition,bfg_typical_composition_secondary,BFG,bfg_carrier,both,not_applicable,N2 49%; CO 22%; CO2 22%; H2 4%; H2O 3%,not_applicable,vol-%,typical BF gas,composition,not_applicable,STEEL-SC-0018,Typical composition of gases section,medium,sensitivity_only,explicit_point,false,false,true,false,false,Secondary factsheet; use only as corroborating sensitivity evidence,
STEEL-WAG-EVID-0013,composition,cog_typical_composition_secondary,COG,cog_carrier,both,not_applicable,H2 60%; CH4 23%; N2 6%; H2O 4%; CO 4%; CO2 1%; O2 <0.5%; other 3%,not_applicable,vol-%,typical COG,composition,not_applicable,STEEL-SC-0018,Typical composition of gases section,medium,sensitivity_only,explicit_point,false,false,true,false,false,Secondary factsheet; use only as corroborating sensitivity evidence,
STEEL-WAG-EVID-0014,composition,bofg_typical_composition_secondary,BOFG/LDG,bofg_carrier,both,not_applicable,CO 57%; CO2 14%; N2 14%; H2O 12%; H2 3%,not_applicable,vol-%,typical BOFG,composition,not_applicable,STEEL-SC-0018,Typical composition of gases section,medium,sensitivity_only,explicit_point,false,false,true,false,false,Secondary factsheet; use only as corroborating sensitivity evidence,
STEEL-WAG-EVID-0015,lower_heating_value,bfg_lhv_secondary,BFG,bfg_carrier,both,not_applicable,3.2,not_applicable,MJ/Nm3,typical BF gas,LHV,not_applicable,STEEL-SC-0018,Typical composition of gases section,medium,sensitivity_only,explicit_point,false,false,true,false,false,Secondary corroboration only,
STEEL-WAG-EVID-0016,lower_heating_value,cog_lhv_secondary,COG,cog_carrier,both,not_applicable,17.3,not_applicable,MJ/Nm3,typical COG,LHV,not_applicable,STEEL-SC-0018,Typical composition of gases section,medium,sensitivity_only,explicit_point,false,false,true,false,false,Secondary corroboration only,
STEEL-WAG-EVID-0017,lower_heating_value,bofg_lhv_secondary,BOFG/LDG,bofg_carrier,both,not_applicable,7.5,not_applicable,MJ/Nm3,typical BOFG,LHV,not_applicable,STEEL-SC-0018,Typical composition of gases section,medium,sensitivity_only,explicit_point,false,false,true,false,false,Secondary corroboration only,
STEEL-WAG-EVID-0018,process_fuel_use,wag_process_fuel_substitution_structure,BFG/COG/BOFG,process_fuel_consumers,both,not_applicable,structural_use_as_direct_fuel_substitute,not_applicable,qualitative,process-use logic,useful_energy_context,not_applicable,STEEL-SC-0007,Page 1 co-product gases section; Table 1,high,validation_target_only,not_applicable,false,false,true,false,false,Structural evidence only; no substitution coefficient or price,
STEEL-WAG-EVID-0019,steam_boiler_use,wag_internal_steam_and_electricity_use,BFG/COG/BOFG,steam_power_interface,both,not_applicable,cleaned_gases_used_internally_for_steam_and_electricity,not_applicable,qualitative,site energy accounting,useful_energy_context,not_applicable,STEEL-SC-0008,Page 2 responsible management of natural resources gases section,high,validation_target_only,not_applicable,false,false,true,false,false,Structural evidence only; no boiler coefficient,
STEEL-WAG-EVID-0020,net_electricity_import_offset,wag_power_reduces_external_electricity_demand,BFG/COG/BOFG,grid_import_boundary,both,not_applicable,internal_use_reduces_external_electricity_demand,not_applicable,qualitative,site electricity accounting,net_import_offset,not_applicable,STEEL-SC-0008,Page 2 responsible management of natural resources gases section,high,validation_target_only,not_applicable,false,false,true,false,false,Supports import offset not automatic export revenue,
STEEL-WAG-EVID-0021,wag_to_power_efficiency,steel_plant_gas_to_power_sector_average,BFG/COG/BOFG,wag_to_power_interface,both,not_applicable,32,not_applicable,% net_electric_efficiency,steel plant gases,LHV_context,not_applicable,STEEL-SC-0009,Section discussing steel plant gas power generation,medium-high,sensitivity_only,explicit_average,false,false,true,false,false,Sector average not Tata/Vattenfall efficiency,
STEEL-WAG-EVID-0022,wag_to_power_efficiency,integrated_mill_offgas_power_efficiency_range,BFG/BOFG/NG,wag_to_power_interface,both,32.1,not_reported,42.2,% net_electric_efficiency,captive power plant cases,LHV,not_applicable,STEEL-SC-0010,Appendix Unit 1200 power plant specifications; power-plant sensitivity cases,medium,sensitivity_only,not_reported,false,false,true,false,false,Reference mill cases not Tata dispatch truth,
STEEL-WAG-EVID-0023,flare_spill_treatment,surplus_offgas_flaring_assumption,BFG/COG/BOFG,flare_or_spill_sink,both,not_applicable,surplus_offgases_not_used_are_flared,not_applicable,qualitative,unused off-gas treatment,not_applicable,not_applicable,STEEL-SC-0010,Off-gas surplus and flaring assumption sections,medium,validation_target_only,not_applicable,false,false,true,false,false,Validation rule; no flare penalty or hourly cap,
STEEL-WAG-EVID-0024,natural_gas_displacement_convention,deficit_offgas_supplemented_by_natural_gas,BFG/BOFG/NG,natural_gas_import_boundary,both,not_applicable,deficit_offgas_can_be_supplemented_by_imported_natural_gas,not_applicable,qualitative,deficit off-gas treatment,useful_energy_context,not_applicable,STEEL-SC-0010,Off-gas surplus and flaring assumption sections,medium,validation_target_only,not_applicable,false,false,true,false,false,Scenario-boundary evidence only; not a price or dispatch rule,
STEEL-WAG-EVID-0025,emission_factor,cog_combustion_factor_netherlands,COG,wag_combustion_or_flare,both,not_applicable,42.8,not_applicable,kg CO2/GJ,direct combustion factor,NCV,not_applicable,STEEL-SC-0011,Section 1 fuel list table,high,candidate_point_value,explicit_point,true,false,true,false,false,Dutch reporting factor not plant-specific measured composition,
STEEL-WAG-EVID-0026,emission_factor,bfg_combustion_factor_netherlands,BFG,wag_combustion_or_flare,both,not_applicable,247.4,not_applicable,kg CO2/GJ,direct combustion factor,NCV,not_applicable,STEEL-SC-0011,Section 1 fuel list table,high,candidate_point_value,explicit_point,true,false,true,false,false,Dutch reporting factor not plant-specific measured composition,
STEEL-WAG-EVID-0027,emission_factor,oxygas_bofg_combustion_factor_netherlands,BOFG/LDG,wag_combustion_or_flare,both,not_applicable,191.9,not_applicable,kg CO2/GJ,direct combustion factor,NCV,not_applicable,STEEL-SC-0011,Section 1 fuel list table,high,candidate_point_value,explicit_point,true,false,true,false,false,Oxy gas terminology must be mapped carefully to BOFG/LDG,
STEEL-WAG-EVID-0028,emission_factor,cog_combustion_factor_germany,COG,wag_combustion_or_flare,both,40.3,not_reported,41.8,t CO2/TJ,direct combustion factor,NCV,not_applicable,STEEL-SC-0012,Section 6.1 industrial gases / steel gases,medium-high,sensitivity_only,not_reported,false,false,true,false,false,German national factor range for corroboration only,
STEEL-WAG-EVID-0029,emission_factor,bfg_combustion_factor_germany,BFG,wag_combustion_or_flare,both,254.9,not_reported,272,t CO2/TJ,direct combustion factor,NCV,not_applicable,STEEL-SC-0012,Section 6.1 industrial gases / steel gases,medium-high,sensitivity_only,not_reported,false,false,true,false,false,German national factor range for corroboration only,
STEEL-WAG-EVID-0030,emission_factor,bofg_combustion_factor_germany,BOFG/LDG,wag_combustion_or_flare,both,188.6,not_reported,195.1,t CO2/TJ,direct combustion factor,NCV,not_applicable,STEEL-SC-0012,Section 6.1 industrial gases / steel gases,medium-high,sensitivity_only,not_reported,false,false,true,false,false,German national factor range for corroboration only,
STEEL-WAG-EVID-0031,lower_heating_value,bfg_ncv_germany,BFG,bfg_carrier,both,3.3,not_reported,3.6,MJ/m3,industrial gas property,NCV,not_applicable,STEEL-SC-0012,Section 6.1 industrial gases / steel gases,medium-high,sensitivity_only,not_reported,false,false,true,false,false,German NCV corroboration; basis differs from JRC LHV rows,
STEEL-WAG-EVID-0032,lower_heating_value,bofg_ncv_germany,BOFG/LDG,bofg_carrier,both,8.1,not_reported,8.5,MJ/m3,industrial gas property,NCV,not_applicable,STEEL-SC-0012,Section 6.1 industrial gases / steel gases,medium-high,sensitivity_only,not_reported,false,false,true,false,false,German NCV corroboration; basis differs from JRC LHV rows,
STEEL-WAG-EVID-0033,natural_gas_displacement_convention,eu_ets_wag_allocation_correction_factor,WAG/NG,natural_gas_displacement_convention,both,not_applicable,0.667,not_applicable,dimensionless,FAR allocation formula,allocation_convention,not_applicable,STEEL-SC-0002,Sections around Corr_eta and natural-gas reference,high,assumption_only,explicit_point,false,false,true,false,false,Allocation convention is not a physical efficiency coefficient,
STEEL-WAG-EVID-0034,emission_factor,eu_ets_natural_gas_reference_factor,NG,natural_gas_displacement_convention,both,not_applicable,56.1,not_applicable,t CO2/TJ,FAR allocation formula,allocation_convention,not_applicable,STEEL-SC-0002,Section around HALWasteGas formula,high,assumption_only,explicit_point,false,false,true,false,false,Allocation reference not a WAG combustion factor,
STEEL-WAG-EVID-0035,emission_factor,mrr_cog_default_factor,COG,wag_combustion_or_flare,both,not_applicable,44.4,not_applicable,t CO2/TJ,Annex VI default factor,MRV_default,not_applicable,STEEL-SC-0003,Annex VI default factors,high,candidate_point_value,explicit_point,true,false,true,false,false,MRV default factor not plant-specific measured value,
STEEL-WAG-EVID-0036,emission_factor,mrr_bfg_default_factor,BFG,wag_combustion_or_flare,both,not_applicable,260,not_applicable,t CO2/TJ,Annex VI default factor,MRV_default,not_applicable,STEEL-SC-0003,Annex VI default factors,high,candidate_point_value,explicit_point,true,false,true,false,false,MRV default factor not plant-specific measured value,
STEEL-WAG-EVID-0037,no_double_counting_boundary,mrr_inherent_co2_waste_gas_rule,BFG/COG/BOFG,emissions_accounting_boundary,both,not_applicable,include_inherent_co2_in_source_stream_factor_and_count_at_transfer_or_emission_boundary,not_applicable,accounting_rule,MRV source stream,carbon_accounting,not_applicable,STEEL-SC-0003,Article 48; Article 49; Annex IV,high,validation_target_only,not_applicable,false,false,true,false,false,Accounting rule not dispatch or coefficient approval,
STEEL-WAG-EVID-0038,captured_co2_visibility,mrr_co2_transfer_visibility_rule,CO2,captured_co2_reporting_boundary,C1,not_applicable,deduction_requires_transfer_for_storage_or_eligible_use,not_applicable,accounting_rule,MRV CO2 transfer,carbon_accounting,not_applicable,STEEL-SC-0003,Article 49,high,validation_target_only,not_applicable,false,false,true,false,false,Captured CO2 visibility is not automatic emissions credit,
STEEL-WAG-EVID-0039,no_double_counting_boundary,far_bubble_and_waste_gas_attribution_rule,BFG/COG/BOFG,emissions_accounting_boundary,both,not_applicable,producer_consumer_boundary_and_bubble_approach_prevent_double_counting,not_applicable,accounting_rule,FAR monitoring,carbon_accounting,not_applicable,STEEL-SC-0004,Integrated steel plant bubble approach; Section 6.15; waste-gas attribution examples,high,validation_target_only,not_applicable,false,false,true,false,false,Free-allocation guidance not physical dispatch model,
STEEL-WAG-EVID-0040,no_double_counting_boundary,ipcc_coke_steel_byproduct_gas_boundary,BFG/COG,emissions_accounting_boundary,both,not_applicable,avoid_double_counting_or_omission_across_coke_steel_and_energy_categories,not_applicable,accounting_rule,inventory boundary,carbon_accounting,not_applicable,STEEL-SC-0005,Coke production and iron/steel production completeness; double counting or omission text,high,validation_target_only,not_applicable,false,false,true,false,false,Inventory guidance not optimisation formulation,
STEEL-WAG-EVID-0041,flare_spill_treatment,ipcc_integrated_facility_flare_rate_context,BFG/COG/LDG,flare_or_spill_sink,both,0,not_reported,5,% total_gas_produced,integrated facility flaring context,inventory_context,not_applicable,STEEL-SC-0006,Box 4.0; integrated facilities and Tier combinations text,high,sensitivity_only,not_reported,false,false,true,false,false,Less-than-5-percent context must not become fixed hourly cap,
STEEL-WAG-EVID-0042,c1_wag_availability_reduction,tsn_phase1_closure_structure,BFG/COG,C1_phase1_transition_context,C1,not_applicable,DRI1_closes_coke_and_gas_plant_2; DRI2_replaces_blast_furnace_7_and_closes_coke_and_gas_plant_1_and_sinter_lines,not_applicable,qualitative,transition step,not_applicable,annual/contextual,STEEL-SC-0013,DRI 1 and DRI 2 transition steps; closure notes for coke and gas plants,medium-high,validation_target_only,not_applicable,false,false,true,false,false,Transition structure not hourly WAG coefficient,
STEEL-WAG-EVID-0043,vattenfall_ijmuiden_interface,vattenfall_power_plants_internal_use_structure,BFG/COG/BOFG,Vattenfall_or_on_site_generation_interface,both,not_applicable,VN24_VN25_generate_electricity_from_residual_gases; IJM-01_CHP_produces_electricity_and_steam_for_TSN,not_applicable,qualitative,public interface evidence,not_applicable,not_applicable,STEEL-SC-0014,Section Vattenfall power plants in IJmond region,high,validation_target_only,not_applicable,false,false,true,false,false,No contract dispatch efficiency allocation or price rule,
STEEL-WAG-EVID-0044,vattenfall_ijmuiden_interface,tata_acquisition_capacity_and_tolling_context,BFG/COG/BOFG,Vattenfall_or_on_site_generation_interface,both,not_applicable,770,not_applicable,MW_electric_capacity,transferred Velsen power plants,capacity_context,not_applicable,STEEL-SC-0015,Annexure target-entity details; Annexure objects and impact of acquisition,high,validation_target_only,explicit_point,false,false,true,false,false,Capacity and tolling context blocked for dispatch and export revenue,
STEEL-WAG-EVID-0045,vattenfall_ijmuiden_interface,mer_energy_central_operating_time_pair,BFG/COG/BOFG/NG,Vattenfall_VN25_IJM01_interface,C1_Heracless_phase1,85,85_VN25_15_IJM01,15,%_time_in_operation_pair,Heracless primary and backup configuration,not_applicable,scenario_assumed_operating_time_not_hourly_dispatch,STEEL-SC-0016,Report pp.48 and 115; PDF pp.49 and 116; Sections 5.3 and 14.5,high,validation_target_only,direct_source_pair,false,false,true,false,false,Operating-time evidence is not an output fuel WAG or hourly allocation split.,Existing VN25 85/IJM-01 15 row refined in place; VN24 remains backup when both are unavailable.
STEEL-WAG-EVID-0046,c1_wag_availability_reduction,heracless_combustible_gas_to_vattenfall_reduction,BFG/COG/BOFG,C1_phase1_transition_context,C1,not_applicable,45,not_applicable,% reduction,Heracless scenario described,scenario_context,not_applicable,STEEL-SC-0017,Section 6.3; Section 6.3.1,medium-high,validation_target_only,explicit_point,false,false,true,false,false,Public MER scenario not exact hourly WAG availability,
STEEL-WAG-EVID-0047,captured_co2_visibility,mer_energy_co2_balance_reporting_context,CO2,captured_co2_reporting_boundary,C1,not_applicable,reporting_visibility_required_without_automatic_credit,not_applicable,accounting_rule,MER energy and CO2 balance context,carbon_accounting,not_applicable,STEEL-SC-0017,Section 4.1; Section 6.3; Section 6.3.1,medium,validation_target_only,not_applicable,false,false,true,false,false,Use only as reporting context unless explicit transport/storage sink is modelled,
STEEL-WAG-EVID-0048,steam_boiler_use,kim_boiler_efficiency_discovery_value,mixed_WAG,boiler_or_steam_interface,both,not_applicable,85.17,not_applicable,% boiler_efficiency,off-gas power plant parameter,not_verified_basis,not_applicable,STEEL-SC-0020,Table 1 off-gas power plant parameters,low-medium,discovery_only,explicit_point,false,false,true,false,false,Primary table verification required; single study not base-case coefficient,
STEEL-WAG-EVID-0049,cog_chain,coke_rate_per_t_hot_metal,COG,BF_hot_metal_activity,C0,0.27,not_reported,0.31,t_coke/t_hot_metal,per tonne hot metal,material_input,not_applicable,STEEL-SC-0001;STEEL-SC-0013,Table 5.2; current IJmuiden operating context in public pathway study,medium,candidate_range,not_reported,true,false,true,false,false,Public-generic development range; not Tata-exact and not approved input,
STEEL-WAG-EVID-0050,cog_chain,dry_coal_input_per_t_coke,COG,coking_proxy,C0,1.22,not_reported,1.35,t_dry_coal/t_coke,per tonne coke,material_input,not_applicable,STEEL-SC-0001,Table 5.2,high,candidate_range,not_reported,true,false,true,false,false,Coal-to-coke input basis must not be confused with COG yield per dry coal,
STEEL-WAG-EVID-0051,cog_chain,c0_annual_coking_capacity_proxy,COG,c0_coking_proxy,C0,not_applicable,1500000,not_applicable,t_coke/year,annual public capacity proxy,capacity_context,annual,STEEL-SC-0013,Current site and project focus schematic; coke and gas plant context,medium,assumption_only,explicit_point,true,false,true,false,false,Calendar-average development proxy; not instantaneous plant capacity,
STEEL-WAG-EVID-0052,wag_process_fuel_use,coking_underfiring_fuel_demand,BFG/COG,c0_coking_proxy,C0,3.2,not_reported,3.9,GJ_fuel/t_coke,per tonne onsite coke,fuel_energy,not_applicable,STEEL-SC-0001,Table 5.2,medium,candidate_range,not_reported,true,false,true,false,false,Public-generic coking fuel demand proxy; no fixed BFG/COG commercial split,
STEEL-WAG-EVID-0053,steam_boiler_use,coking_plant_steam_demand,BFG/COG/BOFG,c0_coking_proxy,C0,0.06,not_reported,0.80,GJ_useful_steam/t_coke,per tonne onsite coke,useful_energy,not_applicable,STEEL-SC-0001,Table 5.2,medium,candidate_range,not_reported,true,false,true,false,false,Minimum known coking-plant steam demand only; not complete site steam demand,
STEEL-WAG-EVID-0054,wag_process_fuel_use,bfg_hot_stove_reference_demand,BFG,BF_hot_metal_activity,C0,not_applicable,479.2,not_applicable,Nm3_BFG/t_hot_metal,per tonne hot metal,gas_volume,not_applicable,STEEL-SC-0010,Reference integrated mill hot-stove gas demand context,medium,assumption_only,explicit_point,true,false,true,false,false,IEAGHG reference-mill development assumption; not Tata-specific,
STEEL-WAG-EVID-0055,wag_process_fuel_use,cog_hot_stove_reference_demand,COG,BF_hot_metal_activity,C0,not_applicable,7.2,not_applicable,Nm3_COG/t_hot_metal,per tonne hot metal,gas_volume,not_applicable,STEEL-SC-0010,Reference integrated mill hot-stove gas demand context,medium,assumption_only,explicit_point,true,false,true,false,false,IEAGHG reference-mill development assumption; not Tata-specific,
STEEL-WAG-EVID-0056,wag_process_fuel_use,cog_pci_drying_reference_demand,COG,BF_hot_metal_activity,C0,not_applicable,1.4,not_applicable,Nm3_COG/t_hot_metal,per tonne hot metal,gas_volume,not_applicable,STEEL-SC-0010,Reference integrated mill PCI drying gas demand context,medium,assumption_only,explicit_point,true,false,true,false,false,IEAGHG reference-mill development assumption; not Tata-specific,
STEEL-WAG-EVID-0057,net_electricity_import_offset,c0_site_electricity_annual_average_proxy,electricity,C0_site_electricity_demand,C0,not_applicable,3000000,not_applicable,MWh/year,annual site electricity anchor,electricity,annual,STEEL-SC-0013,Current site and project focus schematic; public current-site energy context,medium,assumption_only,explicit_point,true,false,true,false,false,Annual-average development proxy only; not observed hourly load,
STEEL-WAG-EVID-0058,eaf_component,eaf_capacity,electricity,EAF,C1,not_applicable,400,not_applicable,t_DRI/hour,EAF average DRI throughput,capacity_context,not_applicable,STEEL-SC-0021,Athanasiadis 2025 Section 3.5.4 Components of the new configurations; Electric Arc Furnace (EAF); Figure 46; Table 1; p.56,medium,thesis_model_assumption,explicit_point,true,false,true,false,false,Tier B public thesis/literature-derived assumption; not Tata-exact and not validation evidence.,Evidence tier B public_secondary_literature_derived; underlying literature source unverified in this repository; sensitivity review required for material C1 assumptions.
STEEL-WAG-EVID-0059,eaf_component,eaf_dri_to_crude_steel_efficiency,material,EAF,C1,not_applicable,0.95,not_applicable,t_crude_steel/t_DRI,per tonne DRI input,conversion_efficiency,not_applicable,STEEL-SC-0021,Athanasiadis 2025 Section 3.5.4 Components of the new configurations; Electric Arc Furnace (EAF); Figure 46; Table 1; p.56,medium,thesis_model_assumption,explicit_point,true,false,true,false,false,Tier B public thesis/literature-derived assumption; not Tata-exact and not validation evidence.,Evidence tier B public_secondary_literature_derived; underlying literature source unverified in this repository; sensitivity review required for material C1 assumptions.
