parameter_id,configuration_scope,applies_to_configuration,plant_id,parameter_name,parameter_role,direction,carrier_or_material,base_value,low_value,high_value,unit,basis,conversion_formula,source_or_assumption_id,input_status,source_status,evidence_strength,executable_status,development_executable,thesis_usability,human_review_required,codex_may_decide,applies_to_solver,applies_to_diagnostics,applies_to_anchor_comparison,active_driver,constraint_used,caveat
HSM_OUTPUT_BASIS,generic,all,HSM_WBW,hsm_output_basis,accounting_policy,basis,hot_rolled_coil,t_hot_rolled_coil,,,basis,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,diagnostic_only,false,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_MER_LIQUID_STEEL_CONTEXT_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_mer_liquid_steel_context_t_y,validation_anchor,context,liquid_steel,7200000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_HSM_ROLLED_COILS_CONTEXT_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_hsm_rolled_coils_context_t_y,validation_anchor,context,hot_rolled_coil,5400000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_DSP_ROLLS_CONTEXT_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_dsp_rolls_context_t_y,validation_anchor,context,DSP_rolls,1500000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_IMPORTED_SLAB_CONTEXT_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_imported_slab_context_t_y,validation_anchor,context,imported_slab,0.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_DOWNSTREAM_SCALE_TO_ACTIVE_TARGET,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_downstream_scale_to_active_target,development_output_driver,derived_policy,downstream_scale,0.9375,,,ratio,t_hot_rolled_coil,active_liquid_steel_target / MER_liquid_steel_context,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_HSM_OUTPUT_DRIVER_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_hsm_output_driver_t_y,development_output_driver,output,hot_rolled_coil,5062500.0,,,t HRC/y,t_hot_rolled_coil,HSM_context_output * downstream_scale,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_DSP_OUTPUT_DRIVER_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_dsp_output_driver_t_y,development_output_driver,output,DSP_rolls,1406250.0,,,t/y,t_hot_rolled_coil,DSP_context_output * downstream_scale,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C0_current_BF_BOF_reference_IMPORTED_SLAB_DRIVER_T_Y,configuration_specific,C0_current_BF_BOF_reference,HSM_WBW,c0_current_bf_bof_reference_imported_slab_driver_t_y,development_output_driver,boundary_input,imported_slab,0.0,,,t slab/y,t_hot_rolled_coil,imported_slab_context * downstream_scale,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_MER_LIQUID_STEEL_CONTEXT_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_mer_liquid_steel_context_t_y,validation_anchor,context,liquid_steel,6800000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_HSM_ROLLED_COILS_CONTEXT_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_hsm_rolled_coils_context_t_y,validation_anchor,context,hot_rolled_coil,5500000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_DSP_ROLLS_CONTEXT_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_dsp_rolls_context_t_y,validation_anchor,context,DSP_rolls,1500000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_IMPORTED_SLAB_CONTEXT_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_imported_slab_context_t_y,validation_anchor,context,imported_slab,600000.0,,,t/y,t_hot_rolled_coil,,HSM_Parameters.md,validation_context_anchor,source_card_candidate,public_context_anchor,validation_only,false,false,true,false,false,true,true,false,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_DOWNSTREAM_SCALE_TO_ACTIVE_TARGET,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_downstream_scale_to_active_target,development_output_driver,derived_policy,downstream_scale,0.992647,,,ratio,t_hot_rolled_coil,active_liquid_steel_target / MER_liquid_steel_context,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_HSM_OUTPUT_DRIVER_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_hsm_output_driver_t_y,development_output_driver,output,hot_rolled_coil,5459558.823529,,,t HRC/y,t_hot_rolled_coil,HSM_context_output * downstream_scale,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_DSP_OUTPUT_DRIVER_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_dsp_output_driver_t_y,development_output_driver,output,DSP_rolls,1488970.588235,,,t/y,t_hot_rolled_coil,DSP_context_output * downstream_scale,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
C1_phase1_BF_BOF_plus_DRP_EAF_IMPORTED_SLAB_DRIVER_T_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,HSM_WBW,c1_phase1_bf_bof_plus_drp_eaf_imported_slab_driver_t_y,development_output_driver,boundary_input,imported_slab,595588.235294,,,t slab/y,t_hot_rolled_coil,imported_slab_context * downstream_scale,HSM_Parameters.md,development_output_driver,source_card_candidate,derived_modelling_policy,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
DOWNSTREAM_ROUTING_MODE,generic_policy,all,HSM_WBW,downstream_routing_mode,downstream_routing_policy,policy,downstream_routing,liquid_steel_80_20_to_DSP_HSM_with_imported_slab,,,mode,liquid_steel_to_DSP_and_HSM_internal_slab,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
DSP_LS_SHARE,generic_policy,all,HSM_WBW,dsp_ls_share,downstream_routing_policy,policy,downstream_routing,0.2,,,share,active_total_liquid_steel_target,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
HSM_INTERNAL_SLAB_SHARE,generic_policy,all,HSM_WBW,hsm_internal_slab_share,downstream_routing_policy,policy,downstream_routing,0.8,,,share,active_total_liquid_steel_target,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
HSM_BUFFER_MODE,generic_policy,all,HSM_WBW,hsm_buffer_mode,buffer_scaffold_policy,policy,downstream_routing,simple_hot_cold_slab_routing_scaffold,,,mode,routing_scaffold_no_storage,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
HOT_CHARGE_SHARE,generic_policy,all,HSM_WBW,hot_charge_share,buffer_scaffold_policy,policy,downstream_routing,1.0,,,share,internal_slab_to_hsm,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
HSM_REHEAT_POLICY,generic_policy,all,HSM_WBW,hsm_reheat_policy,reheat_policy,policy,downstream_routing,average_reheat_all_HSM_output,,,mode,all_HSM_output_average_reheat,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
HOT_CHARGE_ENERGY_SAVING_STATUS,generic_policy,all,HSM_WBW,hot_charge_energy_saving_status,blocked_parameter,policy,downstream_routing,blocked_missing_governed_parameter,,,status,no_governed_hot_charge_saving_parameter,,S4.4c5l_a_downstream_routing_policy,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only routing assumption; not Tata-validated; not thesis-approved
HSM_REHEAT_CONTROLLER_MODE,generic_policy,all,HSM_WBW,hsm_reheat_controller_mode,reheat_controller_policy,policy,HSM_reheat_controller,physical_energy_allocation_controller,,,mode,BFG_COG_BOFG_NG_to_HSM_reheat_heat_energy_balance,,S4.4c5l_b_HSM_WAG_dispatch_controller_and_traceability_patch,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only deterministic physical allocation controller; not market dispatch; not thesis-approved
HSM_REHEAT_CONTROLLER_IMPLEMENTATION_MODE,generic_policy,all,HSM_WBW,hsm_reheat_controller_implementation_mode,controller_implementation_policy,policy,HSM_reheat_controller,deterministic_physical_allocation_controller,,,mode,deterministic_accounting_allocation_not_LP_dispatch,,S4.4c5l_b_HSM_WAG_dispatch_controller_and_traceability_patch,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only deterministic physical allocation controller; not market dispatch; not thesis-approved
HSM_UNSERVED_REHEAT_BASE_ALLOWED,generic_policy,all,HSM_WBW,hsm_unserved_reheat_base_allowed,controller_feasibility_policy,policy,HSM_reheat_controller,0,,,boolean,NG_backup_should_cover_base_residual_heat,,S4.4c5l_b_HSM_WAG_dispatch_controller_and_traceability_patch,development_policy_target,engineering_assumption,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,development-only deterministic physical allocation controller; not market dispatch; not thesis-approved
