anchor_id,configuration,asset_or_flow,metric,unit,raw_source_anchor,active_scaled_anchor,model_output,absolute_gap,relative_gap,anchor_role,reconciliation_mode,source_card_or_stage,stage_introduced,thesis_usability,caveat,decision_needed
linde_residual_unmodelled_oxygen,C0_current_BF_BOF_reference,Linde/ASU,residual/unmodelled O2 to 150 t/h precedent,t/y,,,420562.40624999994,,,reporting_only,not_added_to_ASU_production,LINDE source card / C5p_a,C5p_a,false,Reported gap only; not hidden plant demand.,Review or freeze before DA/economics if this metric is used in claims.
steam_total_demand,C0_current_BF_BOF_reference,steam circuit,existing modelled steam demand,t steam/y,,,356130.613099,,,development_input,existing_C5_steam_demands_mapped_to_pressure_buses,BOILER_STEAM source card / C5p_b,C5p_b,false,"Residual/unmodelled steam demand is reported missing/deferred, not hidden.",Review or freeze before DA/economics if this metric is used in claims.
steam_supply_total,C0_current_BF_BOF_reference,steam circuit,boiler plus STEG11 steam generation,t steam/y,,,356130.6131,,,development_input,demand_led_mass_flow_steam_generation,BOILER_STEAM source card / C5p_b,C5p_b,false,"Mass-flow steam accounting, not enthalpy model.",Review or freeze before DA/economics if this metric is used in claims.
steam_72bar_supply,C0_current_BF_BOF_reference,steam_72bar,72 bar supply,t steam/y,,,178065.30655,,,development_input,K15K16_plus_STEG11_to_72bar_bus,C5p_b,C5p_b,false,"Pressure bus balance, not storage.",Review or freeze before DA/economics if this metric is used in claims.
steam_45bar_supply,C0_current_BF_BOF_reference,steam_45bar,45 bar supply,t steam/y,,,178065.30655,,,development_input,K23K24_plus_K41_to_45bar_bus,C5p_b,C5p_b,false,"Pressure bus balance, not storage.",Review or freeze before DA/economics if this metric is used in claims.
steam_15bar_process_load,C0_current_BF_BOF_reference,steam_15bar,15 bar process load,t steam/y,,,356130.613099,,,development_input,unknown_pressure_existing_loads_assumed_15bar,C5p_b,C5p_b,false,Pressure level assumption must be reviewed before thesis claims.,Review or freeze before DA/economics if this metric is used in claims.
steam_spill_total,C0_current_BF_BOF_reference,steam circuit,explicit steam spill diagnostic,t steam/y,,,0.0,,,reporting_only,explicit_spill_not_hidden_slack,C5p_b,C5p_b,false,Nonzero spill would indicate missing sinks or overproduction.,Review or freeze before DA/economics if this metric is used in claims.
steam_unserved_total,C0_current_BF_BOF_reference,steam circuit,unserved steam,t steam/y,,,0.0,,,failure_guard,unserved_steam_must_be_zero_for_thesis_usable_runs,C5p_b,C5p_b,false,Unserved steam is not hidden slack.,Review or freeze before DA/economics if this metric is used in claims.
boiler_k15k16_steam_capacity,C0_current_BF_BOF_reference,BOILER_C1_K15K16,steam capacity,t/h,220.0,220.0,220.0,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,"Capacity anchor, not hidden hourly constraint in annual ledger.",Review or freeze before DA/economics if this metric is used in claims.
boiler_k23k24_steam_capacity,C0_current_BF_BOF_reference,BOILER_C2_K23K24,steam capacity,t/h,220.0,220.0,220.0,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,"Capacity anchor, not hidden hourly constraint in annual ledger.",Review or freeze before DA/economics if this metric is used in claims.
boiler_k41_steam_capacity,C0_current_BF_BOF_reference,BOILER_C2_K41,steam capacity,t/h,80.0,80.0,80.0,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,K41 kept separate because COG is blocked.,Review or freeze before DA/economics if this metric is used in claims.
steg11_steam_capacity,C0_current_BF_BOF_reference,STEG11_CHP,steam capacity,t/h,80.0,80.0,80.0,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,STEG11 electricity is accounting-only.,Review or freeze before DA/economics if this metric is used in claims.
steg11_electricity_capacity,C0_current_BF_BOF_reference,STEG11_CHP,electricity capacity,MWe,13.1,13.1,13.1,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,Not market revenue.,Review or freeze before DA/economics if this metric is used in claims.
tg2_steam_capacity,C0_current_BF_BOF_reference,TG2_STEAM_TURBINE,steam throughput capacity,t/h,105.0,105.0,105.0,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,TG2 is steam-only.,Review or freeze before DA/economics if this metric is used in claims.
tg2_electricity_capacity,C0_current_BF_BOF_reference,TG2_STEAM_TURBINE,electricity capacity,MWe,14.5,14.5,14.5,0,0,validation_anchor,source_card_capacity_anchor,BOILER_STEAM source card / C5p_b,C5p_b,false,Not market revenue.,Review or freeze before DA/economics if this metric is used in claims.
wag_to_steam,C0_current_BF_BOF_reference,WAG ledger,BFG/COG to steam layer,MWh_LHV/y,,,310534.023602,,,development_input,useful_WAG_to_steam_no_direct_market_value,C5p_b,C5p_b,false,BOFG remains blocked/deferred for this layer.,Review or freeze before DA/economics if this metric is used in claims.
ng_backup_for_steam,C0_current_BF_BOF_reference,NG,NG backup for steam,MWh_LHV/y,,,0.0,,,reporting_only,backup_external_fuel_only,C5p_b,C5p_b,false,NG eligibility is caveated; no gas-market economics added.,Review or freeze before DA/economics if this metric is used in claims.
remaining_wag_after_steam,C0_current_BF_BOF_reference,WAG ledger,remaining WAG after steam layer,MWh_LHV/y,,,6081367.356587,,,reporting_only,deferred_generator_interface_or_spill_status,C5p_b,C5p_b,false,Vattenfall generator/interface layer remains deferred.,Review or freeze before DA/economics if this metric is used in claims.
steg11_electricity,C0_current_BF_BOF_reference,STEG11_CHP,accounting-only electricity,MWh/y,,,7787.389406,,,reporting_only,internal_accounting_only_not_market_revenue,C5p_b,C5p_b,false,Do not present as full-site net generation.,Review or freeze before DA/economics if this metric is used in claims.
tg2_electricity,C0_current_BF_BOF_reference,TG2_STEAM_TURBINE,accounting-only electricity,MWh/y,,,24573.012304,,,reporting_only,internal_accounting_only_not_market_revenue,C5p_b,C5p_b,false,Do not present as Vattenfall generation.,Review or freeze before DA/economics if this metric is used in claims.
steam_circuit_internal_electricity,C0_current_BF_BOF_reference,steam circuit,total accounting-only electricity,MWh/y,,,32360.40171,,,reporting_only,not_netted_against_process_electricity,C5p_b,C5p_b,false,Current modelled process electricity is unchanged by C5p_b.,Review or freeze before DA/economics if this metric is used in claims.
process_electricity_total,C0_current_BF_BOF_reference,site,modelled process electricity after boiler/steam,MWh/y,,,1742724.069914,,,reporting_only,current_C5_scope_not_full_site_no_STEG_TG2_netting,C5p_b,C5p_b,false,Not full-site electricity boundary.,Review or freeze before DA/economics if this metric is used in claims.
diagnostic_co2_total,C0_current_BF_BOF_reference,site,diagnostic CO2 after boiler/steam,t/y,,,12281980.166837,,,reporting_only,fuel_explicit_steam_CO2_deferred,C5p_b,C5p_b,false,Not ETS/full-site emissions; avoid WAG combustion double counting.,Review or freeze before DA/economics if this metric is used in claims.
generator_dispatch_mode,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,dispatch mode,policy,,,fixed_or_validation_scaled_interface,,,development_policy,fixed_or_validation_scaled_interface,IJ01/VN25 source card / C5p_c,C5p_c,false,Fixed/interface accounting only; not DA price-responsive dispatch.,Review or freeze before DA/economics if this metric is used in claims.
generator_electricity_value_mode,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,electricity value mode,policy,,,offset_site_grid_import,,,development_policy,offset_site_grid_import_reporting_only,IJ01/VN25 source card / C5p_c,C5p_c,false,Internal offset/reporting only; no export revenue.,Review or freeze before DA/economics if this metric is used in claims.
c0_generator_option_b_status,C0_current_BF_BOF_reference,C0 generator interface,Option B status,status,,,C0_residual_wag_generator_interface_active,,,development_input,C0_residual_wag_generator_interface_active,IJ01/VN25 source card / C5p_c,C5p_c,false,"C0 is active residual-WAG-derived interface, not context-only no dispatch.",Review or freeze before DA/economics if this metric is used in claims.
c0_generator_interface_total_fuel,C0_current_BF_BOF_reference,C0 generator interface,residual WAG generator fuel,PJ/y,,,21.892922,,,development_input,governed_residual_WAG_after_process_and_steam,IJ01/VN25 source card / C5p_c,C5p_c,false,Aggregate C0 interface; no public VN25/IJ01 C0 split is claimed.,Review or freeze before DA/economics if this metric is used in claims.
c0_generator_electricity_validation_anchor,C0_current_BF_BOF_reference,C0 generator interface,electricity validation anchor,TWh/y,2.0,,2.0,0,0,validation_anchor,context_anchor_only_not_dispatch_target,IJ01/VN25 source card / C5p_c,C5p_c,false,Reporting/internal offset comparison only; no DA/export revenue.,Review or freeze before DA/economics if this metric is used in claims.
c0_generator_electricity_offset_actual,C0_current_BF_BOF_reference,C0 generator interface,electricity offset actual,TWh/y,,,2.067665,,,reporting_only,residual_WAG_times_development_efficiency,C5p_c,C5p_c,false,Actual is calculated from modelled residual WAG and development efficiency.,Review or freeze before DA/economics if this metric is used in claims.
c0_generator_electricity_gap_to_validation_anchor,C0_current_BF_BOF_reference,C0 generator interface,electricity validation-anchor gap,TWh/y,,,0.067665,,,reporting_only,modelled_minus_2TWh_validation_anchor,C5p_c,C5p_c,false,Gap is reported rather than forcing electricity to the context anchor.,Review or freeze before DA/economics if this metric is used in claims.
c0_generator_efficiency_development_only,C0_current_BF_BOF_reference,C0 generator interface,development efficiency,MWh_e/MWh_fuel,0.34,,0.34,0,0,development_input,single_value_from_0p34_0p35_source_card_range,IJ01/VN25 source card / C5p_c,C5p_c,false,Not official Tata/Vattenfall unit efficiency.,Review or freeze before DA/economics if this metric is used in claims.
vn25_generator_role,C0_current_BF_BOF_reference,VN25,enabled/status,status,,,true,,,development_input,primary_C1_residual_gas_generator_interface,IJ01/VN25 source card / C5p_c,C5p_c,false,Not a Vattenfall unit-commitment model.,Review or freeze before DA/economics if this metric is used in claims.
ij01_generator_role,C0_current_BF_BOF_reference,IJ01,enabled/status,status,,,true,,,development_input,CHP_backup_generator_interface,IJ01/VN25 source card / C5p_c,C5p_c,false,IJ01 steam/electricity split remains deferred.,Review or freeze before DA/economics if this metric is used in claims.
vn24_backup_status,C0_current_BF_BOF_reference,VN24,enabled/status,status,,,cold_backup_reserve_only_inactive_base,,,development_input,cold_backup_reserve_only,IJ01/VN25 source card / C5p_c,C5p_c,false,VN24 inactive in base.,Review or freeze before DA/economics if this metric is used in claims.
vn25_generator_fuel,C0_current_BF_BOF_reference,VN25,carrier-specific generator fuel,PJ/y,,,0.0,,,validation_anchor,C1_preferred_anchor_interface_limited_by_governed_residual_WAG,IJ01/VN25 source card / C5p_c,C5p_c,false,Explicit total anchor is 13.7 PJ/y; rounded carrier rows are reported separately.,Review or freeze before DA/economics if this metric is used in claims.
ij01_generator_fuel,C0_current_BF_BOF_reference,IJ01,carrier-specific generator fuel,PJ/y,,,0.0,,,validation_anchor,C1_preferred_anchor_interface_limited_by_governed_residual_WAG,IJ01/VN25 source card / C5p_c,C5p_c,false,IJ01 NG is blocked in base; CHP split deferred.,Review or freeze before DA/economics if this metric is used in claims.
generator_total_with_flare,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,fuel plus flare comparison,PJ/y,,,21.892922,,,validation_anchor,C1_preferred_total_with_visible_flaring,IJ01/VN25 source card / C5p_c,C5p_c,false,"Annual validation total, not hourly dispatch or market value.",Review or freeze before DA/economics if this metric is used in claims.
generator_fuel_gap,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,fuel gap or unserved anchor,PJ/y,,,0.0,,,reporting_only,governed_residual_WAG_does_not_create_unlimited_fuel,C5p_c,C5p_c,false,Gap is visible when annual preferred anchors exceed governed residual carrier availability.,Review or freeze before DA/economics if this metric is used in claims.
generator_flare_or_spill,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,flare/spill diagnostic,PJ/y,,,0.0,,,validation_anchor,explicit_flaring_anchor_reporting_only,IJ01/VN25 source card / C5p_c,C5p_c,false,No direct WAG market value or export revenue.,Review or freeze before DA/economics if this metric is used in claims.
generator_electricity_offset,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,internal electricity offset,MWh/y,,,2067664.90124,,,reporting_only,internal_offset_not_DA_revenue,C5p_c,C5p_c,false,Not full-site net grid import or export revenue.,Review or freeze before DA/economics if this metric is used in claims.
vn25_electricity_offset,C0_current_BF_BOF_reference,VN25,internal electricity offset,MWh/y,,,0.0,,,reporting_only,VN25_development_efficiency_only,C5p_c,C5p_c,false,VN25 efficiency is development-only.,Review or freeze before DA/economics if this metric is used in claims.
ij01_electricity_offset,C0_current_BF_BOF_reference,IJ01,internal electricity offset,MWh/y,,,0.0,,,reporting_only,IJ01_conversion_deferred,C5p_c,C5p_c,false,IJ01 electricity/steam split is deferred.,Review or freeze before DA/economics if this metric is used in claims.
remaining_wag_after_generators,C0_current_BF_BOF_reference,WAG ledger,remaining WAG after generators and flare,PJ/y,,,0.0,,,reporting_only,residual_WAG_visible_not_market_value,C5p_c,C5p_c,false,Residual WAG still needs annual C0/C1 boundary reconciliation.,Review or freeze before DA/economics if this metric is used in claims.
process_electricity_after_generator_offset_reporting_only,C0_current_BF_BOF_reference,site,modelled process electricity after generator offset,MWh/y,,,0.0,,,reporting_only,not_full_site_net_import,C5p_c,C5p_c,false,Offset is reporting-only and boundary incomplete.,Review or freeze before DA/economics if this metric is used in claims.
current_product_gas_reuse_context,C0_current_BF_BOF_reference,C0 context,product gas reuse anchor,PJ/y,54.0,,54.0,0,0,context_anchor,C0_sanity_check_only,IJ01/VN25 source card,C5p_c,false,Context only; not exact generator fuel without interpretation.,Review or freeze before DA/economics if this metric is used in claims.
current_vattenfall_residual_gas_electricity_context,C0_current_BF_BOF_reference,C0 context,residual-gas electricity anchor,TWh/y,2.0,,2.067665,0.067665,0.033832,validation_anchor,C0_context_comparison_only_not_target,IJ01/VN25 source card,C5p_c,false,"Used as C0 validation anchor only, not enforced output, Vattenfall profit, or digital twin.",Review or freeze before DA/economics if this metric is used in claims.
current_tata_average_power_context,C0_current_BF_BOF_reference,C0 context,average electric power anchor,MW,360.0,,360.0,0,0,context_anchor,C0_sanity_check_only,IJ01/VN25 source card,C5p_c,false,Context only; not a full-site net import claim.,Review or freeze before DA/economics if this metric is used in claims.
transferred_power_plants_total_capacity_context,C0_current_BF_BOF_reference,power plants,transferred total capacity,MW,770.0,,,-770,-1,context_anchor,not_per_unit_capacity,IJ01/VN25 source card,C5p_c,false,"770 MW is total transferred capacity context, not VN25/IJ01 unit capacity.",Review or freeze before DA/economics if this metric is used in claims.
athanasiadis_vn25_capacity_precedent,C0_current_BF_BOF_reference,VN25,development capacity precedent,MW,350.0,,350.0,0,0,development_precedent,not_public_Tata_capacity,IJ01/VN25 source card,C5p_c,false,Athanasiadis 350 MW is development precedent only.,Review or freeze before DA/economics if this metric is used in claims.
generator_ij01_base_variant_total_fuel,C0_current_BF_BOF_reference,IJ01/VN25 generator interface,IJ01-as-base sensitivity total fuel,PJ/y,,,,,,sensitivity_anchor_deferred,not_active_base,IJ01/VN25 source card,C5p_c,false,Variant is recorded only; base remains VN25-preferred Mode A.,Review or freeze before DA/economics if this metric is used in claims.
active_total_liquid_steel_target,C1_phase1_BF_BOF_plus_DRP_EAF,site,liquid steel production target,t/y,6800000.0,6750000.0,6750000.0,0,0,development_input,active_target_6p75_over_mer_context,C5k production normalisation,C5k,false,Freeze or explicitly sensitivity-test 6.75 Mt/y before DA.,Review or freeze before DA/economics if this metric is used in claims.
bof_liquid_steel,C1_phase1_BF_BOF_plus_DRP_EAF,BOF,liquid steel output,t/y,3400000.0,3400000.0,3400000.0,0,0,development_input,C5k_route_split_normalisation,C5k report,C5k,false,No DA/economic claims if route split is changed silently.,Review or freeze before DA/economics if this metric is used in claims.
eaf_liquid_steel,C1_phase1_BF_BOF_plus_DRP_EAF,EAF,liquid steel output,t/y,3300000.0,3350000.0,3350000.0,0,0,development_input,C5o_b_preserves_C5k_EAF_target,EAF source card / C5o_b,C5o_b,false,"C1 EAF target is active C5 route target, not raw anchor.",Review or freeze before DA/economics if this metric is used in claims.
bf_hot_metal,C1_phase1_BF_BOF_plus_DRP_EAF,BF,hot metal driver,t/y,2800000.0,,2801600.0,1600,0.000571,validation_anchor,C5k_no_buffer_BF_equals_BOF_HM_input,C5k / BF source context,C5k,false,BF HM differs from raw anchors after no-buffer BOF coupling.,Review or freeze before DA/economics if this metric is used in claims.
drp_dri_output,C1_phase1_BF_BOF_plus_DRP_EAF,DRP,DRI output,t/y,2800000.0,2779411.7647058824,2779411.6,-0.164706,-0,development_input,DRP_scaled_to_active_target,DRP source card / C5o_a,C5o_a,false,C0 inactive; C1 scaled from MER 2.8 Mt/y.,Review or freeze before DA/economics if this metric is used in claims.
eaf_dri_input,C1_phase1_BF_BOF_plus_DRP_EAF,EAF,DRI input,t/y,2800000.0,2779411.6,2779411.6,0,0,reconciliation_parameter,EAF_DRI_coeff_reconciled_to_available_DRP_DRI,EAF source card / C5o_b,C5o_b,false,Resolved active DRI coefficient is not a Tata EAF recipe.,Review or freeze before DA/economics if this metric is used in claims.
pefa_output,C1_phase1_BF_BOF_plus_DRP_EAF,PEFA,fired pellets output,t/y,5000000.0,4963235.294117647,4963235.294118,0,0,development_input,scaled_with_active_target,PELLETIZING source card / C5n_a,C5n_a,false,Single fired-pellets proxy; no grade split.,Review or freeze before DA/economics if this metric is used in claims.
