config_component_id,configuration_id,component_type,component_id,active,activation_mode,retained_added_closed,controllable,source_model_status,selected_model_status,topology_decision_id,source_card_ids,source_locator,evidence_link_ids,value_status,source_status,human_review_required,caveat
C0_current_BF_BOF_reference__Link__direct_sheet_plant,C0_current_BF_BOF_reference,Link,direct_sheet_plant,true,default_topology,retained,limited,Plant Link,Structural DSP,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,Athanasiadis plant representations,EL_00110,source_supported,candidate,true,DSP detailed constraints missing.
C0_current_BF_BOF_reference__Link__linde_asu,C0_current_BF_BOF_reference,Link,linde_asu,true,default_topology,retained,limited,Utility Link,ASU structural utility,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER oxygen/buffer context,EL_00111,deferred,deferred,true,Do not infer direct CO2 from electricity use.
C0_current_BF_BOF_reference__Link__WAG_COK1_mixer,C0_current_BF_BOF_reference,Link,WAG_COK1_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-003 Figure 31,EL_00112,source_supported,source_supported,false,No Wobbe limit inferred.
C0_current_BF_BOF_reference__Link__WAG_HSM_mixer,C0_current_BF_BOF_reference,Link,WAG_HSM_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-002 Figure 31,EL_00113,source_supported,source_supported,false,No Wobbe limit inferred.
C0_current_BF_BOF_reference__Link__WAG_PEFA_MALERIJ_mixer,C0_current_BF_BOF_reference,Link,WAG_PEFA_MALERIJ_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-005 Figure 31,EL_00114,source_supported,source_supported,false,Malerij/grinding naming preserved.
C0_current_BF_BOF_reference__Link__WAG_PEFA_BRANDERIJ_mixer,C0_current_BF_BOF_reference,Link,WAG_PEFA_BRANDERIJ_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-004 Figure 31,EL_00115,source_supported,source_supported,false,Branderij/firing naming preserved.
C0_current_BF_BOF_reference__Link__WAG_BOILERS_15_16_23_24_mixer,C0_current_BF_BOF_reference,Link,WAG_BOILERS_15_16_23_24_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis boiler gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00116,source_supported,source_supported,false,No boiler efficiency inferred.
C0_current_BF_BOF_reference__Link__WAG_BOILER_41_mixer,C0_current_BF_BOF_reference,Link,WAG_BOILER_41_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis boiler gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00117,source_supported,source_supported,false,No boiler efficiency inferred.
C0_current_BF_BOF_reference__Link__WAG_STEG11_mixer,C0_current_BF_BOF_reference,Link,WAG_STEG11_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis STEG controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-007 Figure 33,EL_00118,source_supported,source_supported,false,No dispatch model.
C0_current_BF_BOF_reference__Link__WAG_VATTENFALL_GENERATORS_mixer,C0_current_BF_BOF_reference,Link,WAG_VATTENFALL_GENERATORS_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis Vattenfall controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-007 Figure 33,EL_00119,source_supported,source_supported,false,"Interface only, not literal plant dispatch."
C0_current_BF_BOF_reference__Link__boilers_15_16_23_24,C0_current_BF_BOF_reference,Link,boilers_15_16_23_24,true,default_topology,retained,limited,Utility Link,Boiler group abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00120,deferred,deferred,true,Efficiency and steam basis missing.
C0_current_BF_BOF_reference__Link__boiler_41,C0_current_BF_BOF_reference,Link,boiler_41,true,default_topology,retained,limited,Utility Link,Boiler 41 abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00121,deferred,deferred,true,Efficiency and steam basis missing.
C0_current_BF_BOF_reference__Link__STEG11,C0_current_BF_BOF_reference,Link,STEG11,true,default_topology,retained,limited,Utility Link,STEG11 abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-007 Figure 33,EL_00122,deferred,deferred,true,No dispatch or commercial contract.
C0_current_BF_BOF_reference__Link__TG2_steam_turbine,C0_current_BF_BOF_reference,Link,TG2_steam_turbine,true,default_topology,retained,limited,Utility Link,Steam turbine abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,Athanasiadis steam/source representations,EL_00123,deferred,deferred,true,No efficiency or dispatch basis.
C0_current_BF_BOF_reference__Link__IJ01_interface,C0_current_BF_BOF_reference,Link,IJ01_interface,true,default_topology,retained,false,Interface Link,Vattenfall interface,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0014;STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Vattenfall/MER interface; S33I-ATH-GAS-007,EL_00124,source_supported,source_supported,false,"Interface only, not literal dispatched plant."
C0_current_BF_BOF_reference__Link__VN24_interface,C0_current_BF_BOF_reference,Link,VN24_interface,true,default_topology,retained,false,Interface Link,Vattenfall backup interface,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0014;STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Vattenfall/MER interface; S33I-ATH-GAS-007,EL_00125,source_supported,source_supported,false,Backup status is structural only.
C0_current_BF_BOF_reference__Link__VN25_interface,C0_current_BF_BOF_reference,Link,VN25_interface,true,default_topology,retained,false,Interface Link,Vattenfall main interface,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0014;STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Vattenfall/MER interface; S33I-ATH-GAS-007,EL_00126,source_supported,source_supported,false,No exact hourly dispatch.
C0_current_BF_BOF_reference__Link__flare,C0_current_BF_BOF_reference,Link,flare,true,default_topology,retained,limited,Sink Link,Flare/spill sink,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0010;STEEL-SC-0003,Off-gas surplus/flaring; MRR accounting,EL_00127,source_supported,candidate,true,Flaring capacity and penalty magnitude missing.
C0_current_BF_BOF_reference__Link__NG_DRP,C0_current_BF_BOF_reference,Link,NG_DRP,false,default_topology,retained,yes,Plant Link,Athanasiadis NG-DRP,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021,Section 3.5.4 Figure 47 Table 2 p.57,EL_00128,source_supported,candidate,true,C1 addition; candidate values are not Tata-exact.
C0_current_BF_BOF_reference__Link__EAF,C0_current_BF_BOF_reference,Link,EAF,false,default_topology,retained,yes,Plant Link,Athanasiadis EAF plus Badarinath semi-continuous precedent,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021;S3_4_GUARDRAIL_BADARINATH_2025,Athanasiadis Figure 46 Table 1 p.56; Badarinath Equation 5.9,EL_00129,source_supported,candidate,true,"Hourly abstraction only, not heat sequencing."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__coking_plant_1,C1_phase1_BF_BOF_plus_DRP_EAF,Link,coking_plant_1,true,default_topology,retained,limited,Plant Link,Structural Link with gas/fuel ports,TOPO_C1_BF7_KGF2_CLOSURE,STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Figure 31 and MER topology,EL_00130,source_supported,candidate,false,S4.4b4 applies human-selected C1 retention: BF6 and KGF1 active.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__coking_plant_2,C1_phase1_BF_BOF_plus_DRP_EAF,Link,coking_plant_2,false,default_topology,closed,limited,Plant Link,inactive_human_selected_default,TOPO_C1_BF7_KGF2_CLOSURE,STEEL-SC-0016;REPO-STEEL-FREEZE-V1,MER/freeze closure decision,EL_00131,source_supported,candidate,false,S4.4b4 applies human-selected C1 closure: BF7 and KGF2 inactive.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__sintering_plant,C1_phase1_BF_BOF_plus_DRP_EAF,Link,sintering_plant,true,default_topology,retained,limited,Plant Link,Structural process,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Athanasiadis Figure 20/plant relationships; MER topology,EL_00132,source_supported,candidate,true,C1 retained treatment needs review.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__pelletizing_plant,C1_phase1_BF_BOF_plus_DRP_EAF,Link,pelletizing_plant,true,default_topology,retained,limited,Plant Link,Structural process,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Athanasiadis pelletizing figures and Figure 31 gas sinks,EL_00133,source_supported,candidate,true,Pellet/import split unresolved.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__imported_pellet_import_interface,C1_phase1_BF_BOF_plus_DRP_EAF,Link,imported_pellet_import_interface,true,default_topology,retained,false,Boundary Link,Supply route into pellets bus,TOPO_COMMON_SITE_BOUNDARY,REPO-S4-4B2-WORKBOOK,Task required imported-pellet supply route,EL_00134,source_supported,source_supported,false,No price or procurement quantity in this workbook.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__blast_furnace_6,C1_phase1_BF_BOF_plus_DRP_EAF,Link,blast_furnace_6,true,default_topology,retained,limited,Plant Link,Structural BF process,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0001,MER topology; JRC BREF WAG coefficients,EL_00135,source_supported,candidate,false,S4.4b4 applies human-selected C1 retention: BF6 and KGF1 active.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__blast_furnace_7,C1_phase1_BF_BOF_plus_DRP_EAF,Link,blast_furnace_7,false,default_topology,closed,limited,Plant Link,inactive_human_selected_default,TOPO_C1_BF7_KGF2_CLOSURE,STEEL-SC-0016;REPO-STEEL-FREEZE-V1,MER/freeze closure decision,EL_00136,source_supported,candidate,false,S4.4b4 applies human-selected C1 closure: BF7 and KGF2 inactive.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__basic_oxygen_furnace,C1_phase1_BF_BOF_plus_DRP_EAF,Link,basic_oxygen_furnace,true,default_topology,retained,limited,Plant Link,Structural BOF process,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0001,Athanasiadis plant figures; JRC BREF BOFG,EL_00137,source_supported,candidate,true,Retained in C1 topology where retained BF-BOF route remains.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__continuous_caster_or_slab_conversion,C1_phase1_BF_BOF_plus_DRP_EAF,Link,continuous_caster_or_slab_conversion,true,default_topology,retained,limited,Plant Link,Structural caster abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,S2.13 downstream scheduling governance,EL_00138,source_supported,candidate,true,Exact caster capacities missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__hot_strip_mill,C1_phase1_BF_BOF_plus_DRP_EAF,Link,hot_strip_mill,true,default_topology,retained,limited,Plant Link,Structural HSM with fuel gas,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-002 Figure 31,EL_00139,source_supported,candidate,true,HSM fuel and scheduling constraints missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__direct_sheet_plant,C1_phase1_BF_BOF_plus_DRP_EAF,Link,direct_sheet_plant,true,default_topology,retained,limited,Plant Link,Structural DSP,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,Athanasiadis plant representations,EL_00140,source_supported,candidate,true,DSP detailed constraints missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__linde_asu,C1_phase1_BF_BOF_plus_DRP_EAF,Link,linde_asu,true,default_topology,retained,limited,Utility Link,ASU structural utility,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER oxygen/buffer context,EL_00141,deferred,deferred,true,Do not infer direct CO2 from electricity use.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_COK1_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_COK1_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-003 Figure 31,EL_00142,source_supported,source_supported,false,No Wobbe limit inferred.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_HSM_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_HSM_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-002 Figure 31,EL_00143,source_supported,source_supported,false,No Wobbe limit inferred.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_PEFA_MALERIJ_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_PEFA_MALERIJ_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-005 Figure 31,EL_00144,source_supported,source_supported,false,Malerij/grinding naming preserved.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_PEFA_BRANDERIJ_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_PEFA_BRANDERIJ_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-004 Figure 31,EL_00145,source_supported,source_supported,false,Branderij/firing naming preserved.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_BOILERS_15_16_23_24_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_BOILERS_15_16_23_24_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis boiler gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00146,source_supported,source_supported,false,No boiler efficiency inferred.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_BOILER_41_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_BOILER_41_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis boiler gas controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00147,source_supported,source_supported,false,No boiler efficiency inferred.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_STEG11_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_STEG11_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis STEG controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-007 Figure 33,EL_00148,source_supported,source_supported,false,No dispatch model.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__WAG_VATTENFALL_GENERATORS_mixer,C1_phase1_BF_BOF_plus_DRP_EAF,Link,WAG_VATTENFALL_GENERATORS_mixer,true,default_topology,retained,limited,Mixer Link,Athanasiadis Vattenfall controller,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-007 Figure 33,EL_00149,source_supported,source_supported,false,"Interface only, not literal plant dispatch."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__boilers_15_16_23_24,C1_phase1_BF_BOF_plus_DRP_EAF,Link,boilers_15_16_23_24,true,default_topology,retained,limited,Utility Link,Boiler group abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00150,deferred,deferred,true,Efficiency and steam basis missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__boiler_41,C1_phase1_BF_BOF_plus_DRP_EAF,Link,boiler_41,true,default_topology,retained,limited,Utility Link,Boiler 41 abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006 Figure 32,EL_00151,deferred,deferred,true,Efficiency and steam basis missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__STEG11,C1_phase1_BF_BOF_plus_DRP_EAF,Link,STEG11,true,default_topology,retained,limited,Utility Link,STEG11 abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-007 Figure 33,EL_00152,deferred,deferred,true,No dispatch or commercial contract.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__TG2_steam_turbine,C1_phase1_BF_BOF_plus_DRP_EAF,Link,TG2_steam_turbine,true,default_topology,retained,limited,Utility Link,Steam turbine abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,Athanasiadis steam/source representations,EL_00153,deferred,deferred,true,No efficiency or dispatch basis.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__IJ01_interface,C1_phase1_BF_BOF_plus_DRP_EAF,Link,IJ01_interface,true,default_topology,retained,false,Interface Link,Vattenfall interface,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0014;STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Vattenfall/MER interface; S33I-ATH-GAS-007,EL_00154,source_supported,source_supported,false,"Interface only, not literal dispatched plant."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__VN24_interface,C1_phase1_BF_BOF_plus_DRP_EAF,Link,VN24_interface,true,default_topology,retained,false,Interface Link,Vattenfall backup interface,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0014;STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Vattenfall/MER interface; S33I-ATH-GAS-007,EL_00155,source_supported,source_supported,false,Backup status is structural only.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__VN25_interface,C1_phase1_BF_BOF_plus_DRP_EAF,Link,VN25_interface,true,default_topology,retained,false,Interface Link,Vattenfall main interface,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0014;STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Vattenfall/MER interface; S33I-ATH-GAS-007,EL_00156,source_supported,source_supported,false,No exact hourly dispatch.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__flare,C1_phase1_BF_BOF_plus_DRP_EAF,Link,flare,true,default_topology,retained,limited,Sink Link,Flare/spill sink,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0010;STEEL-SC-0003,Off-gas surplus/flaring; MRR accounting,EL_00157,source_supported,candidate,true,Flaring capacity and penalty magnitude missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__NG_DRP,C1_phase1_BF_BOF_plus_DRP_EAF,Link,NG_DRP,true,default_topology,added,yes,Plant Link,Athanasiadis NG-DRP,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021,Section 3.5.4 Figure 47 Table 2 p.57,EL_00158,source_supported,candidate,true,C1 addition; candidate values are not Tata-exact.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Link__EAF,C1_phase1_BF_BOF_plus_DRP_EAF,Link,EAF,true,default_topology,added,yes,Plant Link,Athanasiadis EAF plus Badarinath semi-continuous precedent,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021;S3_4_GUARDRAIL_BADARINATH_2025,Athanasiadis Figure 46 Table 1 p.56; Badarinath Equation 5.9,EL_00159,source_supported,candidate,true,"Hourly abstraction only, not heat sequencing."
C0_current_BF_BOF_reference__Store__coke_store,C0_current_BF_BOF_reference,Store,coke_store,true,boundary_or_candidate,retained,false,yes_in_source_model_or_physical,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0001,MER topology; JRC BREF coke context,EL_00160,missing_blocker,missing_blocker,true,Coke store capacity missing; do not use unlimited storage.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__coke_store,C1_phase1_BF_BOF_plus_DRP_EAF,Store,coke_store,true,boundary_or_candidate,retained,false,yes_in_source_model_or_physical,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0001,MER topology; JRC BREF coke context,EL_00161,missing_blocker,missing_blocker,true,Coke store capacity missing; do not use unlimited storage.
C0_current_BF_BOF_reference__Store__sinter_store,C0_current_BF_BOF_reference,Store,sinter_store,true,boundary_or_candidate,retained,false,yes_or_implicit,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER topology,EL_00162,missing_blocker,missing_blocker,true,Sinter store capacity missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__sinter_store,C1_phase1_BF_BOF_plus_DRP_EAF,Store,sinter_store,true,boundary_or_candidate,retained,false,yes_or_implicit,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER topology,EL_00163,missing_blocker,missing_blocker,true,Sinter store capacity missing.
C0_current_BF_BOF_reference__Store__pellets_store,C0_current_BF_BOF_reference,Store,pellets_store,true,boundary_or_candidate,retained,false,yes_or_implicit,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0021,MER topology; DRP table basis,EL_00164,missing_blocker,missing_blocker,true,Pellet store/import split and capacity missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__pellets_store,C1_phase1_BF_BOF_plus_DRP_EAF,Store,pellets_store,true,boundary_or_candidate,retained,false,yes_or_implicit,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0021,MER topology; DRP table basis,EL_00165,missing_blocker,missing_blocker,true,Pellet store/import split and capacity missing.
C0_current_BF_BOF_reference__Store__hot_metal_buffer,C0_current_BF_BOF_reference,Store,hot_metal_buffer,true,boundary_or_candidate,retained,false,source_model_buffer_candidate,candidate,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,S2/S3 buffer governance,EL_00166,missing_blocker,missing_blocker,true,Hot-metal or torpedo capacity missing; must be tightly bounded.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__hot_metal_buffer,C1_phase1_BF_BOF_plus_DRP_EAF,Store,hot_metal_buffer,true,boundary_or_candidate,retained,false,source_model_buffer_candidate,candidate,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,S2/S3 buffer governance,EL_00167,missing_blocker,missing_blocker,true,Hot-metal or torpedo capacity missing; must be tightly bounded.
C0_current_BF_BOF_reference__Store__crude_steel_or_slab_wip_store,C0_current_BF_BOF_reference,Store,crude_steel_or_slab_wip_store,true,boundary_or_candidate,retained,false,source_model_store,candidate,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-S32-ATHANASIADIS-SLAB-YARD,Athanasiadis public thesis slab storage limit; S32 selected dev input,EL_00168,candidate,candidate,true,"Slab capacity is public-thesis-derived, not Tata-exact; thermal-state policy unresolved."
