parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
PELLET_BALANCE_MODE,inventory_balance_practically_unlimited_capacity,,,-,storage_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Non-binding capacity does not mean free material supply.
BULK_SOLID_STORAGE_CAPACITY_MODE,practically_non_binding_bulk_solid_storage,,,-,storage_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Applies to coke, sinter and fired_pellets_proxy; not an exact Tata stockpile capacity."
COKE_STORAGE_CAPACITY_MODE,practically_non_binding_bulk_solid_storage,,,-,storage_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Development policy only; does not change coking production or accepted coke reconciliation.
SINTER_STORAGE_CAPACITY_MODE,practically_non_binding_bulk_solid_storage,,,-,storage_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Development policy only; does not change sinter BF-coupling.
PELLET_STORAGE_CAPACITY_MODE,practically_non_binding_bulk_solid_storage,,,-,storage_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Development policy only; terminal/inventory diagnostics prevent fake feasibility.
COKE_STORAGE_THESIS_USABILITY,false,,,boolean,governance,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Storage policy is development-only.
SINTER_STORAGE_THESIS_USABILITY,false,,,boolean,governance,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Storage policy is development-only.
PELLET_STORAGE_THESIS_USABILITY,false,,,boolean,governance,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Storage policy is development-only.
PELLET_GAP_SURPLUS_MODE,diagnostic_inventory_drift_and_healthcheck,,,-,healthcheck_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No hidden solver slack for thesis claims.
PELLET_GAP_TOLERANCE_REL,0.01,,,fraction,healthcheck_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Practical threshold for rounded public annual values.
PELLET_GAP_TOLERANCE_MT_Y,0.05,,,Mt/y,healthcheck_policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Practical threshold for rounded public annual values.
