parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
EAF_OFFGAS_AS_WAG,false,,,boolean,WAG_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,EAF offgas is not BFG/COG/BOFG/mixed WAG and is not reusable WAG in this stage.
EAF_SCRAP_PREHEAT_ENABLED,true,,,boolean,topology_reporting,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Scrap preheat topology/reporting only; no useful steam/WAG recovery activated.
EAF_RECONCILIATION_MODE,preserve_C5_EAF_LS_target_and_reconcile_DRI_coefficient_to_available_DRP_DRI,,,-,route_reconciliation,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Preserves C5k EAF target and avoids hidden HBI/imported DRI.
EAF_C1_LS_ANNUAL_OUTPUT_MT,3.3,,,Mt LS/y,validation_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Raw validation anchor only, not hourly dispatch truth."
EAF_HDRI_INPUT_T_PER_T_LS_SOURCE,0.848,,,t DRI/t LS,material_source_check,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Raw/source-card check; active coefficient is reconciled in C5o_b.
EAF_DRI_INPUT_T_PER_T_LS_ACTIVE_POLICY,derived_by_C5o_b_from_available_DRP_DRI_and_active_EAF_target,,,-,material_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Derived reconciliation value, not independent Tata EAF recipe."
EAF_SCRAP_INPUT_T_PER_T_LS,0.303,,,t scrap/t LS,material,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Source-card candidate, not hidden scrap slack."
EAF_ELECTRICITY_MWH_PER_T_LS_TATA,0.422,,,MWh_e/t LS,electricity,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Arc electricity candidate from source-card; not DA-responsive.
EAF_ELECTRICITY_MWH_PER_T_LS_PROJECT_PRECEDENT,0.525,,,MWh_e/t LS,electricity_sensitivity_check,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_sensitivity,false,true,false,source_card_candidate_not_Tata_validated,"Sensitivity/check only, not active base."
EAF_COKE_BREEZE_ANTHRACITE_GJ_PER_T_LS,0.27,,,GJ/t LS,solid_fuel_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Solid carbon driver only; not WAG.
EAF_ELECTRODES_GJ_PER_T_LS,0.03,,,GJ/t LS,electrode_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Electrode carbon/energy diagnostic driver.
EAF_NG_GJ_PER_T_LS,0.05,,,GJ_LHV/t LS,natural_gas,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Small process NG driver; not WAG market logic.
EAF_OXYGEN_INPUT_NM3_PER_T_LS_BREF,35.0,,,Nm3 O2/t LS,oxygen_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Diagnostic midpoint until Linde/ASU layer exists.
O2_T_PER_NM3,0.001429,,,t O2/Nm3,unit_conversion,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Explicit oxygen conversion used for diagnostic tonnes O2.
EAF_DIRECT_CO2_T_PER_T_LS_BREF_MIDPOINT,0.126,0.072,0.18,t CO2/t LS,CO2_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,"Midpoint of 0.072-0.180 range, diagnostic only."
EAF_CO2_ACCOUNTING_MODE,aggregate_BREF_midpoint_diagnostic,,,-,CO2_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Diagnostic counter only; no ETS/full-site emissions and no fuel-explicit double-count.
EAF_OFFGAS_STEAM_RECOVERY_MWH_TH_PER_T_LS,0.076,,,MWh_th/t LS,offgas_reporting,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Reporting/validation potential only; not active steam supply.
EAF_STEAM_OUTPUT_T_PER_T_LS_NG_DERIVED,0.083,,,t steam/t LS,offgas_reporting,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Reporting/validation potential only; no boiler/steam implementation.
EAF_OFFGAS_HEAT_COOLING_MWH_TH_PER_T_LS,0.117,,,MWh_th/t LS,offgas_reporting_deferred,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Deferred offgas cooling heat diagnostic.
EAF_OFFGAS_STACK_LOSS_MWH_TH_PER_T_LS,0.031,,,MWh_th/t LS,offgas_reporting_deferred,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Deferred offgas stack-loss diagnostic.
EAF_SECONDARY_MET_ELECTRICITY_MWH_PER_T_LS,0.031,,,MWh_e/t LS,secondary_met_deferred,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Reported separately as deferred/accounting-only; not mixed into arc electricity.
