parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
DSP_TUNNEL_FURNACE_PRESENT,true,,,boolean,topology,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Tunnel furnace topology is reported, but no heat coefficient is active."
DSP_TUNNEL_FURNACE_LENGTH_M,320.0,,,m,technical_context,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,"Plant fact-sheet context only, not an energy coefficient."
DSP_TUNNEL_FURNACE_HEAT_GJ_PER_T,deferred,,,GJ/t coil,fuel_heat_deferred,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_deferred,false,true,false,source_card_candidate_not_Tata_validated,No robust public Tata-specific heat coefficient; do not create WAG/NG sink.
DSP_FUEL_GAS_BASE_ACTIVE,false,,,boolean,fuel_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Avoid fake WAG/NG demand in base.
DSP_ALLOWED_FUEL_CARRIERS_IF_HEAT_ACTIVE,"COG,BFG,BOFG,NG",,,carriers,fuel_policy_deferred,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_deferred,false,true,false,source_card_candidate_not_Tata_validated,Eligibility only; no demand without active heat coefficient.
DSP_DIRECT_CO2_MODE_BASE,fuel-derived only,,,-,CO2_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Direct CO2 is zero only because no direct fuel term is active.
DSP_DIRECT_CO2_T_PER_T_COIL_BASE,0.0,,,t CO2/t coil,CO2_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,"Accounting zero, not physical zero-emissions claim."
DSP_OPERATION_CLASS,bounded_downstream_scheduling_asset,,,-,operation_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Downstream asset is bounded by liquid-steel routing and final-product fulfilment.
DSP_MFRR_PROVIDER_BASE,false,,,boolean,mFRR_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,DSP is not an mFRR provider in this stage.
DSP_DA_FLEXIBILITY_BASE,not_price_responsive_in_C5o_c,,,-,operation_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No DA price response in this physical/accounting layer.
DSP_LIQUID_STEEL_ROUTING_BALANCE_REQUIRED,true,,,boolean,material_guardrail,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,DSP must not consume unavailable liquid steel.
DSP_OUTPUT_COUNTS_TOWARD_FINAL_PRODUCT_TARGET,true,,,boolean,final_product_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,DSP output remains part of C5 final-product proxy.
