parameter_id,category,process_or_carrier,description,value_or_range,unit,source_id,source_quality,confidence,suitable_use,required_phase,approval_status,caveat,notes
WC_DRP_CARBON_01,drp_quality_band,dri,Generic DRI carbon-content band,1.5-4.0,percent,WC06;WC08,generic_technology_sources,medium,candidate_quality_band,S2,candidate_not_approved,"Carbon content depends on product form and process setup.","Use only if quality-sensitive EAF charging is later approximated."
WC_DRP_NG_ENERGY_01,drp_hourly_envelope,dri_route,Generic NG-DRI energy-intensity range,9-13,GJ per tDRI,WC02;WC04;WC08,generic_technology_sources,medium,candidate_range_for_later_energy_layer,S3,later_only,"Outside minimum S2 material-flow LP.","Reserve for later energy-cost-emissions layer."
WC_DRP_H2_DEMAND_01,drp_quality_band,h2_dri_route,Generic H2-DRI hydrogen-demand range,50-70,kg H2 per tDRI,WC03;WC05;WC02,generic_technology_sources,medium,candidate_range_for_later_h2_sensitivity,S4,later_only,"Generic hydrogen-demand framing only; not approved for operational modelling.","Relevant only after hydrogen-availability scenarios are opened."
WC_HDRI_CLASS_01,hot_vs_cold_dri_class,hdrI,HDRI handling class for S2,short local transfer only,class,WC06;WC08;WC11,generic_technology_sources,high,structural_assumption_support,S2,assumption_support,"HDRI should not be represented as long-duration storage in S2.","Model as short transfer arc with tight or zero storage dwell."
WC_CDRI_CLASS_01,hot_vs_cold_dri_class,cdri_or_hbi,CDRI or HBI handling class for S2,storage_like_with_physical_caveats,class,WC06;WC11,generic_technology_sources,high,structural_assumption_support,S2,assumption_support,"Storage-like treatment still needs oxidation, safety, and throughput caveats.","Do not treat as a free arbitrage battery."
WC_EAF_ELEC_01,eaf_charge_envelope,eaf,Generic EAF electricity-use range for metallic-charge cases,300-550,kWh per tLS,WC12;WC13;WC04,generic_technology_sources,medium_high,candidate_range_for_later_energy_plausibility,S3,candidate_not_approved,"Charge mix and operating practice can shift this materially; not for S2 core LP.","Useful later for energy plausibility, not current material-only layer."
WC_EAF_TAP_01,eaf_batch_equivalent_hourly_logic,eaf,Generic EAF tap-to-tap cycle candidate,35-70,min per heat,WC12;WC13,generic_technology_sources,medium,later_batch_equivalent_validation,S4,later_only,"Do not force a continuous LP to emulate exact tap cycles without dedicated methodology.","Later validation or discretisation candidate only."
WC_EAF_AUX_O2_01,eaf_charge_envelope,eaf,Generic EAF oxygen-input range,20-50,Nm3 per tLS,WC12;WC13,generic_technology_sources,medium,later_utility_sensitivity,S3,later_only,"Utility-linked and outside core S2 metallic LP.","Reserve for later utility layer."
WC_EAF_AUX_CARBON_01,eaf_charge_envelope,eaf,Generic EAF carbon-input range,5-20,kg per tLS,WC12;WC13,generic_technology_sources,medium,later_utility_sensitivity,S3,later_only,"Generic range only and not needed in minimum S2 LP.","Later candidate only."
WC_EAF_AUX_FLUX_01,eaf_charge_envelope,eaf,Generic EAF lime and dololime input range,20-80,kg per tLS,WC12;WC13,generic_technology_sources,medium,later_material_balance_or_cost_sensitivity,S3,later_only,"Flux practice varies by slag practice and quality goals.","Not part of minimum S2 parameter set."
WC_HDRI_BENEFIT_01,eaf_charge_envelope,hdrI_to_eaf,Generic HDRI electricity-saving effect relative to cold metallic charging,20-120,kWh per tLS,WC06;WC12;WC13,generic_technology_sources,low_medium,sensitivity_only_effect,S4,sensitivity_only_candidate,"Vendor and case-specific benefit estimates vary materially.","Use only if HDRI-vs-CDRI sensitivity is explicitly tested."
WC_HDRI_PRODUCTIVITY_01,eaf_batch_equivalent_hourly_logic,hdrI_to_eaf,Generic HDRI productivity uplift relative to colder charging,5-20,percent,WC06;WC12;WC13,generic_technology_sources,low_medium,sensitivity_only_effect,S4,sensitivity_only_candidate,"Case-specific and unsuitable as a base assumption.","Optional sensitivity only."
WC_HOT_CHARGE_ENERGY_01,downstream_route_penalty,hot_charging_or_direct_rolling,Generic hot-charging energy-saving range,0.06-0.25,GJ per t rolled steel,WC09;WC10,generic_technology_sources,medium,sensitivity_only_effect,S3,sensitivity_only_candidate,"Strongly depends on slab temperature, distance, and hot-charging share.","Useful for later downstream hot-route penalty or credit sensitivity."
WC_HOT_CHARGE_PRODUCTIVITY_01,downstream_route_penalty,hot_charging_or_direct_rolling,Generic hot-charging productivity effect,0-6,percent,WC09;WC10,generic_technology_sources,medium,later_productivity_sensitivity,S3,sensitivity_only_candidate,"Process-layout dependent and not suitable as a base assumption.","Keep out of minimum S2 unless explicitly tested."
WC_REHEAT_SCALELOSS_01,slab_wip_physical_class,slab_or_wip,Generic reheating and scale-loss range for cold-route downstream treatment,0.5-2.0,percent mass loss equivalent,WC10,generic_technology_sources,low_medium,sensitivity_only_effect,S3,sensitivity_only_candidate,"Generic proxy only; actual loss depends on practice and temperature history.","Use only as a downstream cold-route penalty proxy if needed."
WC_DRI_BUFFER_RULE_01,inventory_endpoint_neutrality,dri_inventory,Structural rule for DRI inventory in S2,no_free_battery_cycling,class,WC06;WC11,generic_technology_sources,high,structural_assumption_support,S2,assumption_support,"DRI buffers require endpoint rules and should not allow costless cycling.","Translate into validation and endpoint checks later."
WC_SLAB_WIP_RULE_01,slab_wip_physical_class,slab_or_wip,Structural rule for slab or WIP storage in S2,terminal_rules_and_penalties_required,class,WC09;WC10,generic_technology_sources,high,structural_assumption_support,S2,assumption_support,"Slab or WIP should not become a free battery or unlimited sink.","Needs terminal neutrality and possibly reheating or loss proxy."
