parameter_id,category,subcategory,description,unit,applies_to_process_or_carrier,configuration,model_role,required_phase,priority,likely_source_tier,public_reportability,value_status,candidate_range_low,candidate_range_high,range_basis,citation_key,owner,last_reviewed,notes
NETWORK_COST_POLICY,electricity connection and network costs,tariffs and peak costs,Capacity-charge tariff and peak-cost categories,EUR per MW or EUR per MWh,grid connection,both,objective_parameter,S5,important,policy_public,mixed,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Keep separate from physical coefficients
EMISSIONS_FACTOR,emissions and ETS,direct and indirect emissions,Emissions factors by process or carrier,tCO2e per unit,processes or carriers,both,model_input,S3,important,policy_public,mixed,category_only,,,planning_docs_and_public_policy,STEEL_DATA_AND_PARAMETER_PLAN;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Direct and indirect treatment must stay explicit
ETS_CONVENTION,emissions and ETS,policy treatment,ETS free-allocation and carbon-cost convention used by the model,policy rule,emissions accounting,both,assumption,S3,critical,planning_docs,assumption_only,assumption_placeholder,,,planning_docs,STEEL_ASSUMPTION_REGISTER,codex_phase_s1,2026-06-13,Must be frozen per experiment and disclosed
COMMERCIAL_COST_FAMILY,financial/commercial parameters,variable costs,Raw-material utility and operating cost families used in the objective,mixed units,processes and carriers,both,objective_parameter,S3,important,technology_literature,likely_confidential,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Economic drivers likely sensitive and source-mixed
PRODUCT_VALUE_OR_SHORTFALL,financial/commercial parameters,revenue and penalties,Product revenue or shortfall penalty categories used to enforce delivery logic,EUR per tonne,production sink,both,objective_parameter,S3,important,planning_docs,mixed,candidate_not_approved,,,planning_docs,STEEL_MODEL_BLUEPRINT;STEEL_ASSUMPTION_REGISTER,codex_phase_s1,2026-06-13,Keep target fulfilment and economics separable
DA_BID_POLICY,DA bidding and settlement,bid representation,Policy for submitted DA quantities prices or cleared-consumption representation,MW or MWh,market interface,both,model_input,S5,important,planning_docs,public,category_only,,,planning_docs,AGENTS;STEEL_MODEL_BLUEPRINT,codex_phase_s1,2026-06-13,Explicit bidding representation required before claim of DA participation
DA_SETTLEMENT_RULE,DA bidding and settlement,settlement logic,Realised procurement clearing and settlement parameters,EUR or MWh,market interface,both,objective_parameter,S5,important,planning_docs,public,category_only,,,planning_docs,AGENTS;STEEL_MODEL_BLUEPRINT,codex_phase_s1,2026-06-13,Realised settlement must be reported separately from optimisation expectation
NON_ANTICIPATIVITY_SET,stochastic/CVaR,information structure,Scenario-sharing set for first-stage decisions,set definition,decision structure,both,constraint,S6,critical,planning_docs,public,category_only,,,planning_docs,AGENTS;STEEL_VALIDATION_AND_TRACTABILITY_PLAN,codex_phase_s1,2026-06-13,Must not be bypassed in scenario optimisation
CVAR_SETTINGS,stochastic/CVaR,risk aversion,VaR threshold excess-loss confidence-level and risk-weight families,unit depends on downside metric,scenario objective,both,objective_parameter,S6,important,planning_docs,public,category_only,,,planning_docs,AGENTS,codex_phase_s1,2026-06-13,Validation-based selection only
MFRR_INTERFACE,later mFRR,reserve participation,Reserve capacity activation and penalty category family,mixed units,market interface,both,model_input,S8,later,planning_docs,public,category_only,,,planning_docs,AGENTS;STEEL_IMPLEMENTATION_ROADMAP,codex_phase_s1,2026-06-13,Explicitly deferred until DA-only steel is stable
PUBLIC_THROUGHPUT_TARGET,validation targets,public production anchor,Public throughput or annual production anchor used for plausibility checking,t/year or t/h,site or route,both,validation_target,S2,critical,site_public,public,validation_target_placeholder,,,public_validation_anchor,STEEL_VALIDATION_AND_TRACTABILITY_PLAN;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Validation target only and not an approved operating coefficient
PUBLIC_ENERGY_SCALE_TARGET,validation targets,public energy plausibility,Public aggregate electricity demand or connection anchor used for scale checks,MW or MWh,site or route,phase1,validation_target,S3,important,site_public,public,validation_target_placeholder,,,public_validation_anchor,STEEL_VALIDATION_AND_TRACTABILITY_PLAN;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Supports order-of-magnitude validation only
