anchor_id,anchor_name,configuration,anchor_category,metric,raw_value,raw_unit,converted_value,converted_unit,scaled_value_to_6_75,scaled_unit,scaling_method,scaling_allowed,production_denominator_raw,denominator_type,source_title,source_type,source_trust_rank,evidence_tier,source_locator,locator_quality,anchor_role,model_use_status,use_in_primary_score,thesis_claim_eligibility,conflict_status,supersedes_anchor_id,superseded_by_anchor_id,caveat,review_status,last_reviewed_stage,notes
c0_official_grid_import_3_4pj_missing,C0 official grid import missing locator,C0,grid_import_net_electricity_exposure_anchors,grid import,3.4,PJ/y,3.4,PJ/y,,TWh/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,residual_kpi,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Create source-card locator before use; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
c1_official_total_site_electricity_17_8pj_missing,C1 official total site electricity use missing locator,C1,electricity_gross_use_anchors,total site electricity use,17.8,PJ/y,17.8,PJ/y,,TWh/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,residual_kpi,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Create source-card locator before use; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
c1_official_grid_import_11_7pj_missing,C1 official grid import missing locator,C1,grid_import_net_electricity_exposure_anchors,grid import,11.7,PJ/y,11.7,PJ/y,,TWh/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,residual_kpi,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Create source-card locator before use; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
athan_table8_current_electricity_3_17,Athanasiadis Table 8 current electricity total,C0,electricity_gross_use_anchors,electricity consumption total,3.17,TWh/y,3.17,TWh/y,,TWh/y,not_scaled_6_2_denominator_not_verified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,denominator_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Local PDF not found during targeted lookup
athan_table9_phase1_electricity_4_89,Athanasiadis Table 9 Phase 1 electricity total,C1,electricity_gross_use_anchors,electricity consumption total,4.89,TWh/y,4.89,TWh/y,,TWh/y,not_scaled_6_2_denominator_not_verified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,denominator_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Local PDF not found during targeted lookup
c0_residual_gas_electricity_2twh,C0 residual-gas electricity validation anchor,C0,onsite_generation_wag_electricity_anchors,residual-gas electricity,2.0,TWh/y,2.0,TWh/y,,TWh/y,not_scaled_validation_anchor,no,site annual total,site_total,IJ01 VN25 source card and C5p_c diagnostics,source_card_candidate,Rank 1,Tier F,source_cards/IJ01_VN25_GENERATORS_Parameters.md,partial,secondary_validation,validation_only,no,limited,boundary_unclear,,,Validation anchor only not generator output target,reviewed_for_development,C5p_c,Do not back-calculate fuel from this anchor
c0_generator_actual_2_067665,C0 modelled generator electricity offset,C0,onsite_generation_wag_electricity_anchors,internal generator electricity offset actual,2.067665,TWh/y,2.067665,TWh/y,,TWh/y,not_scaled_model_output,no,current C5 activity,site_total,C5p_c generator interface diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_c summary and C5p_e matrix,indirect,reporting_context,reporting_only,no,no,boundary_unclear,,,Internal offset reporting only not DA revenue,reviewed_for_development,C5p_c,Computed from residual WAG and development efficiency
c1_generator_offset_0_935277,C1 modelled generator electricity offset,C1,onsite_generation_wag_electricity_anchors,internal generator electricity offset actual,0.935277,TWh/y,0.935277,TWh/y,,TWh/y,not_scaled_model_output,no,current C5 activity,site_total,C5p_c generator interface diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_c summary and C5p_e matrix,indirect,reporting_context,reporting_only,no,no,boundary_unclear,,,Internal offset reporting only not DA revenue,reviewed_for_development,C5p_c,C1 fuel gap remains explicit
c0_full_site_ng_12_5pj_missing,C0 official full-site NG use missing locator,C0,natural_gas_full_site_or_component_use_anchors,full-site natural gas use,12.5,PJ/y,12.5,PJ/y,,PJ/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,residual_kpi,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Confirm source before residual KPI use; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
c1_full_site_ng_46_5pj_missing,C1 official full-site NG use missing locator,C1,natural_gas_full_site_or_component_use_anchors,full-site natural gas use,46.5,PJ/y,46.5,PJ/y,,PJ/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,residual_kpi,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Confirm source before residual KPI use; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
c1_drp_ng_27_72,C1 DRP NG derived source anchor,C1,natural_gas_full_site_or_component_use_anchors,DRP NG reduction plus furnace,27.72,PJ/y,27.72,PJ/y,,PJ/y,not_scaled_component_anchor,no,2.8 Mt DRI/y source basis,component_boundary,DRP source card,official_public_site_specific,Rank 1,Tier E,source_cards/DRP_Parameters.md,partial,secondary_validation,validation_only,no,limited,none,,,Component anchor not full-site NG,reviewed_for_development,C5p_g,Compare to current C1 DRP NG 27.516175 PJ/y
c1_vn25_ng_4_1,C1 VN25 NG preferred anchor,C1,natural_gas_full_site_or_component_use_anchors,VN25 NG fuel,4.1,PJ/y,4.1,PJ/y,,PJ/y,not_scaled_generator_anchor,no,C1 generator table basis,component_boundary,IJ01 VN25 generator source card,official_public_site_specific,Rank 1,Tier A,source_cards/IJ01_VN25_GENERATORS_Parameters.md lines 205-224 Table 5.5,exact,primary_validation,validation_only,yes,limited,none,,,Component anchor now has an explicit named VN25 NG variable and unit boundary; it remains an annual validation anchor rather than a dispatch constraint or full-site NG allocation,reviewed_for_development,source_boundary_evidence_repair,No price-responsive dispatch
athan_table8_current_ng_avg_33243,Athanasiadis Table 8 current NG average,C0,natural_gas_full_site_or_component_use_anchors,natural gas consumption average,33243.63,m3 per unverified average basis,,,,,not_scaled_unit_basis_unverified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,unit_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Do not convert to PJ before LHV and time basis are verified
athan_table9_phase1_ng_avg_151673,Athanasiadis Table 9 Phase 1 NG average,C1,natural_gas_full_site_or_component_use_anchors,natural gas consumption average,151673.52,m3 per unverified average basis,,,,,not_scaled_unit_basis_unverified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,unit_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Do not convert to PJ before LHV and time basis are verified
c0_product_gas_reuse_54pj,C0 product gas reuse context,C0,wag_generation_and_availability_anchors,product gas reuse,54,PJ/y,54,PJ/y,,PJ/y,not_scaled_context_anchor,no,site annual total,site_total,IJ01 VN25 source card,source_card_candidate,Rank 1,Tier F,source_cards/IJ01_VN25_GENERATORS_Parameters.md,partial,reporting_context,reporting_only,no,limited,boundary_unclear,,,Context only not exact generator fuel,reviewed_for_development,C5p_c,Do not use as direct WAG-to-generator quantity
c1_generator_wag_with_flare_10_6,C1 generator preferred WAG subtotal plus flare,C1,wag_generation_and_availability_anchors,carrier-specific WAG fuel plus flare,10.6,PJ/y,10.6,PJ/y,,PJ/y,derived_component_subtotal,no,C1 generator Table 5.5 carrier components,component_boundary,IJ01 VN25 source card,official_public_site_specific,Rank 1,Tier E,source_cards/IJ01_VN25_GENERATORS_Parameters.md lines 205-224 Table 5.5,exact,primary_validation,validation_only,yes,limited,none,,,Derived as BFG 9.1 plus BOFG 1.3 plus COG 0.1 plus flare 0.1 PJ/y; the repaired ledger now exposes those carriers and flare on the same component boundary without imposing the anchor,reviewed_for_development,source_boundary_evidence_repair,Replaces invalid WAG-only comparison to total fuel 14.6 PJ/y
c1_generator_total_with_flare_14_6,C1 generator preferred total fuel plus flare,C1,wag_generation_and_availability_anchors,total generator fuel plus flare including named NG,14.6,PJ/y,14.6,PJ/y,,PJ/y,not_scaled_generator_anchor,no,C1 generator table basis,component_boundary,IJ01 VN25 source card,official_public_site_specific,Rank 1,Tier A,source_cards/IJ01_VN25_GENERATORS_Parameters.md Table 5.5,partial,secondary_validation,validation_only,no,limited,boundary_unclear,,,Includes 4.1 PJ/y named VN25 NG; do not compare directly with WAG-only model ledger or use as an hourly dispatch constraint,reviewed_for_development,C5p_at,Retained as a visible non-comparable total-fuel context
c1_vn25_total_fuel_13_7,C1 VN25 preferred fuel total,C1,wag_generation_and_availability_anchors,VN25 total fuel,13.7,PJ/y,13.7,PJ/y,,PJ/y,not_scaled_generator_anchor,no,C1 generator table basis,component_boundary,IJ01 VN25 source card,official_public_site_specific,Rank 1,Tier A,source_cards/IJ01_VN25_GENERATORS_Parameters.md,partial,secondary_validation,validation_only,no,limited,boundary_unclear,,,Carrier-specific annual anchor not hourly schedule,reviewed_for_development,C5p_c,BFG 8.4 BOFG 1.2 COG 0.1 NG 4.1 PJ/y
c1_ij01_total_fuel_0_8,C1 IJ01 preferred fuel total,C1,wag_generation_and_availability_anchors,IJ01 total fuel,0.8,PJ/y,0.8,PJ/y,,PJ/y,not_scaled_generator_anchor,no,C1 generator table basis,component_boundary,IJ01 VN25 source card,official_public_site_specific,Rank 1,Tier A,source_cards/IJ01_VN25_GENERATORS_Parameters.md,partial,secondary_validation,validation_only,no,limited,boundary_unclear,,,IJ01 CHP split deferred and NG blocked in base,reviewed_for_development,C5p_c,BFG 0.7 BOFG 0.1 COG 0 NG 0 PJ/y
c1_generator_flare_0_1,C1 generator flare anchor,C1,wag_generation_and_availability_anchors,generator flare,0.1,PJ/y,0.1,PJ/y,,PJ/y,not_scaled_generator_anchor,no,C1 generator table basis,component_boundary,IJ01 VN25 source card,official_public_site_specific,Rank 1,Tier A,source_cards/IJ01_VN25_GENERATORS_Parameters.md,partial,secondary_validation,validation_only,no,limited,none,,,No direct WAG market value,reviewed_for_development,C5p_c,Flare/spill remains diagnostic
c1_generator_fuel_gap_4_763389,Historical C1 generator total-fuel boundary gap,C1,wag_generation_and_availability_anchors,historical total-fuel gap including unmodelled named NG,4.763389,PJ/y,4.763389,PJ/y,,PJ/y,historical_not_scaled_model_output,no,current C5 activity,component_boundary,C5p_c and C5p_e diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_e annual matrix,indirect,blocked,blocked,no,no,obsolete,,c1_generator_wag_with_flare_10_6,Historical gap compared WAG-only model fuel against 14.6 PJ/y total that includes 4.1 PJ/y named VN25 NG; retain only for lineage and do not score or treat as a WAG deficit,blocked,C5p_at,Superseded by carrier-specific WAG subtotal comparison; named generator NG remains a reporting-only boundary
athan_table8_current_wag_2_74,Athanasiadis Table 8 current total WAG generation,C0,wag_generation_and_availability_anchors,total WAG generation,2.74,TWh/y,2.74,TWh/y,,TWh/y,not_scaled_6_2_denominator_not_verified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,denominator_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Local PDF not found during targeted lookup
athan_table9_phase1_wag_1_23,Athanasiadis Table 9 Phase 1 total WAG generation,C1,wag_generation_and_availability_anchors,total WAG generation,1.23,TWh/y,1.23,TWh/y,,TWh/y,not_scaled_6_2_denominator_not_verified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,denominator_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Local PDF not found during targeted lookup
c0_official_scope1_12_6_missing,C0 official full-site Scope 1 CO2 missing locator,C0,co2_site_or_process_candidate_anchors,full-site Scope 1 CO2,12.6,MtCO2/y,12.6,MtCO2/y,,MtCO2/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,validation_only,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Confirm source before site-level CO2 residual KPI; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
c1_official_scope1_8_3_missing,C1 official full-site Scope 1 CO2 missing locator,C1,co2_site_or_process_candidate_anchors,full-site Scope 1 CO2,8.3,MtCO2/y,8.3,MtCO2/y,,MtCO2/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,validation_only,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Confirm source before site-level CO2 residual KPI; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
athan_table8_current_co2_13_365,Athanasiadis Table 8 current CO2 emissions,C0,co2_site_or_process_candidate_anchors,CO2 emissions,13365216.16,tons CO2/y,13.36521616,MtCO2/y,,MtCO2/y,not_scaled_6_2_denominator_not_verified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,denominator_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Do not mix with WAG explicit mode without carbon policy
athan_table9_phase1_co2_9_108,Athanasiadis Table 9 Phase 1 CO2 emissions,C1,co2_site_or_process_candidate_anchors,CO2 emissions,9107793.17,tons CO2/y,9.10779317,MtCO2/y,,MtCO2/y,not_scaled_6_2_denominator_not_verified,no,6.2 Mt/y suspected but not verified,unknown,Athanasiadis 2025 MSc thesis,public_thesis_model_precedent,Rank 3,Tier B,"Athanasiadis public thesis, Table 8/9; value supplied by user; exact repo locator intentionally not searched in this task",partial,model_precedent,sensitivity_scoring,no,limited,denominator_unclear,,,"model-precedent anchor, not official Tata truth; user-supplied value; denominator and NG basis unresolved.",open,C5p_k_anchor_patch,Do not mix with WAG explicit mode without carbon policy
c0_current_pefa_co2_0_452813,C0 current PEFA aggregate diagnostic CO2,C0,process_level_co2_candidate_anchors,PEFA diagnostic CO2,0.452813,MtCO2/y,0.452813,MtCO2/y,,MtCO2/y,not_scaled_model_output,no,current C5 activity,component_boundary,C5p_e and C5p_h diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_h CO2 boundary matrix,exact,reporting_context,reporting_only,no,no,boundary_unclear,,,Component diagnostic only not full site,reviewed_for_development,C5p_h,Do not claim ETS-ready total
c1_current_component_co2_0_943240,C1 current component diagnostic CO2,C1,process_level_co2_candidate_anchors,component diagnostic CO2,0.943240,MtCO2/y,0.943240,MtCO2/y,,MtCO2/y,not_scaled_model_output,no,current C5 activity,component_boundary,C5p_e and C5p_h diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_h CO2 boundary matrix,exact,reporting_context,reporting_only,no,no,boundary_unclear,,,Component diagnostic only not full site,reviewed_for_development,C5p_h,PEFA plus EAF/DSP diagnostic components
c1_drp_capture_stream_0_794912,C1 DRP captured CO2 stream,C1,process_level_co2_candidate_anchors,DRP captured CO2 stream,0.794912,MtCO2/y,0.794912,MtCO2/y,,MtCO2/y,not_scaled_capture_stream,no,current C5 activity,component_boundary,DRP source card and C5p_h diagnostics,official_public_site_specific,Rank 1,Tier F,source_cards/DRP_Parameters.md,partial,reporting_context,reporting_only,no,limited,boundary_unclear,,,Captured stream not direct emission total,reviewed_for_development,C5p_h,Keep separate from Scope 1 diagnostic total
c0_oxygen_demand_893_438,C0 current oxygen demand,C0,oxygen_and_utility_sanity_anchors,total O2 demand,893.438,kt/y,893.438,kt/y,,kt/y,not_scaled_model_output,no,current C5 activity,component_boundary,C5p_a and C5p_e diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_e annual matrix,indirect,reporting_context,reporting_only,no,no,none,,,ASU electricity diagnostic not full site electricity,reviewed_for_development,C5p_e,Compare to source-card oxygen sanity anchors separately
c1_oxygen_demand_982_144,C1 current oxygen demand,C1,oxygen_and_utility_sanity_anchors,total O2 demand,982.144,kt/y,982.144,kt/y,,kt/y,not_scaled_model_output,no,current C5 activity,component_boundary,C5p_a and C5p_e diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_e annual matrix,indirect,reporting_context,reporting_only,no,no,none,,,DRP oxygen basis remains review priority,reviewed_for_development,C5p_e,Current active basis is preserved pending source review
c0_asu_electricity_357_375,C0 ASU electricity,C0,oxygen_and_utility_sanity_anchors,ASU electricity,357.375,GWh/y,0.357375,TWh/y,,TWh/y,not_scaled_model_output,no,current C5 activity,component_boundary,C5p_a and C5p_e diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,C5p_e annual matrix,indirect,reporting_context,reporting_only,no,no,none,,,ASU demand component not full site electricity,reviewed_for_development,C5p_e,Keep separate from residual electricity
