flow_id,configuration,component,carrier,flow_direction,physical_unit,parameter_value,parameter_basis,activity_driver,physical_constraint,future_price_unit,future_cost_treatment,internal_external,source_status,source_locator,residual_status,included_in_first_deterministic_cost_layer,explicitly_deferred,caveat,price_id,price_scenario_id,objective_enabled,accounting_enabled,objective_mode,external_purchase_status,origin_status,physical_quantity_attribute,price_unit,unit_compatibility_status,double_count_group,cost_readiness_status,deferred_reason,cost_route,model_component_attribute
C0_EL_SINTER,C0,sinter,electricity,demand,MWh_e,0.0343,MWh per t sinter,sinter_output_t,named non-overlapping bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,SINTER_Parameters.md and C5m accepted Gate-1 row,not_residual,yes,no,Uses converted sinter output.,,,false,false,prepared_not_active,not_resolved,not_resolved,sinter_electricity_mwh,,not_applicable,C0_EL_SINTER_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_STEAM_AUX,C0,boiler_steam_auxiliaries,electricity,demand,MWh_e,0,known not executable,represented_steam_supply_t,explicit zero bucket,EUR_per_MWh_e,excluded until coefficient is source accepted,internal_demand,blocked,BOILER_STEAM_CIRCUIT_Parameters.md,known_boundary_gap,no,yes,Never hidden in another electricity bucket or residual.,,,false,false,none,not_resolved,not_resolved,,,not_applicable,C0_EL_STEAM_AUX,boundary_repair_required,physical_boundary_incomplete,C0_BF_BOF,
C0_EL_RESIDUAL,C0,unknown_background,electricity,boundary_residual,MWh_e,,full-site anchor minus represented gross,none,reporting identity only,not_applicable,never priced or dispatched,external_context,not_in_first_cost_layer,canonical anchor register,reporting_only_residual,no,yes,Prominent signed coverage gap only.,,,false,false,none,unrepresented_not_purchased,unrepresented,,,not_applicable,C0_EL_RESIDUAL,excluded_residual,residual_is_reporting_gap_not_input,C0_BF_BOF,
C1_EL_GRID,C1,represented_site_boundary,electricity,external_supply,MWh_e,,net represented demand,represented_net_grid_import_mwh,gross equals internal generation plus grid import,EUR_per_MWh_e,price net represented purchase only,external,boundary_reconciled_development,p_af annual physical boundary ledger,not_residual,yes,no,No export revenue.,grid_electricity_flat_nl,development_central,true,true,fixed_reference_procurement_cost,external_purchase,external_grid,net_grid_import_mwh,EUR_per_MWh_e,compatible,C1_net_grid_purchase_once,ex_post_ready,not_deferred,C1_BF_BOF,net_grid_import_mwh
C1_EL_INTERNAL,C1,VN25_IJ01,electricity,internal_supply,MWh_e,,unit-specific conversion identities,generator_total_fuel_mwh,VN25 output plus IJ01 deferred conversion closes fuel identity,not_applicable,offset grid import only,internal,boundary_reconciled_development,IJ01_VN25_GENERATORS_Parameters.md lines 198-203,not_residual,no,no,VN25 efficiency is 0.345 development; IJ01 quantitative CHP split remains deferred.,,,false,false,prepared_not_active,internal_not_purchased,internal,generator_electricity_mwh,,not_applicable,C1_EL_INTERNAL_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C1_BF_BOF,
C1_EL_DRP,C1,DRP,electricity,demand,MWh_e,0.0833333333,MWh per t DRI,DRP_DRI_output_t,named non-overlapping bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,source_backed_central,DRP_Parameters.md MER chapter 10,not_residual,yes,no,Captured once through represented net grid import.,,,false,false,prepared_not_active,internal_not_purchased,internal_demand,DRP_electricity_mwh,,not_applicable,C1_EL_DRP_included_in_net_grid,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C1_DRP_EAF,
C1_NG_PEFA,C1,PEFA,NG,external_supply,MWh_LHV,0.320 GJ per t pellets,total gas heat with WAG first,PEFA_pellet_output_t,named backup in represented stage balances,EUR_per_MWh_LHV,price realised named NG backup only,external,accepted_development,PELLETIZING_Parameters.md and controller contract,not_residual,yes,no,WAG first.,natural_gas_ttf_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,named_external_NG,NG_to_PEFA_malerij_mwh;NG_to_PEFA_branderij_mwh,EUR_per_MWh_LHV,compatible,C1_named_NG_PEFA_each_sink_once,ex_post_ready,not_deferred,C1_downstream_and_common,ng_to_pefa_malerij_mwh;ng_to_pefa_branderij_mwh
C1_NG_BOILER,C1,represented_15bar_boiler,NG,external_supply,MWh_LHV,,named steam demand fuel bridge,steam_15bar_demand_t,steam demand equals represented supply,EUR_per_MWh_LHV,price realised named NG backup only,external,boundary_reconciled_development,BOILER_STEAM_CIRCUIT_Parameters.md and C5p_b outputs,not_residual,yes,no,WAG first.,natural_gas_ttf_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,named_external_NG,natural_gas_boiler_mwh,EUR_per_MWh_LHV,compatible,C1_named_NG_boiler_once,ex_post_ready,not_deferred,C1_downstream_and_common,ng_to_boiler_mwh
C1_NG_VN25,C1,VN25,NG,external_supply,MWh_LHV,,eligible named backup,unit_fuel_input_mwh,unit fuel identity and volume capacity,EUR_per_MWh_LHV,price realised named purchase,external,boundary_reconciled_development,IJ01_VN25_GENERATORS_Parameters.md lines 213-217 and 251-254,not_residual,yes,no,4.1 PJ per y is post-cost validation and not a duty or fixed input.,natural_gas_ttf_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,named_external_NG,VN25_NG_fuel_mwh,EUR_per_MWh_LHV,compatible,C1_named_NG_VN25_once,ex_post_ready,not_deferred,C1_downstream_and_common,ng_to_vn25_mwh
C1_NG_IJ01,C1,IJ01,NG,external_supply,MWh_LHV,0,prohibited in base,none,fixed zero,EUR_per_MWh_LHV,never purchased,external,source_backed_central,IJ01_VN25_GENERATORS_Parameters.md lines 221 and 253,not_residual,no,no,Explicitly ineligible.,,,false,false,none,not_resolved,not_resolved,IJ01_NG_fuel_mwh,,not_applicable,C1_NG_IJ01,excluded_this_phase,outside_current_ex_post_accounting_boundary,C1_BF_BOF,
C1_NG_SINTER_COMMON,C1,sinter_and_other_common_plants,NG,deferred,MWh_LHV,,no nonoverlapping active driver,none,no physical input,EUR_per_MWh_LHV,excluded until source boundary is reopened,external,blocked,common-plant source cards and C5p_k warning interface,known_boundary_gap,no,yes,C5p_k is never physical allocation.,,,false,false,none,not_resolved,not_resolved,,,not_applicable,C1_NG_SINTER_COMMON,boundary_repair_required,physical_boundary_incomplete,C1_BF_BOF,
C1_NG_RESIDUAL,C1,unknown_background,NG,boundary_residual,MWh_LHV,,full-site anchor minus named consumers,none,reporting identity only,not_applicable,never priced or dispatched,external_context,not_in_first_cost_layer,canonical anchor register,reporting_only_residual,no,yes,Prominent signed coverage gap only.,,,false,false,none,unrepresented_not_purchased,unrepresented,,,not_applicable,C1_NG_RESIDUAL,excluded_residual,residual_is_reporting_gap_not_input,C1_BF_BOF,
BOTH_WAG_BFG,both,BF_source_and_named_sinks,BFG,internal_generation_and_use,MWh_LHV,1600 Nm3 per t hot metal,converted with governed BFG LHV,BF_hot_metal_output_t,carrier-specific balance to hot stove HSM boiler generator or flare,not_applicable,no external purchase price,internal,accepted_development,wag_generation_coefficients.csv and governed WAG factor map,not_residual,no,no,Opportunity value arises only from constrained alternatives.,,,false,false,none,internal_not_purchased,internal,,,not_applicable,BOTH_WAG_BFG,excluded_internal_carrier,WAG_and_internal_generation_unpriced,shared_internal_or_reporting,
BOTH_WAG_COG,both,KGF_source_and_named_sinks,COG,internal_generation_and_use,MWh_LHV,365 m3 per t dry coal,converted with governed COG LHV,dry_coal_input_t,carrier-specific balance to KGF sinter HSM PEFA boiler generator or flare,not_applicable,no external purchase price,internal,accepted_development,wag_generation_coefficients.csv and governed WAG factor map,not_residual,no,no,No mixed or aggregate physical carrier.,,,false,false,none,internal_not_purchased,internal,,,not_applicable,BOTH_WAG_COG,excluded_internal_carrier,WAG_and_internal_generation_unpriced,shared_internal_or_reporting,
BOTH_WAG_BOFG,both,BOF_source_and_named_sinks,BOFG,internal_generation_and_use,MWh_LHV,75 Nm3 per t liquid steel,converted with governed BOFG LHV,BOF_liquid_steel_output_t,carrier-specific balance to HSM PEFA generator or flare,not_applicable,no external purchase price,internal,accepted_development,wag_generation_coefficients.csv and governed WAG factor map,not_residual,no,no,No mixed or aggregate physical carrier.,,,false,false,none,internal_not_purchased,internal,,,not_applicable,BOTH_WAG_BOFG,excluded_internal_carrier,WAG_and_internal_generation_unpriced,shared_internal_or_reporting,
C1_GEN_VN25,C1,VN25,WAG_and_NG,conversion,MWh_LHV_to_MWh_e,0.345,MWh_e per MWh_LHV,VN25_total_fuel_mwh,fuel equals electricity plus conversion loss and unit volume cap,not_applicable,internal grid offset only,internal,accepted_development,IJ01_VN25_GENERATORS_Parameters.md lines 198-203,not_residual,no,no,Efficiency is source-bounded development and not calibrated to annual dispatch.,,,false,false,none,internal_not_purchased,internal,VN25_total_fuel_mwh,,not_applicable,C1_GEN_VN25,excluded_internal_carrier,WAG_and_internal_generation_unpriced,C1_downstream_and_common,
C1_GEN_IJ01,C1,IJ01,WAG,conversion,MWh_LHV,0,quantitative CHP split deferred,IJ01_total_fuel_mwh,fuel equals named deferred conversion output and 0.8 PJ per y envelope,not_applicable,not in first cost layer,internal,not_in_first_cost_layer,IJ01_VN25_GENERATORS_Parameters.md lines 201-204,known_boundary_gap,no,yes,No fictitious electricity or steam yield.,,,false,false,none,internal_not_purchased,internal,IJ01_total_fuel_mwh,,not_applicable,C1_GEN_IJ01,excluded_internal_carrier,WAG_and_internal_generation_unpriced,C1_BF_BOF,
BOTH_STEAM,both,represented_15bar_steam,steam,internal_supply_and_demand,t_steam,,C5p_b named represented demand,steam_15bar_demand_t,supply equals demand and unserved equals zero,not_applicable,no steam market or revenue,internal,boundary_reconciled_development,BOILER_STEAM_CIRCUIT_Parameters.md and C5p_b run outputs,not_residual,no,no,Accepted tractable abstraction only; spill and boundary residual remain visible.,,,false,false,none,internal_not_purchased,internal,steam_15bar_supply_t,,not_applicable,BOTH_STEAM,excluded_internal_carrier,steam_unpriced_internal_carrier,shared_internal_or_reporting,
BOTH_CO2_WAG,both,represented_oxidation_sinks,BFG_COG_BOFG,emission,tCO2,governed carrier factors,tCO2 per MWh_LHV,carrier_sink_and_flare_mwh,count once at represented sink or flare,not_applicable,no ETS in first layer,reporting,accepted_development,WAG_CARRIERS_CO2_FACTORS_Parameters.md and governed factor map,not_residual,no,yes,Mode B excludes aggregate process counters.,,,false,false,none,not_resolved,not_resolved,,,not_applicable,BOTH_CO2_WAG,excluded_this_phase,ETS_and_CO2_costs_disabled,shared_internal_or_reporting,
BOTH_CO2_NG,both,represented_named_NG_sinks,NG,emission,tCO2,56.1,kg CO2 per GJ_LHV,named_NG_mwh,count once at named oxidation sink,not_applicable,no ETS in first layer,reporting,accepted_development,governed_carrier_parameter_register.csv,not_residual,no,yes,Scope-1 residual remains separate.,,,false,false,none,not_resolved,not_resolved,,,not_applicable,BOTH_CO2_NG,excluded_this_phase,ETS_and_CO2_costs_disabled,shared_internal_or_reporting,
BOTH_CO2_RESIDUAL,both,user_authorized_unmodelled_direct_emissions,CO2,boundary_residual,tCO2,2000000,constant 2.0-MtCO2-per-year Phase-5K reporting term,none,reporting identity only,not_applicable,never priced or dispatched,external_context,accepted_development,c5_phase5k_final_user_authorized_boundary_contract/final_boundary_contract.csv,active_reporting_only,no,yes,Same absolute aggregate term in C0 and C1 selected after recalculated fuel emissions; no plant allocation whole-site or ETS claim.,,,false,false,reporting_only,unrepresented_not_purchased,user_authorized_aggregate_abstraction,,,not_applicable,BOTH_CO2_RESIDUAL,excluded_from_cost_and_dispatch,reporting_only_not_ETS_ready,shared_internal_or_reporting,
C1_MAT_IMPORTED_SLAB,C1,external_slab_boundary,imported_slab,external_supply,t,600000,annual maximum only not priced quantity,C1_imported_slab_to_HSM_t_h,flow nonnegative and annual cap converted consistently to rolling horizon,EUR_per_t_imported_slab,price actual solved delivery only,external,boundary_reconciled_development,MER public document p48 and governed Gate 2 imported slab boundary,not_residual,yes,no,Imported slab enters HSM only and receives zero upstream site burdens; never price the cap,imported_slab_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,imported_origin_tagged,C1_imported_slab_to_HSM_t_h,EUR_per_t_imported_slab,compatible,C1_imported_slab_actual_delivery_once,ex_post_ready,not_deferred,C1_imported_slab_downstream,imported_slab_to_hsm
C0_MAT_COKING_COAL,C0,KGF1_KGF2,coking_coal,external_supply,t_dry_coal,,solved external timestep quantity,C0_coking_input_t_h,follows solved physical activity and route scenario,EUR_per_t_purchased_dry_coal,price solved external purchase exactly once,external,source_backed_central,Coking_Plants_Parameters.md and solved KGF dry-coal input,not_residual,yes,no,Internal coke is not priced.,coking_coal_hcc_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,C0_coking_input_t_h,EUR_per_t_purchased_dry_coal,compatible,C0_purchased_dry_coal_once,objective_ready,not_deferred,C0_BF_BOF,coking_plant_1;coking_plant_2
C1_MAT_COKING_COAL,C1,KGF1,coking_coal,external_supply,t_dry_coal,,solved external timestep quantity,C1_retained_coking_input_t_h,follows solved physical activity and route scenario,EUR_per_t_purchased_dry_coal,price solved external purchase exactly once,external,source_backed_central,Coking_Plants_Parameters.md and solved retained KGF dry-coal input,not_residual,yes,no,Internal coke is not priced.,coking_coal_hcc_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,C1_retained_coking_input_t_h,EUR_per_t_purchased_dry_coal,compatible,C1_purchased_dry_coal_once,objective_ready,not_deferred,C1_BF_BOF,coking_plant_1
C0_MAT_PCI,C0,BF6_BF7,PCI,external_supply,t_PCI,,solved external timestep quantity,C0_BF_PCI_input_t,follows solved physical activity and route scenario,EUR_per_t_purchased_PCI,price solved external purchase exactly once,external,source_backed_central,Blast_Furnace_Parameters.md BF_PCI_COAL_INPUT_T_PER_T_HM,not_residual,yes,no,Named physical accounting flow follows solved hot metal and does not alter the represented sinter balance.,pci_coal_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,C0_BF_PCI_input_t,EUR_per_t_purchased_PCI,compatible,C0_purchased_PCI_once,objective_ready,not_deferred,C0_BF_BOF,bf_pci_input_t
C1_MAT_PCI,C1,BF6,PCI,external_supply,t_PCI,,solved external timestep quantity,C1_BF_PCI_input_t,follows solved physical activity and route scenario,EUR_per_t_purchased_PCI,price solved external purchase exactly once,external,source_backed_central,Blast_Furnace_Parameters.md BF_PCI_COAL_INPUT_T_PER_T_HM,not_residual,yes,no,Named physical accounting flow follows retained BF6 hot metal.,pci_coal_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,C1_BF_PCI_input_t,EUR_per_t_purchased_PCI,compatible,C1_purchased_PCI_once,objective_ready,not_deferred,C1_BF_BOF,bf_pci_input_t
C0_MAT_SINTER_ORE,C0,sinter,iron_ore,external_supply,t_purchased_ore,,solved external timestep quantity,C0_sinter_iron_ore_feed_t_h,follows solved physical activity and route scenario,EUR_per_t_purchased_ore,price solved external purchase exactly once,external,boundary_reconciled_development,SINTER_Parameters.md and Gate-1 solved bus0 iron-ore feed,not_residual,yes,no,Prices the represented sinter ore feed only.,iron_ore_62fe_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,C0_sinter_iron_ore_feed_t_h,EUR_per_t_purchased_ore,compatible,C0_sinter_purchased_ore_once,objective_ready,not_deferred,C0_BF_BOF,sintering_plant
C1_MAT_SINTER_ORE,C1,sinter,iron_ore,external_supply,t_purchased_ore,,solved external timestep quantity,C1_retained_sinter_iron_ore_feed_t_h,follows solved physical activity and route scenario,EUR_per_t_purchased_ore,price solved external purchase exactly once,external,boundary_reconciled_development,SINTER_Parameters.md and solved retained bus0 iron-ore feed,not_residual,yes,no,Prices the represented retained sinter ore feed only.,iron_ore_62fe_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,C1_retained_sinter_iron_ore_feed_t_h,EUR_per_t_purchased_ore,compatible,C1_sinter_purchased_ore_once,objective_ready,not_deferred,C1_BF_BOF,sintering_plant
C0_MAT_PEFA_ORE,C0,PEFA,iron_ore,external_supply,t_purchased_ore,,solved external timestep quantity,PEFA_iron_ore_input_t,follows solved physical activity and route scenario,EUR_per_t_purchased_ore,price solved external purchase exactly once,external,accepted_development,PELLETIZING_Parameters.md PEFA_IRON_ORE_INPUT_T_PER_T_PELLETS,not_residual,yes,no,Prices external ore input; internal fired pellets are not priced.,iron_ore_62fe_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,PEFA_iron_ore_input_t,EUR_per_t_purchased_ore,compatible,C0_PEFA_purchased_ore_once,objective_ready,not_deferred,C0_common_material_preparation,pefa_iron_ore_input_t
C1_MAT_PEFA_ORE,C1,PEFA,iron_ore,external_supply,t_purchased_ore,,solved external timestep quantity,PEFA_iron_ore_input_t,follows solved physical activity and route scenario,EUR_per_t_purchased_ore,price solved external purchase exactly once,external,accepted_development,PELLETIZING_Parameters.md PEFA_IRON_ORE_INPUT_T_PER_T_PELLETS,not_residual,yes,no,No PEFA-to-DRP material link is claimed; internal fired pellets are not priced.,iron_ore_62fe_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external,PEFA_iron_ore_input_t,EUR_per_t_purchased_ore,compatible,C1_PEFA_purchased_ore_once,objective_ready,not_deferred,C1_common_material_preparation,pefa_iron_ore_input_t
C1_MAT_DRP_PELLETS,C1,DRP,DR_pellets,external_supply,t_imported_DR_pellets,,fixed source-backed external timestep quantity,external_DR_pellets_to_DRP_t,grade-specific origin balance with internal PEFA-to-DRP flow,EUR_per_t_imported_DR_pellets,price solved external purchase exactly once,external,boundary_reconciled_development,DRP_Parameters.md and MER 0.2-Mt/y base pellet-import context,not_residual,yes,no,Only the explicit 0.2-Mt/y external DR-grade origin is purchased; internal PEFA pellets are conserved separately and unpriced as pellet purchases.,imported_dr_pellets_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_imported_DR_grade,external_dr_pellets_to_drp_t,EUR_per_t_imported_DR_pellets,compatible,C1_DRP_purchased_pellets_once,objective_ready,not_deferred,C1_DRP_EAF,external_dr_pellets_to_drp_t
C0_MAT_BOF_SCRAP,C0,BOF_OSF,scrap,external_supply,t_purchased_scrap,,solved external timestep quantity,C0_BOF_scrap_input_t,follows solved physical activity and route scenario,EUR_per_t_purchased_scrap,price solved external purchase exactly once,external,boundary_reconciled_development,PROJECT_DECISIONS.md represented scrap boundary and solved BOF input,not_residual,yes,no,Base development policy treats represented boundary scrap as purchased because no recycle loop exists.,purchased_scrap_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external_development_assumption,C0_BOF_scrap_input_t,EUR_per_t_purchased_scrap,compatible,C0_BOF_purchased_scrap_once,objective_ready,not_deferred,C0_BF_BOF,c0_bof_scrap_input
C1_MAT_BOF_SCRAP,C1,BOF_OSF,scrap,external_supply,t_purchased_scrap,,solved external timestep quantity,C1_BOF_scrap_input_t_h,follows solved physical activity and route scenario,EUR_per_t_purchased_scrap,price solved external purchase exactly once,external,boundary_reconciled_development,PROJECT_DECISIONS.md 1.9 Mt/y site boundary and solved BOF input,not_residual,yes,no,No internal recycle fraction is invented.,purchased_scrap_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external_development_assumption,C1_BOF_scrap_input_t_h,EUR_per_t_purchased_scrap,compatible,C1_BOF_purchased_scrap_once,objective_ready,not_deferred,C1_BF_BOF,bof_scrap_supply_t
C1_MAT_EAF_SCRAP,C1,EAF,scrap,external_supply,t_purchased_scrap,,solved external timestep quantity,C1_EAF_scrap_input_t_h,follows solved physical activity and route scenario,EUR_per_t_purchased_scrap,price solved external purchase exactly once,external,source_backed_central,PROJECT_DECISIONS.md 1.9 Mt/y site boundary and solved EAF input,not_residual,yes,no,No internal recycle fraction is invented.,purchased_scrap_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_external_development_assumption,C1_EAF_scrap_input_t_h,EUR_per_t_purchased_scrap,compatible,C1_EAF_purchased_scrap_once,objective_ready,not_deferred,C1_DRP_EAF,eaf_scrap_supply_t
C0_MAT_IMPORTED_BF_PELLETS,C0,BF6_BF7,BF_pellets,external_supply,t_imported_BF_pellets,,fixed normalized external timestep quantity,external_BF_pellets_to_BF_t,grade-specific origin balance with internal PEFA-to-BF flow,EUR_per_t_imported_BF_pellets,price solved external purchase exactly once,external,boundary_reconciled_development,Blast_Furnace_Parameters.md and PELLETIZING_Parameters.md,not_residual,yes,no,The normalized 1.40625-Mt/y external BF-grade origin is conserved separately from internal PEFA pellets.,imported_bf_pellets_proxy,development_central,true,true,fixed_reference_procurement_cost,external_purchase,purchased_imported_BF_grade,external_bf_pellets_to_bf_t,EUR_per_t_imported_BF_pellets,compatible,C0_BF_pellets_purchased_once,objective_ready,not_deferred,C0_BF_BOF,external_bf_pellets_to_bf_t
C1_MAT_IMPORTED_BF_PELLETS,C1,BF6,BF_pellets,deferred,t_imported_BF_pellets,,solved external timestep quantity,none,follows solved physical activity and route scenario,EUR_per_t_imported_BF_pellets,price solved external purchase exactly once,external,blocked,Blast_Furnace_Parameters.md and PELLETIZING_Parameters.md,not_residual,no,yes,BF pellets are outside the active represented retained BF burden.,imported_bf_pellets_proxy,development_central,false,false,none,not_active,unrepresented,,EUR_per_t_imported_BF_pellets,not_applicable,C1_BF_pellet_scope_gap,blocked_not_physically_active,no_active_physical_BF_pellet_flow,C1_BF_BOF,
