route_id,configuration,process,input_carrier_material,output_carrier_material,input_unit,output_unit,conversion_factor,capacity_basis,operating_class,origin_tag,reference_mode_rule,endogenous_mode_rule,activity_driver,source_evidence_status,cost_design_inclusion_status,caveat
C0_DSP_CONVERSION,C0,DSP,liquid_steel,DSP_coil_final_product,t_liquid_steel,t_coil,0.9523809524 output_per_input,1.5 Mt per y output cap,bounded_downstream,endogenous,raw 1.5 and derived aggregates are scenario_definition,free bounded output,DSP_output_t,accepted_development,physical_constraint_retained,Equivalent to 1.05 t liquid steel per t coil.
C0_FINAL_DENOMINATOR,C0,site_downstream,HRC_plus_DSP_coil,site_final_product_proxy,t_product,t_product,1.0,hard cumulative 6.75 Mt per y proxy deadlines,route_interface,mixed_endogenous_origins,6.75 target and all aggregates are scenario_definition,hard lower-bound quota only,final_product_output_t,accepted_development,hard_quota_retained,Raw 7.2 Mt per y is liquid-steel context and is not the active final-product denominator.
C1_COKE,C1,coking_KGF1,dry_coal,coke,t_dry_coal,t_coke,0.7782101167,KGF1 hourly bound plus coke inventory,continuous_must_run,endogenous_BF_BOF,raw route rows are scenario definitions,free bounded throughput,coke_output_t,source_backed_central,physical_constraint_retained,Retained route only.
C1_SINTER,C1,sinter,iron_ore,sinter,t_iron_ore,t_sinter,1.23,retained sinter hourly represented limit,continuous_must_run,endogenous_BF_BOF,raw route rows are scenario definitions,free bounded throughput,sinter_iron_ore_feed_t,boundary_reconciled_development,physical_constraint_retained,Partial represented burden.
C1_BF_ACTIVITY,C1,BF6,represented_bf_activity,hot_metal,t_represented_bf_activity,t_hot_metal,2.1041666667,BF6 120-170 t represented activity per h,continuous_must_run,endogenous_BF_BOF,retained BOF aggregate band defines reference scenario,free bounded represented activity,bf6_represented_activity,boundary_reconciled_development,physical_constraint_retained,Activity-to-hot-metal mapping only; this is not physical sinter consumption.
C1_BF,C1,BF6,sinter,hot_metal,t_sinter,t_hot_metal,1.0,Configuration-matched 2.8 Mt/y sinter and 2.8 Mt/y hot metal,continuous_must_run,endogenous_BF_BOF,retained BOF aggregate band defines reference scenario,free bounded throughput,bf_sinter_input_t,boundary_reconciled_development,physical_constraint_retained,BF7 is inactive; 1.088 t sinter per t hot metal remains a predetermined offline sensitivity.
C1_BOF_HM,C1,BOF_OSF,hot_metal,BOF_liquid_steel,t_hot_metal,t_liquid_steel,0.824 input_per_output,BOF route capacity and 1.0 Mt per y scrap consumer guardrail,batch_equivalent,endogenous_BF_BOF,narrow cumulative BOF band defines scenario,free bounded throughput,bof_liquid_steel_output_t,boundary_reconciled_development,physical_constraint_retained,Companion 0.294 t scrap per t liquid steel row is separate.
C1_BOF_SCRAP,C1,BOF_OSF,scrap,BOF_liquid_steel,t_scrap,t_liquid_steel,0.294 input_per_output,1.0 Mt per y BOF consumer guardrail plus site cap,batch_equivalent,endogenous_BF_BOF,derived aggregate is scenario_definition,free within route and site caps,bof_liquid_steel_output_t,boundary_reconciled_development,physical_constraint_retained,Does not duplicate the 1.9 Mt per y site supply cap.
C1_DRP,C1,NG_DRP,pellets,DRI,t_pellets,t_DRI,0.74,550 t pellets per h and governed turndown and ramp,continuous_must_run,endogenous_DRP_EAF,aggregate DRP/EAF route output is scenario_definition,free bounded throughput,drp_pellet_input_t,accepted_development,physical_constraint_retained,DRI buffer separates DRP from EAF.
C1_EAF_DRI,C1,EAF,DRI,EAF_liquid_steel,t_DRI,t_liquid_steel,0.8484848485 input_per_output,EAF activity bound plus DRI buffer,batch_equivalent,endogenous_DRP_EAF,narrow cumulative EAF band defines scenario,free bounded throughput,eaf_liquid_steel_output_t,boundary_reconciled_development,physical_constraint_retained,Companion scrap route is separate.
C1_EAF_SCRAP,C1,EAF,scrap,EAF_liquid_steel,t_scrap,t_liquid_steel,0.2727272727 input_per_output,1.8 Mt per y EAF guardrail plus 1.9 Mt per y site cap,batch_equivalent,endogenous_DRP_EAF,derived aggregate is scenario_definition,free within route and site caps,eaf_liquid_steel_output_t,source_backed_central,physical_constraint_retained,Central ratio is MER 0.9 over 3.3; 1.8 is an operational high-scrap guardrail.
C1_SITE_SCRAP,C1,site_scrap_boundary,scrap,BOF_plus_EAF_scrap,t_scrap,t_scrap,1.0,1.9 Mt per y central site supply cap,route_interface,external_or_internal_unsplit,route aggregates are scenario_definition,optimizer allocates without fixed split,bof_plus_eaf_scrap_t,source_backed_central,physical_constraint_retained,Origin split is not invented.
C1_HSM_ROUTE,C1,BOF_EAF_import_boundary,BOF_slab_plus_EAF_slab_plus_imported_slab,HSM_slab_input,t_slab,t_slab,1.0,HSM hourly capacity and origin conservation,bounded_downstream,endogenous_and_imported,narrow HSM and import bands define reference scenario,optimizer chooses origins and route,HSM_slab_input_t,boundary_reconciled_development,physical_constraint_retained,No fixed BF-BOF/DRP-EAF or HSM/DSP split in endogenous mode.
C1_HSM_CONVERSION,C1,HSM,slab,HRC_final_product,t_slab,t_HRC,0.9433962264 output_per_input,HSM capacity and 6.75 final-product quota,bounded_downstream,endogenous_and_imported,narrow HSM output band defines scenario,free bounded output,HSM_HRC_output_t,boundary_reconciled_development,physical_constraint_retained,Equivalent to 1.06 t slab per t HRC and applied equally to every origin.
C1_HSM_LOSS,C1,HSM,slab,internal_HSM_loss,t_slab,t_loss,0.0566037736 loss_per_t_slab,material and origin identity,bounded_downstream,origin_preserving,reporting identity only,reporting identity only,HSM_slab_input_t,boundary_reconciled_development,physical_constraint_retained,Loss is origin attributed and never reused as supply.
C1_DSP_CONVERSION,C1,DSP,liquid_steel,DSP_coil_final_product,t_liquid_steel,t_coil,0.9523809524 output_per_input,1.5 Mt per y output cap,bounded_downstream,endogenous_BOF_or_EAF,narrow DSP output band defines scenario,optimizer chooses endogenous origin,DSP_output_t,accepted_development,physical_constraint_retained,Equivalent to 1.05 t liquid steel per t coil; imported slab cannot enter DSP.
C1_IMPORT,C1,external_slab_boundary,imported_slab,HSM_slab_input,t_slab,t_slab,1.0,0.6 Mt per y cap converted to each horizon,route_interface,imported,narrow imported-slab band defines reference scenario,optimizer selects zero to cap,imported_slab_to_HSM_t,source_backed_central,optional_external_material_deferred_from_first_cost_layer,Zero upstream site electricity WAG NG and CO2; downstream conversion applies normally.
C1_ORIGIN,C1,site_downstream,endogenous_product_plus_imported_origin_product,site_final_product_proxy,t_product,t_product,1.0,hard origin conservation identity,route_interface,endogenous_and_imported,all band-derived aggregates are scenario_definition,hard equality identity,site_final_product_by_origin_t,boundary_reconciled_development,physical_constraint_retained,Origin residual must equal zero.
C1_FINAL_DENOMINATOR,C1,site_downstream,HRC_plus_DSP_coil,site_final_product_proxy,t_product,t_product,1.0,hard cumulative 6.75 Mt per y proxy deadlines,route_interface,endogenous_and_imported,6.75 target and band-derived aggregates are scenario_definition,hard lower-bound quota only,final_product_output_t,accepted_development,hard_quota_retained,Raw MER 6.8 liquid steel and 7.0 final product remain separate public contexts.
C0_BF_PCI,C0,BF6_BF7,purchased_PCI,hot_metal,t_PCI,t_hot_metal,0.162 input_per_output,source-backed PCI accounting flow linked to solved hot-metal output,continuous_must_run,external_purchase,not an independent production anchor,named external flow follows bounded hot-metal throughput,bf_hot_metal_output_t,source_backed_central,external_procurement_flow_required,JRC Iron and Steel BREF central development coefficient; no burden substitution is introduced.
C1_BF_PCI,C1,BF6,purchased_PCI,hot_metal,t_PCI,t_hot_metal,0.162 input_per_output,source-backed PCI accounting flow linked to retained BF6 hot-metal output,continuous_must_run,external_purchase,not an independent production anchor,named external flow follows bounded hot-metal throughput,bf6_hot_metal_output_t,source_backed_central,external_procurement_flow_required,JRC Iron and Steel BREF central development coefficient; BF7 remains inactive.
C0_PEFA_ORE,C0,PEFA,purchased_iron_ore,internal_fired_pellets,t_iron_ore,t_pellets,0.950 input_per_output,source-backed PEFA ore input linked to represented pellet output,utility_following,external_purchase,PEFA output row is reporting context,named external ore follows represented PEFA output,pefa_pellet_output_t,accepted_development,external_procurement_flow_required,JRC BREF Table 4.1 base candidate; internal pellets receive no purchase price.
C1_PEFA_ORE,C1,PEFA,purchased_iron_ore,internal_fired_pellets,t_iron_ore,t_pellets,0.950 input_per_output,source-backed PEFA ore input linked to represented pellet output,utility_following,external_purchase,PEFA output row is reporting context,named external ore follows represented PEFA output,pefa_pellet_output_t,accepted_development,external_procurement_flow_required,JRC BREF Table 4.1 base candidate; no PEFA-to-DRP material connection is assumed.
