arc_id,configuration_id,route_id,from_node,to_node,carrier_id,arc_role,structural_status,numerical_status,executable_status,thesis_usability,approval_status,source_ids,notes
C1_ARC03,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_bf_bof_supply_boundary,c1_bof_converter,flux_input_boundary,external_flux_feed_to_retained_converter,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,Structural flux feed arc into the retained converter route in C1.
C1_ARC04,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_blast_furnace,c1_hot_metal_buffer,hot_metal,retained_blast_furnace_to_hot_metal_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03,Structural hot-metal transfer arc into the retained bounded buffer candidate in C1.
C1_ARC05,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_hot_metal_buffer,c1_bof_converter,hot_metal,retained_hot_metal_buffer_to_converter,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03,Structural hot-metal release arc from the retained bounded buffer candidate in C1.
C1_ARC06,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_ng_drp_eaf_supply_boundary,c1_ng_drp,iron_ore_or_pellet_input_boundary,external_iron_feed_to_ng_drp,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F04;F07,Structural iron-bearing feed arc into the NG-DRP route in C1.
C1_ARC07,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_ng_drp_eaf_supply_boundary,c1_ng_drp,flux_input_boundary,external_flux_feed_to_ng_drp_context,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,Structural flux-context arc for the NG-DRP route in C1.
C1_ARC08,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_ng_drp,c1_dri_hdri_handling,DRI_or_HDRI,ng_drp_to_dri_hdri_handling,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F04;F05;F07,Structural direct-reduction output arc into DRI or HDRI handling in C1.
C1_ARC09,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_dri_hdri_handling,c1_dri_hdri_buffer,DRI_or_HDRI,dri_hdri_handling_to_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F02;F05;F06,Structural DRI or HDRI transfer arc into the bounded decoupling buffer candidate in C1.
C1_ARC10,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_dri_hdri_buffer,c1_eaf,DRI_or_HDRI,buffer_to_eaf,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F02;F05;F06,Structural DRI or HDRI release arc from the bounded decoupling buffer candidate in C1.
C1_ARC11,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_ng_drp_eaf_supply_boundary,c1_eaf,scrap_input_boundary,external_scrap_feed_to_eaf,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F11,Structural scrap feed arc into the EAF route in C1.
C1_ARC12,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_ng_drp_eaf_supply_boundary,c1_eaf,flux_input_boundary,external_flux_feed_to_eaf,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,Structural flux feed arc into the EAF route in C1.
C1_ARC13,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_eaf,c1_new_secondary_met,crude_steel_or_liquid_steel,eaf_to_secondary_met,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F11,Structural liquid-metal transfer arc from EAF treatment into secondary-metallurgy treatment in C1.
C1_ARC14,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_new_secondary_met,c1_cast_slab_handling,crude_steel_or_liquid_steel,secondary_met_to_shared_casting,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,Structural liquid-metal transfer arc from secondary-metallurgy treatment into shared casting treatment in C1.
C1_ARC15,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_bof_converter,c1_cast_slab_handling,crude_steel_or_liquid_steel,retained_converter_to_shared_casting,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F13,Structural liquid-metal transfer arc from retained converter treatment into shared casting treatment in C1.
C1_ARC16,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_cast_slab_handling,c1_hot_slab_transfer_buffer,slab_or_WIP,shared_casting_to_hot_slab_transfer_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F13;F14,Structural casting-to-transfer-buffer arc for shared downstream handling in C1.
C1_ARC17,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_cast_slab_handling,c1_hot_slab_transfer_buffer,slab_or_WIP,shared_casting_to_hot_slab_transfer_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F13;F14,Structural casting-to-transfer-buffer arc for shared downstream handling in C1.
C1_ARC18,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_hot_slab_transfer_buffer,c1_slab_wip_buffer,slab_or_WIP,shared_transfer_buffer_to_slab_wip_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F14;F15,Structural transfer-buffer to slab-or-WIP buffer arc for shared downstream handling in C1.
C1_ARC19,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_hot_slab_transfer_buffer,c1_slab_wip_buffer,slab_or_WIP,shared_transfer_buffer_to_slab_wip_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F14;F15,Structural transfer-buffer to slab-or-WIP buffer arc for shared downstream handling in C1.
C1_ARC20,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_slab_wip_buffer,c1_downstream_metal_sink,hot_rolled_or_final_metallic_sink,shared_buffer_to_downstream_sink,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F14;F15,Structural downstream release arc from the shared slab-or-WIP buffer in C1.
C1_ARC21,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,c1_slab_wip_buffer,c1_downstream_metal_sink,hot_rolled_or_final_metallic_sink,shared_buffer_to_downstream_sink,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F14;F15,Structural downstream release arc from the shared slab-or-WIP buffer in C1.
