assumption_id,category,short_name,current_value_or_policy,unit,applies_to,source_or_stage,evidence_status,model_impact,checkability,reviewer_question,possible_alternatives,recommendation,priority,caveat
A013,materials,DRP DRI output,C1 2.7794116,Mt/y,C1,C5o_a and C5p_e,development_reconciliation,Sets DRI buffer input and EAF feed,Check annual config comparison,Is scaled 2.7794116 Mt/y DRI acceptable for active 6.75 Mt/y baseline,Use raw 2.8; scaled active basis,Keep scaled active basis,P0_review_before_economics,Derived from public 2.8 Mt/y context
A014,materials,EAF DRI input,C1 2.7794116,Mt/y,C1,C5o_b and C5p_e,development_reconciliation,Directly couples DRP to EAF,Check EAF material ledger,Should EAF consume all current DRP DRI output,Allow imported DRI/HBI; adjust EAF output; preserve handoff,Preserve handoff unless route policy changes,P0_review_before_economics,No hidden HBI/imported DRI is active
A015,materials,EAF DRI coefficient,Active 0.829675 versus source-review 0.848,t DRI per t LS,C1,C5o_b and EAF source card,sensitivity_required,Changes EAF feed balance and scrap need,Check EAF material ledger and EAF_Parameters.md,Should current 0.829675 reconciliation be accepted or should 0.848 be enforced or sensitised,0.829675; 0.848; sensitivity pair,Run sensitivity before thesis economics,P0_review_before_economics,Active coefficient is not an independent Tata recipe
A016,materials,EAF scrap input,C1 1.01505,Mt/y,C1,C5o_b EAF material ledger,development_reconciliation,Affects EAF material balance and scrap exposure,Check EAF material ledger,Is roughly 1.015 Mt/y scrap acceptable against about 1.0 Mt/y source anchor,Use exactly 1.0; current 1.01505; source-card range,Keep current until DRI coefficient decision,P1_review_before_thesis_results,No scrap pool store is active
A017,materials,Bounded coke reconciliation,C5m_f bounded coke reconciliation active; external coke fallback-only,policy,C0 and C1,C5m_f and C5p_e,development_reconciliation,Controls KGF/BF coke balance and WAG context,Check C5m_f and annual reports,Is bounded reconciliation acceptable as development baseline,Use external coke slack; retune KGF; source-card repair,Keep explicit and review before economics,P0_review_before_economics,Do not hide coke mismatch with free supply
A018,materials,Bulk solid stores,Coke sinter fired-pellet stores practically non-binding; bind count zero,policy,C0 and C1,C5p_d buffer validation,modelling_policy,Prevents stores from becoming free sources,Check buffer validation metrics,Are non-binding bulk stores acceptable for current accounting stage,Finite physical stores later; no stores; current non-binding policy,Keep current policy,P1_review_before_thesis_results,They are not economic flexibility assets
A019,downstream,DSP output,1.35,Mt/y,C0 and C1,C5o_c and C5p_e,development_reconciliation,Affects final-product proxy and DSP utilities,Check annual config comparison,Is 1.35 Mt/y acceptable versus raw 1.5 Mt/y context,1.35; 1.5; route-specific DSP sensitivity,Keep 1.35 until downstream denominator review,P0_review_before_economics,Raw 1.5 Mt/y anchor is not enforced
A020,downstream,DSP LS input,About 1.4175,Mt liquid steel per year,C0 and C1,C5o_c,development_reconciliation,Connects liquid steel to DSP output,Check DSP activity report if denominator is reviewed,Is the DSP yield/input convention acceptable for denominator work,Keep current; revise yield; defer route-origin tags,Review with denominator decision,P1_review_before_thesis_results,Value is available from DSP layer not central C5p_e table
A021,downstream,HSM/WBW scaffold,C5l_d base_0_50 preserved,policy,C0 and C1,C5l_d and C5p_d,development_reconciliation,Affects final-product proxy and downstream energy,Check buffer/store register and C5l_d outputs,Should HSM/WBW remain scaffolded until denominator is fixed,Preserve base_0_50; revise slab routing; add route-origin tracking,Preserve for current C5 review,P0_review_before_economics,Route-origin tracking is incomplete
A022,downstream,C1 imported slab anchor,0.6,Mt/y,C1,C5p_e and C5p_f,source_backed_validation_anchor,Affects final-product denominator interpretation,Check imported slab alignment file,Is imported slab context acceptable until downstream denominator is fixed,Context-only; model as exogenous supply; exclude from denominator,Keep context-only for now,P0_review_before_economics,Must not become a free store
A023,electricity,Modelled electricity demand before offsets,C0 1.742724; C1 3.03375,TWh_e/y,C0 and C1,C5p_g residual electricity component balance,development_reconciliation,Defines current process electricity scope,Check residual electricity component balance,Are represented process loads sufficient before residual boundary repair,Add residual loads; keep component-only; revise plant anchors,Keep component-only for review,P0_review_before_economics,Not full-site demand
A024,electricity,Major C1 electricity components,PEFA 0.105717; DRP 0.231525; EAF 1.4137; DSP 0.0756; ASU 0.392857,TWh_e/y,C1,C5p_g and C5p_e,development_reconciliation,Identifies main C1 electricity drivers,Check residual electricity component balance,Do any of these component anchors need repair before economics,Component review; source-card repair; preserve baseline,Review plant-level gaps before economics,P0_review_before_economics,HSM BF BOF KGF residual electricity anchors remain weak
A025,electricity,Generator and steam offsets,C0 2.100025 total offset; C1 0.950312 total offset,TWh_e/y,C0 and C1,C5p_g,development_reconciliation,Can floor or reduce modelled grid exposure,Check residual electricity component balance,Is internal offset reporting acceptable without export revenue,Allow export revenue later; no offset; current reporting-only offset,Keep reporting-only,P0_review_before_economics,No full-site net import claim
A026,electricity,C0 over-offset issue,C0 exposure floors at zero because offsets exceed modelled process demand,policy,C0,C5p_e and C5p_g,missing_anchor,Shows missing residual electricity boundary,Check electricity diagnostics,Should C0 over-offset be treated as boundary warning not surplus power claim,Add residual electricity; reduce offsets; keep warning,Keep as explicit warning,P0_review_before_economics,No export revenue and no net export claim
A027,electricity,C1 process exposure after offsets,2.098472,TWh_e/y,C1,C5p_e and C5p_g,development_reconciliation,Current exposed process electricity before residual loads,Check C5 residual report,Can this be used only as process-scope exposure not full-site import,Use as process exposure; add residual; compare to site anchors,Use process-scope only,P0_review_before_economics,Residual electricity boundary incomplete
A028,natural_gas,C1 modelled NG,DRP 27.516175; EAF 0.1675; generator 4.1; total 31.783675,PJ_LHV/y,C1,C5p_g,development_reconciliation,Main C1 NG boundary before residuals,Check residual NG component balance,Are NG components sufficient before economics,Add residual NG later; revise DRP split; review generator NG,Keep component-only for review,P0_review_before_economics,Not full-site NG
A029,natural_gas,Zero backup NG in current run,Boiler steam NG 0; PEFA NG backup 0,PJ_LHV/y,C0 and C1,C5p_b and C5p_g,development_reconciliation,Affects residual NG and CO2 boundary,Check residual NG component balance,Is zero current backup acceptable while eligibility remains caveated,Activate source-backed backup later; keep zero now,Keep zero for C5 review,P1_review_before_thesis_results,Do not use backup NG as slack
A030,wag_generators,C0 residual-WAG generator interface,Fuel 21.892922 PJ/y; electricity 2.067665 TWh/y; 2.0 TWh validation anchor only,PJ_LHV/y and TWh_e/y,C0,C5p_c,development_reconciliation,Offsets electricity and represents current residual gas power,Check generator compact table,Can C0 use development efficiency 0.34 and validation-only 2.0 TWh anchor,0.34; 0.35; no C0 generator offset,Keep explicit development caveat,P0_review_before_economics,Not public plant-by-plant dispatch truth
A031,wag_generators,C1 generator fuel and gap,VN25 9.759416; IJ01 0.077195; gap 4.763389 mostly BFG,PJ_LHV/y,C1,C5p_c and C5p_f,sensitivity_required,Major unresolved WAG/generator mismatch before economics,Check generator gap decomposition,Is the C1 generator fuel gap acceptable as caveat or should WAG source assumptions be repaired first,Review BFG generation; revise anchors; keep gap explicit,Review before economics,P0_review_before_economics,Do not create fuel to force Table 5.5 anchors
A032,wag_generators,WAG market value policy,No export revenue; no DA price response; no mFRR; no direct WAG market value,policy,C0 and C1,C5p_c and governance docs,modelling_policy,Prevents premature economics and market claims,Check governance docs,Is it acceptable to keep WAG as internal utility only in C5,Add export revenue later; add DA later; keep no-go,Keep no-go,P0_review_before_economics,Economics remains blocked
A033,oxygen,total core oxygen demand,C0 893.438; C1 982.144,kt O2/y,C0 and C1,C5p_a and C5p_e,development_reconciliation,Drives ASU electricity and oxygen boundary,Check annual config comparison,Is current core oxygen boundary acceptable with DRP caveat,Use current; lower DRP oxygen; add residual oxygen later,Sensitivity required before economics,P0_review_before_economics,Core demand excludes residual oxygen users
A034,oxygen,ASU electricity,C0 357.375; C1 392.857,GWh_e/y,C0 and C1,C5p_a and C5p_e,source_backed_current,Adds non-flexible electricity demand,Check annual config comparison and Linde card,Is 0.400 MWh/t O2 acceptable as base ASU coefficient,0.400 gas O2; 0.638 liquid O2 sensitivity,Keep gas-O2 base,P1_review_before_thesis_results,ASU is not DA-flexible here
A035,oxygen,DRP oxygen basis,Current 0.135 t/t DRI equals 94.472 Nm3/t; vendor cross-check 35 Nm3/t equals 0.050 t/t,t O2 per t DRI and Nm3 per t DRI,C1,C5p_f oxygen review,sensitivity_required,Large effect on oxygen and ASU electricity,Check c5_drp_oxygen_basis_review.csv,Which DRP oxygen basis should be base or sensitivity,Current 0.135; vendor 35 Nm3/t; midpoint,Supervisor source decision required,P0_review_before_economics,Main oxygen uncertainty
A036,steam,Steam mass-flow balance,C0 demand/supply 356.130613; C1 demand/supply 165.461611,kt steam/y,C0 and C1,C5p_b,development_reconciliation,Closes current mapped steam demand,Check boiler compact table,Is mass-flow steam balance acceptable pending enthalpy/residual demand work,Mass-flow now; enthalpy later; add residual steam later,Keep reporting-only steam layer,P1_review_before_thesis_results,Not an enthalpy model
A037,steam,WAG to steam,C0 310.534; C1 144.277,GWh_LHV/y,C0 and C1,C5p_b,development_reconciliation,Allocates WAG before generator interface,Check boiler compact table,Is current WAG-to-steam allocation acceptable,Current allocation; source-card review; residual steam work,Keep caveated current allocation,P1_review_before_thesis_results,BOFG remains blocked or deferred in steam layer
A038,buffers,DRI buffer,C1 capacity 15.229653; start/end 7.614826; drift zero,kt,C1,C5p_d,development_reconciliation,Decouples continuous DRP from EAF without free source,Check buffer current values and validation metrics,Are DRI buffer days/capacity acceptable as current baseline,Current 15.23 kt; 17.76 kt predecessor; 1-3 day sensitivity,Preserve and sensitise later,P2_sensitivity,Not annual calibration lever
A039,buffers,Deferred or blocked stores,Hot-metal store inactive with 500 t candidate; oxygen 1670 m3 structural only and 100 t candidate deferred; steam WAG liquid steel final product not stores,policy,C0 and C1,C5p_d,modelling_policy,Prevents fake flexibility from utility or accounting stores,Check buffer register,Are these correctly kept deferred or blocked,Activate selected stores later; keep blocked now,Keep blocked/deferred,P0_review_before_economics,No WAG holders steam or final product as stores
A040,co2,CO2 boundary status,Component diagnostic only; ETS-ready false,policy,C0 and C1,C5p_h,blocked,Blocks emissions economics and ETS claims,Check CO2 boundary diagnostics,Which CO2 boundary should be used first,Component only; direct plus NG; full WAG combustion policy,Keep component diagnostic until policy decision,P0_review_before_economics,Not full-site or ETS-ready
A041,co2,Current component CO2 values,PEFA C0 0.452813; PEFA C1 0.521140; EAF C1 midpoint 0.4221; DRP capture stream 0.794912,Mt CO2/y,C0 and C1,C5p_h,development_reconciliation,Provides emissions context but no objective,Check CO2 component inventory,Are component diagnostics useful for review while full boundary is blocked,Report components; choose consolidated boundary later,Use diagnostics only,P0_review_before_economics,DRP capture stream is not direct emissions
A042,co2,Deferred CO2 components,WAG combustion/flaring CO2; NG combustion CO2; Scope 2; boiler/generator fuel CO2 deferred,policy,C0 and C1,C5p_h,deferred,Prevents double-counted emissions totals,Check CO2 double-counting matrix,Should WAG carbon be counted at generation or combustion later,Generation-side; combustion-side; hybrid with strict exclusions,Require explicit carbon-boundary decision,P0_review_before_economics,High double-counting risk
A043,residual_boundaries,Plant energy anchor gaps,KGF BF BOF HSM residual electricity weak; HSM residual NG and site residual NG missing,policy,C0 and C1,C5p_g and C5p_h,missing_anchor,Blocks residual policy economics and Scope 2,Check energy anchor source gap register,Do we need better plant-level electricity and NG anchors before economics,Repair source cards; keep blocked; approximate residual sensitivity,Repair before economics,P0_review_before_economics,Residual loads allowed later only after source-card repair
A044,governance,Forbidden current-scope changes,No product revenue base objective; no generator export revenue; no DA; no mFRR; no CVaR; no denominator freeze; no validation anchor as executable constraint,policy,C0 and C1,governance docs and C5p_f,modelling_policy,Protects current diagnostic scope,Check pre-economics blocker list,Does supervisor agree these remain blocked until methodological decision,Unlock selected item by decision; keep blocked,Keep blocked,P0_review_before_economics,Changing any item requires methodological decision
